block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,min_dup_leaves,median_dup_leaves,max_dup_leaves
1442,0,12.238778405180492,4,26,1,2.0,136
1443,0,12.238778405180492,4,26,1,2.0,136
1444,0,12.238778405180492,4,26,1,2.0,136
906,1,3.15045878072208,3,17,1,1.0,116
1542,2,0.28396677058083925,2,8,1,1.5,31
1360,3,0.46723777829493063,1,4,17,17.0,17
1752,0,0.6039131642466431,2,7,1,1.0,16
1871,4,0.9021683788509588,3,8,5,10.5,16
1283,5,2.061106441268784,2,9,1,4.5,11
1224,6,2.8559516081452005,4,17,2,3.0,10
1369,7,5.735376586975324,2,14,9,9.0,9
1370,7,7.0108254903140885,2,15,9,9.0,9
908,8,0.6137353658649605,3,10,1,1.0,8
1475,9,2.2629393162622926,3,15,1,1.5,7
1547,10,4.764415927591226,3,16,1,3.5,6
76,8,4.347313169774706,3,14,1,1.0,5
250,8,4.7715269314136535,2,11,1,1.0,5
400,8,3.1428367625657554,2,10,1,2.0,5
1391,11,3.467209674965963,2,15,1,1.0,5
1612,12,7.2022637944426,3,19,1,1.0,5
1739,13,59.72735535591356,2,34,1,3.0,5
2330,14,2.6503354030140724,2,12,1,3.0,5
2331,14,3.395292767012658,2,13,1,3.0,5
2333,14,2.6425250977591888,3,16,1,3.0,5
2447,15,0,0,0,5,5.0,5
2459,10,0,0,0,5,5.0,5
45,8,3.1645274492332143,2,12,1,1.0,4
1156,16,113.33530040280856,2,58,4,4.0,4
1346,17,0.4109486926561283,1,3,4,4.0,4
1399,18,12.117427086460456,2,21,1,1.0,4
1400,18,12.239557204554488,2,22,1,1.0,4
1401,18,12.239557204554488,2,22,1,1.0,4
1402,18,12.239557204554488,2,22,1,1.0,4
1403,18,15.405512023402268,2,23,1,1.0,4
1404,18,15.405512023402268,2,23,1,1.0,4
1446,19,96.65283643683772,3,58,1,1.0,4
1447,19,95.43399167652667,3,57,1,1.0,4
1448,19,95.42400256177628,3,57,1,1.0,4
500,20,24.788574134026867,3,26,1,2.0,3
501,20,24.72077006238926,3,25,1,2.0,3
1347,5,0,0,0,3,3.0,3
1376,21,39.9885131348374,2,28,3,3.0,3
1377,21,37.86043638604493,2,28,3,3.0,3
1378,21,37.86043638604493,2,28,3,3.0,3
1600,12,13.802651144501647,3,23,1,1.0,3
1601,12,13.802651144501647,3,23,1,1.0,3
1615,22,37.16114117620569,3,35,1,1.0,3
2466,23,3.659646608428542,2,13,1,1.0,3
3066,24,0.0004574447471580743,1,2,3,3.0,3
162,8,0.04501002648858947,1,2,2,2.0,2
406,25,119.5311119787308,3,64,1,1.0,2
407,25,135.84362880017403,3,67,1,1.0,2
408,25,140.76963454454386,3,68,1,1.0,2
934,26,12.032254730061496,2,19,1,1.0,2
935,26,10.739687054414633,2,18,1,1.0,2
936,26,10.739687054414633,2,18,1,1.0,2
937,26,12.244588857652456,2,19,1,1.0,2
1209,27,3.054388158882118,1,7,2,2.0,2
1359,28,32.6969778730217,2,29,1,1.0,2
1368,3,0.37153688934304324,1,4,2,2.0,2
1433,29,92.13907618947837,3,54,1,1.0,2
1476,9,2.500759439778979,3,12,1,1.5,2
1477,9,3.3461521961149936,2,11,1,1.5,2
1478,9,2.5833403643323565,2,10,1,1.5,2
1649,30,17.454314412019713,2,19,1,1.0,2
1653,26,4.74027209309866,1,9,2,2.0,2
1654,26,6.908383945324879,1,11,2,2.0,2
1736,31,1.1384716757300106,1,5,2,2.0,2
1780,32,87.07126104770747,3,52,1,1.0,2
1781,32,85.9703714669782,3,52,1,1.0,2
1825,27,6.840077540571704,1,12,2,2.0,2
1832,22,28.999261426625004,3,27,1,1.0,2
1838,33,21.5524803263544,2,22,1,1.0,2
1933,34,0.336324616302184,1,5,2,2.0,2
2207,27,1.2448343960106079,1,5,2,2.0,2
2208,27,1.2448343960106079,1,5,2,2.0,2
2275,35,7.595539116006705,2,14,1,1.5,2
2776,34,0.11113584915393834,1,3,2,2.0,2
3024,36,0.19384872424215266,1,2,2,2.0,2
3263,37,0,0,0,2,2.0,2
1,8,0,0,0,1,1.0,1
2,8,0,0,0,1,1.0,1
3,8,0,0,0,1,1.0,1
4,8,0,0,0,1,1.0,1
5,8,0,0,0,1,1.0,1
6,8,0,0,0,1,1.0,1
7,8,0,0,0,1,1.0,1
8,8,0,0,0,1,1.0,1
9,8,0,0,0,1,1.0,1
10,8,0,0,0,1,1.0,1
12,8,0,0,0,1,1.0,1
37,8,0,0,0,1,1.0,1
58,8,0,0,0,1,1.0,1
59,8,0.08133370515595963,1,2,1,1.0,1
109,8,0.35078766672472517,2,5,1,1.0,1
111,38,2.3628402232975394,2,13,1,1.0,1
126,8,0,0,0,1,1.0,1
170,8,0,0,0,1,1.0,1
171,8,0,0,0,1,1.0,1
172,8,0,0,0,1,1.0,1
173,8,0,0,0,1,1.0,1
174,8,0,0,0,1,1.0,1
175,8,0,0,0,1,1.0,1
176,8,0,0,0,1,1.0,1
177,8,0,0,0,1,1.0,1
178,8,0.15631235423532186,1,2,1,1.0,1
179,8,0.15631235423532186,1,2,1,1.0,1
180,8,0.15631235423532186,1,2,1,1.0,1
181,8,0,0,0,1,1.0,1
182,8,0,0,0,1,1.0,1
183,8,0,0,0,1,1.0,1
184,8,0,0,0,1,1.0,1
185,8,0,0,0,1,1.0,1
186,8,0,0,0,1,1.0,1
187,8,0,0,0,1,1.0,1
188,8,0,0,0,1,1.0,1
189,8,0,0,0,1,1.0,1
190,8,0,0,0,1,1.0,1
191,8,0,0,0,1,1.0,1
192,8,0,0,0,1,1.0,1
193,8,0,0,0,1,1.0,1
194,8,0,0,0,1,1.0,1
195,8,0,0,0,1,1.0,1
196,8,0,0,0,1,1.0,1
197,8,0,0,0,1,1.0,1
199,8,0,0,0,1,1.0,1
200,8,0,0,0,1,1.0,1
201,8,0,0,0,1,1.0,1
202,8,0,0,0,1,1.0,1
203,8,3.111777383029158,2,13,1,1.0,1
204,8,1.5722090418637378,1,7,1,1.0,1
205,8,1.0881430745409437,1,6,1,1.0,1
206,8,0,0,0,1,1.0,1
207,8,0.12380188716438816,1,2,1,1.0,1
208,8,0,0,0,1,1.0,1
209,8,0,0,0,1,1.0,1
210,8,0,0,0,1,1.0,1
211,8,0,0,0,1,1.0,1
212,8,0,0,0,1,1.0,1
213,8,0,0,0,1,1.0,1
214,8,0,0,0,1,1.0,1
215,8,0,0,0,1,1.0,1
216,8,0,0,0,1,1.0,1
217,8,0,0,0,1,1.0,1
218,8,0,0,0,1,1.0,1
219,8,0,0,0,1,1.0,1
220,8,0,0,0,1,1.0,1
221,8,0,0,0,1,1.0,1
222,8,0.15815878802160727,1,2,1,1.0,1
223,8,0.15815878802160727,1,2,1,1.0,1
224,8,0.15815878802160727,1,2,1,1.0,1
225,8,0.15815878802160727,1,2,1,1.0,1
226,39,1.130718442552795,2,7,1,1.0,1
227,8,0.15815878802160727,1,2,1,1.0,1
228,8,0.15815878802160727,1,2,1,1.0,1
229,8,0.15815878802160727,1,2,1,1.0,1
230,39,1.556149875486498,2,9,1,1.0,1
231,8,0.15815878802160727,1,2,1,1.0,1
232,8,0.15815878802160727,1,2,1,1.0,1
233,8,0.15815878802160727,1,2,1,1.0,1
234,8,0.15815878802160727,1,2,1,1.0,1
235,8,0.15815878802160727,1,2,1,1.0,1
236,8,0.15815878802160727,1,2,1,1.0,1
237,8,0.15815878802160727,1,2,1,1.0,1
238,8,0.15815878802160727,1,2,1,1.0,1
239,8,0.15815878802160727,1,2,1,1.0,1
240,8,0,0,0,1,1.0,1
241,40,17.57680388662644,2,27,1,1.0,1
242,40,18.92705634869191,2,28,1,1.0,1
243,40,25.094013272422217,2,31,1,1.0,1
244,40,12.136119168362539,2,21,1,1.0,1
245,41,43.56134032604463,2,41,1,1.0,1
291,8,0,0,0,1,1.0,1
296,8,0,0,0,1,1.0,1
341,8,0,0,0,1,1.0,1
342,8,0,0,0,1,1.0,1
348,8,0,0,0,1,1.0,1
349,8,0,0,0,1,1.0,1
350,8,0,0,0,1,1.0,1
351,8,0,0,0,1,1.0,1
352,8,0,0,0,1,1.0,1
353,8,0,0,0,1,1.0,1
354,8,0,0,0,1,1.0,1
402,42,2.858800451355446,1,7,1,1.0,1
403,42,3.89387544468947,2,10,1,1.0,1
404,42,3.929408408470221,2,10,1,1.0,1
409,43,0,0,0,1,1.0,1
416,8,0,0,0,1,1.0,1
437,8,0.660787503634473,1,4,1,1.0,1
438,8,0.6410146604006335,1,4,1,1.0,1
442,8,0,0,0,1,1.0,1
443,8,0.00324164015860213,1,2,1,1.0,1
444,8,0,0,0,1,1.0,1
445,8,0,0,0,1,1.0,1
463,37,5.281925408190316,2,12,1,1.0,1
506,8,0,0,0,1,1.0,1
507,8,0,0,0,1,1.0,1
508,8,0.00556376462345798,1,2,1,1.0,1
509,8,0.00556376462345798,1,2,1,1.0,1
510,8,0.00556376462345798,1,2,1,1.0,1
511,8,0.19024550549601124,2,4,1,1.0,1
512,8,1.6258650732680575,2,9,1,1.0,1
513,8,2.064697046694604,2,10,1,1.0,1
514,8,2.064697046694604,2,10,1,1.0,1
537,44,0.20975103031789155,1,3,1,1.0,1
575,8,0,0,0,1,1.0,1
576,8,0,0,0,1,1.0,1
577,8,0,0,0,1,1.0,1
683,8,0,0,0,1,1.0,1
684,8,0,0,0,1,1.0,1
685,45,0.28245148693100486,1,3,1,1.0,1
686,8,0.2596954705376248,1,3,1,1.0,1
687,8,0,0,0,1,1.0,1
690,8,0.2448565538378154,1,4,1,1.0,1
691,8,0,0,0,1,1.0,1
693,8,0,0,0,1,1.0,1
694,8,0,0,0,1,1.0,1
695,8,0,0,0,1,1.0,1
696,8,0,0,0,1,1.0,1
697,8,0,0,0,1,1.0,1
698,46,2.5546054384531987,2,12,1,1.0,1
726,8,1.8168573550523786,2,9,1,1.0,1
728,8,0.5395933233236374,2,6,1,1.0,1
729,8,0.3281442326539213,2,5,1,1.0,1
730,8,0.3281442326539213,2,5,1,1.0,1
731,8,0.1579652064802975,2,4,1,1.0,1
732,8,0.3120353430837733,2,5,1,1.0,1
733,8,0.3120353430837733,2,5,1,1.0,1
734,8,0.5334742014478141,2,6,1,1.0,1
735,8,0.07094148314883879,2,4,1,1.0,1
736,8,0.24501278370118795,2,5,1,1.0,1
737,8,0.24501278370118795,2,5,1,1.0,1
738,8,0.4220362287680552,2,6,1,1.0,1
739,8,0.2127136856397076,1,3,1,1.0,1
740,8,0.2127136856397076,1,3,1,1.0,1
741,8,0.04067855956348938,1,2,1,1.0,1
742,8,0.04067855956348938,1,2,1,1.0,1
743,8,0.04067855956348938,1,2,1,1.0,1
744,8,0.04067855956348938,1,2,1,1.0,1
745,8,0.04067855956348938,1,2,1,1.0,1
746,8,0.04067855956348938,1,2,1,1.0,1
747,8,0.04067855956348938,1,2,1,1.0,1
748,8,0.04067855956348938,1,2,1,1.0,1
749,8,0.04067855956348938,1,2,1,1.0,1
750,8,0.04067855956348938,1,2,1,1.0,1
751,8,0.04067855956348938,1,2,1,1.0,1
752,8,0.04067855956348938,1,2,1,1.0,1
753,8,0.04067855956348938,1,2,1,1.0,1
754,8,0.04067855956348938,1,2,1,1.0,1
755,8,0.04067855956348938,1,2,1,1.0,1
756,8,0.40843446608730527,1,3,1,1.0,1
757,8,0.40843446608730527,1,3,1,1.0,1
758,8,0.40843446608730527,1,3,1,1.0,1
759,8,0.40843446608730527,1,3,1,1.0,1
760,8,0.04067855956348938,1,2,1,1.0,1
761,8,0.04067855956348938,1,2,1,1.0,1
762,8,0.04067855956348938,1,2,1,1.0,1
763,8,0.11169242956326052,1,3,1,1.0,1
764,8,0.10328097182963775,2,4,1,1.0,1
765,8,0.04067855956348938,1,2,1,1.0,1
766,8,0.04067855956348938,1,2,1,1.0,1
767,8,0.04067855956348938,1,2,1,1.0,1
768,8,0.04067855956348938,1,2,1,1.0,1
769,8,0.04067855956348938,1,2,1,1.0,1
770,8,0.04067855956348938,1,2,1,1.0,1
771,8,0.04067855956348938,1,2,1,1.0,1
772,8,0.04067855956348938,1,2,1,1.0,1
773,8,0,0,0,1,1.0,1
774,8,0,0,0,1,1.0,1
775,8,0,0,0,1,1.0,1
776,8,0,0,0,1,1.0,1
777,8,0.05663010247518027,1,2,1,1.0,1
778,47,182.2389216754977,3,74,1,1.0,1
780,8,0.05663010247518027,1,2,1,1.0,1
781,8,0,0,0,1,1.0,1
782,8,0,0,0,1,1.0,1
783,8,0,0,0,1,1.0,1
784,8,0,0,0,1,1.0,1
785,8,0,0,0,1,1.0,1
786,8,0,0,0,1,1.0,1
787,8,0.03481732223793431,1,2,1,1.0,1
788,8,0.03481732223793431,1,2,1,1.0,1
789,8,0.03481732223793431,1,2,1,1.0,1
790,8,0.03481732223793431,1,2,1,1.0,1
791,8,0.03481732223793431,1,2,1,1.0,1
792,8,0.03481732223793431,1,2,1,1.0,1
793,8,0.03481732223793431,1,2,1,1.0,1
794,8,0.03481732223793431,1,2,1,1.0,1
795,8,0.23354677607895785,2,4,1,1.0,1
796,8,0.23354677607895785,2,4,1,1.0,1
797,8,0.03481732223793431,1,2,1,1.0,1
798,8,0.10776687064490782,1,3,1,1.0,1
799,8,0.03481732223793431,1,2,1,1.0,1
800,8,0.03481732223793431,1,2,1,1.0,1
801,8,0.03481732223793431,1,2,1,1.0,1
802,8,0.03481732223793431,1,2,1,1.0,1
803,8,0.03481732223793431,1,2,1,1.0,1
804,8,0.28635368220327273,3,7,1,1.0,1
805,8,0.040725376333113905,3,6,1,1.0,1
806,8,0.040725376333113905,3,6,1,1.0,1
807,8,0.040725376333113905,3,6,1,1.0,1
808,8,0.03481732223793431,1,2,1,1.0,1
809,8,0.03481732223793431,1,2,1,1.0,1
810,8,0.03481732223793431,1,2,1,1.0,1
811,8,0.03481732223793431,1,2,1,1.0,1
812,8,0.03481732223793431,1,2,1,1.0,1
817,8,0.03481732223793431,1,2,1,1.0,1
818,45,0.7422739317495406,2,7,1,1.0,1
819,45,0.7422739317495406,2,7,1,1.0,1
820,8,0.03481732223793431,1,2,1,1.0,1
821,8,0.03481732223793431,1,2,1,1.0,1
823,8,0.03481732223793431,1,2,1,1.0,1
824,8,0.03481732223793431,1,2,1,1.0,1
825,8,0.10243897964366001,1,3,1,1.0,1
826,8,0.10243897964366001,1,3,1,1.0,1
827,8,0.10243897964366001,1,3,1,1.0,1
828,8,0.10243897964366001,1,3,1,1.0,1
829,8,0.03481732223793431,1,2,1,1.0,1
830,8,0.03481732223793431,1,2,1,1.0,1
831,8,0,0,0,1,1.0,1
832,8,0,0,0,1,1.0,1
833,8,0,0,0,1,1.0,1
834,8,0.13580135652986125,1,2,1,1.0,1
835,48,2.750270391619146,2,11,1,1.0,1
836,8,0,0,0,1,1.0,1
837,8,0,0,0,1,1.0,1
838,8,0,0,0,1,1.0,1
839,8,0,0,0,1,1.0,1
840,8,0.2288389426760521,2,4,1,1.0,1
841,8,0.46042677862353676,2,5,1,1.0,1
842,8,0.5245812534076493,2,5,1,1.0,1
843,8,0.2288389426760521,2,4,1,1.0,1
844,8,0.2288389426760521,2,4,1,1.0,1
845,8,0.09303758614619084,1,2,1,1.0,1
846,8,0.26453958230174,1,3,1,1.0,1
847,8,0.26453958230174,1,3,1,1.0,1
848,8,0.7387514238896169,1,4,1,1.0,1
849,8,0.7387514238896169,1,4,1,1.0,1
850,8,0.8450052801549206,1,4,1,1.0,1
851,8,0.49639060203500895,1,3,1,1.0,1
852,8,0.8450052801549206,1,4,1,1.0,1
853,8,1.395888647194804,1,5,1,1.0,1
854,8,3.431301048572931,2,10,1,1.0,1
904,8,0,0,0,1,1.0,1
928,49,1.4487697407791218,2,8,1,1.0,1
932,31,6.588240184402083,1,10,1,1.0,1
940,50,1.5630591763703117,3,9,1,1.0,1
975,8,0,0,0,1,1.0,1
990,8,0,0,0,1,1.0,1
1021,51,176.62125664743098,3,78,1,1.0,1
1070,8,0,0,0,1,1.0,1
1071,8,0,0,0,1,1.0,1
1072,8,0,0,0,1,1.0,1
1073,8,0,0,0,1,1.0,1
1074,8,0,0,0,1,1.0,1
