num_fam,nb_members,sum_quanti,sum_quali,nb_0,nb_mono,nb_multi,sum_0_mono_multi,max_multi
1,32,32,32,0,32,0,32,1
2,32,32,32,0,32,0,32,1
3,32,32,32,0,32,0,32,1
4,25,25,25,7,25,0,32,1
5,32,32,32,0,32,0,32,1
6,32,32,32,0,32,0,32,1
7,32,32,32,0,32,0,32,1
8,32,32,32,0,32,0,32,1
9,32,32,32,0,32,0,32,1
10,32,32,32,0,32,0,32,1
11,32,32,32,0,32,0,32,1
12,32,32,32,0,32,0,32,1
13,31,31,31,1,31,0,32,1
14,31,31,31,1,31,0,32,1
15,20,20,18,14,16,2,32,2
16,32,32,32,0,32,0,32,1
17,32,32,32,0,32,0,32,1
18,32,32,32,0,32,0,32,1
19,32,32,32,0,32,0,32,1
20,20,20,20,12,20,0,32,1
21,31,31,31,1,31,0,32,1
22,32,32,32,0,32,0,32,1
23,32,32,32,0,32,0,32,1
24,32,32,32,0,32,0,32,1
25,32,32,32,0,32,0,32,1
26,1,1,1,31,1,0,32,1
27,1,1,1,31,1,0,32,1
28,33,33,32,0,31,1,32,2
29,33,33,32,0,31,1,32,2
30,2,2,2,30,2,0,32,1
31,31,31,31,1,31,0,32,1
32,31,31,31,1,31,0,32,1
33,1,1,1,31,1,0,32,1
34,32,32,32,0,32,0,32,1
35,32,32,32,0,32,0,32,1
36,11,11,11,21,11,0,32,1
37,28,28,28,4,28,0,32,1
38,30,30,30,2,30,0,32,1
39,32,32,32,0,32,0,32,1
40,32,32,32,0,32,0,32,1
41,32,32,32,0,32,0,32,1
42,39,39,32,0,27,5,32,3
43,30,30,30,2,30,0,32,1
44,1,1,1,31,1,0,32,1
45,1,1,1,31,1,0,32,1
46,6,6,6,26,6,0,32,1
47,1,1,1,31,1,0,32,1
48,22,22,22,10,22,0,32,1
49,3,3,3,29,3,0,32,1
50,1,1,1,31,1,0,32,1
51,2,2,2,30,2,0,32,1
52,1,1,1,31,1,0,32,1
53,1,1,1,31,1,0,32,1
54,1,1,1,31,1,0,32,1
55,1,1,1,31,1,0,32,1
56,2,2,2,30,2,0,32,1
57,1,1,1,31,1,0,32,1
58,1,1,1,31,1,0,32,1
59,32,32,32,0,32,0,32,1
60,32,32,32,0,32,0,32,1
61,32,32,32,0,32,0,32,1
62,32,32,32,0,32,0,32,1
63,32,32,32,0,32,0,32,1
64,39,39,32,0,27,5,32,3
65,32,32,32,0,32,0,32,1
