block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
364,0,0.0023174214,1,5,1.03125,False
1020,1,0.0022962994,1,5,0.65625,False
989,2,0.0022139544000000008,1,5,0.5,False
340,3,0.0019199963,2,7,1.03125,False
197,4,0.0016917033999999998,4,10,3.03125,False
363,5,0.0015727012000000002,1,4,0.78125,False
361,5,0.0015727012000000002,1,4,0.78125,False
360,5,0.0015727012000000002,1,4,0.78125,False
359,5,0.0015727012000000002,1,4,0.78125,False
358,5,0.0015727012000000002,1,4,0.78125,False
357,5,0.0015727012000000002,1,4,0.78125,False
356,5,0.0015727012000000002,1,4,0.78125,False
355,5,0.0015727012000000002,1,4,0.78125,False
354,5,0.0015727012000000002,1,4,0.78125,False
353,5,0.0015727012000000002,1,4,0.78125,False
352,5,0.0015727012000000002,1,4,0.78125,False
351,5,0.0015727012000000002,1,4,0.78125,False
350,5,0.0015727012000000002,1,4,0.78125,False
349,5,0.0015727012000000002,1,4,0.78125,False
348,5,0.0015727012000000002,1,4,0.78125,False
347,5,0.0015727012000000002,1,4,0.78125,False
346,5,0.0015727012000000002,1,4,0.78125,False
345,5,0.0015727012000000002,1,4,0.78125,False
344,5,0.0015727012000000002,1,4,0.78125,False
343,5,0.0015727012000000002,1,4,0.78125,False
342,5,0.0015727012000000002,1,4,0.78125,False
341,5,0.0015727012000000002,1,4,0.78125,False
10,6,0.0015661415999999998,2,6,0.90625,False
332,7,0.001544101,1,4,0.84375,False
331,7,0.001544101,1,4,0.84375,False
1061,8,0.0015337435999999997,1,4,0.5,False
1075,9,0.0015267812000000001,1,4,0.8125,False
1074,9,0.0015267812000000001,1,4,0.8125,False
1073,9,0.0015055769,1,4,0.78125,False
1076,10,0.0014950255999999999,1,5,1,False
1069,11,0.0014873609999999998,2,6,1.28125,False
1037,12,0.0014551787,1,4,1.4375,False
201,13,0.0014412202,1,5,0.71875,False
200,13,0.0014412202,1,5,0.71875,False
1067,14,0.0014221116999999998,1,4,0.75,False
790,15,0.0013229381,1,4,0.3125,False
503,16,0.0012781251999999998,1,4,1.4375,False
1043,17,0.0012381093,4,10,2.9375,False
153,18,0.0012297167,1,4,0.8125,False
152,18,0.0012297167,1,4,0.8125,False
151,18,0.0012297167,1,4,0.8125,False
1007,19,0.0012221699000000003,1,4,0.71875,False
369,20,0.0011394456,3,7,1.875,False
651,21,0.0011041536999999999,2,6,1,False
1117,22,0.0010451912,1,3,0.09375,False
227,23,0.0010075986,1,4,3.8125,False
422,24,0.0009606384999999999,2,5,1.5625,False
366,25,0.0009593526,2,6,1.03125,False
362,26,0.0009474378,2,5,0.5625,False
159,27,0.0009170418,2,5,0.625,False
158,27,0.0009170418,2,5,0.625,False
157,27,0.0009170418,2,5,0.625,False
156,27,0.0009170418,2,5,0.625,False
1051,28,0.0008994933,2,5,2.15625,False
1059,29,0.0008628310999999999,1,4,0.84375,False
1070,30,0.0008614682000000001,1,3,0.78125,False
1147,31,0.0008535241999999999,1,3,0.15625,False
222,13,0.0008534786999999999,1,4,0.8125,False
221,13,0.0008534786999999999,1,4,0.8125,False
220,13,0.0008534786999999999,1,4,0.8125,False
219,13,0.0008534786999999999,1,4,0.8125,False
218,13,0.0008534786999999999,1,4,0.8125,False
217,13,0.0008534786999999999,1,4,0.8125,False
216,13,0.0008534786999999999,1,4,0.8125,False
215,13,0.0008534786999999999,1,4,0.8125,False
214,13,0.0008534786999999999,1,4,0.8125,False
213,13,0.0008534786999999999,1,4,0.8125,False
212,13,0.0008534786999999999,1,4,0.8125,False
211,13,0.0008534786999999999,1,4,0.8125,False
210,13,0.0008534786999999999,1,4,0.8125,False
209,13,0.0008534786999999999,1,4,0.8125,False
208,13,0.0008534786999999999,1,4,0.8125,False
207,13,0.0008534786999999999,1,4,0.8125,False
206,13,0.0008534786999999999,1,4,0.8125,False
205,13,0.0008534786999999999,1,4,0.8125,False
204,13,0.0008534786999999999,1,4,0.8125,False
203,13,0.0008534786999999999,1,4,0.8125,False
202,13,0.0008534786999999999,1,4,0.8125,False
1093,32,0.000834776,1,3,0.875,False
442,33,0.0008331994000000001,1,3,0.875,False
818,34,0.0008305858000000001,1,3,0.1875,False
1034,35,0.000780878,1,3,0.90625,False
1033,35,0.000780878,1,3,0.90625,False
1032,35,0.000780878,1,3,0.90625,False
1031,35,0.000780878,1,3,0.90625,False
1030,35,0.000780878,1,3,0.90625,False
1029,35,0.000780878,1,3,0.90625,False
1028,35,0.000780878,1,3,0.90625,False
1027,35,0.000780878,1,3,0.90625,False
1026,35,0.000780878,1,3,0.90625,False
1025,35,0.000780878,1,3,0.90625,False
1024,35,0.000780878,1,3,0.90625,False
1023,35,0.000780878,1,3,0.90625,False
1022,35,0.000780878,1,3,0.90625,False
444,36,0.0007750416000000001,1,3,0.5625,False
261,37,0.0007554735000000001,3,7,0.6875,False
1042,38,0.0007540143999999999,2,5,0.46875,False
443,36,0.0007049124000000002,1,3,0.59375,False
1062,39,0.0006954588,2,5,0.59375,False
1036,35,0.0006831114000000001,1,3,0.875,False
1035,35,0.0006831114000000001,1,3,0.875,False
423,40,0.000671523,3,7,2.84375,False
1044,41,0.0006632784,1,3,0.90625,False
510,42,0.0006631876,1,3,0.75,False
737,43,0.0006548439000000001,2,5,2.15625,False
232,44,0.0006149884,2,5,0.71875,False
1065,45,0.0006108457999999999,1,3,0.59375,False
1066,46,0.0005895244,1,3,0.625,False
946,47,0.0005882279999999999,1,3,0.4375,False
945,47,0.0005882279999999999,1,3,0.4375,False
229,48,0.0005706336,3,6,1.0625,False
1078,49,0.0005612267,2,5,0.75,False
388,50,0.0005532147,2,5,0.625,False
1047,51,0.0005494647,2,5,0.75,False
922,52,0.0005344109,2,5,1.15625,False
314,53,0.0005315262,1,3,0.8125,False
330,7,0.0005189874,1,3,0.875,False
329,7,0.0005189874,1,3,0.875,False
328,7,0.0005189874,1,3,0.875,False
327,7,0.0005189874,1,3,0.875,False
326,7,0.0005189874,1,3,0.875,False
325,7,0.0005189874,1,3,0.875,False
324,7,0.0005189874,1,3,0.875,False
1151,54,0.000517557,1,3,0.15625,False
226,23,0.000514487,1,3,3.9375,False
225,55,0.000514487,1,3,0.875,False
224,55,0.000514487,1,3,0.875,False
223,55,0.000514487,1,3,0.875,False
1079,56,0.0005140398,1,3,0.5,False
955,57,0.0004993034,1,3,0.78125,False
954,57,0.0004993034,1,3,0.78125,False
953,57,0.0004993034,1,3,0.78125,False
952,57,0.0004993034,1,3,0.78125,False
951,57,0.0004993034,1,3,0.78125,False
950,57,0.0004993034,1,3,0.78125,False
1064,58,0.0004923684,1,3,0.59375,False
230,55,0.0004720662,1,3,0.875,False
1115,59,0.00046305090000000004,2,5,0.25,False
1056,60,0.0004375292,2,5,0.84375,False
1084,61,0.0004360808,1,3,0.21875,False
758,62,0.0004354424,1,3,0.8125,False
1058,63,0.0004246079,2,4,1.40625,False
1057,64,0.00042249880000000005,1,3,0.65625,False
1054,65,0.00041498679999999995,1,3,0.6875,False
1072,66,0.0004143854,1,3,0.4375,False
1081,56,0.00041265539999999997,1,3,0.5625,False
389,67,0.00041236699999999996,2,4,0.40625,False
1088,68,0.00037103050000000007,1,2,0.0625,False
320,69,0.0003669684,1,3,0.1875,False
319,69,0.0003669684,1,3,0.1875,False
395,35,0.00035339960000000005,1,2,0.9375,False
394,35,0.00035339960000000005,1,2,0.9375,False
393,35,0.00035339960000000005,1,2,0.9375,False
392,35,0.00035339960000000005,1,2,0.9375,False
391,35,0.00035339960000000005,1,2,0.9375,False
390,35,0.00035339960000000005,1,2,0.9375,False
441,70,0.00035269280000000005,1,2,0.59375,False
440,70,0.00035269280000000005,1,2,0.59375,False
439,70,0.00035269280000000005,1,2,0.59375,False
438,70,0.00035269280000000005,1,2,0.59375,False
437,70,0.00035269280000000005,1,2,0.59375,False
436,70,0.00035269280000000005,1,2,0.59375,False
435,70,0.00035269280000000005,1,2,0.59375,False
433,70,0.00035269280000000005,1,2,0.59375,False
432,70,0.00035269280000000005,1,2,0.59375,False
431,71,0.00035269280000000005,1,2,1.21875,False
430,70,0.00035269280000000005,1,2,0.59375,False
429,70,0.00035269280000000005,1,2,0.59375,False
276,72,0.00035269280000000005,1,2,1.625,False
275,72,0.00035269280000000005,1,2,1.625,False
1120,73,0.00035163040000000005,1,3,0.34375,False
1021,74,0.0003475466,2,4,1.625,False
1119,75,0.00034554999999999997,1,3,0.84375,False
1077,76,0.0003447021,2,4,0.59375,False
1167,77,0.000344486,1,3,0.3125,False
1116,78,0.0003404076,1,3,0.4375,False
715,79,0.0003396156,1,2,0.9375,False
714,79,0.0003396156,1,2,0.9375,False
713,79,0.0003396156,1,2,0.9375,False
683,80,0.0003396156,1,2,1.9375,False
367,81,0.0003277545,2,4,0.59375,False
1111,82,0.0003267179,1,2,0.34375,False
1086,83,0.00032468910000000006,1,2,0.0625,False
141,83,0.00032468910000000006,1,2,0.0625,False
309,84,0.0003243357,1,2,0.0625,False
1092,85,0.000309628,1,2,0.4375,False
434,70,0.00030380950000000005,1,2,0.5625,False
277,72,0.00030380950000000005,1,2,1.59375,False
50,86,0.0002914828,1,3,0.6875,False
49,86,0.0002914828,1,3,0.6875,False
48,86,0.0002914828,1,3,0.6875,False
47,86,0.0002914828,1,3,0.6875,False
46,86,0.0002914828,1,3,0.6875,False
45,86,0.0002914828,1,3,0.6875,False
44,86,0.0002914828,1,3,0.6875,False
