id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,171h–172t,1767,0.000348496,1,2,0.0017318117,4,False
2,172h–173t,1591,0.000348496,1,2,0.001680923,4,False
3,131h–132t,1564,0.0002696425,1,2,0.002650423,6,False
4,2t–72t,181992,0.00024474770000000004,1,2,0.0024391444,5,False
5,64t–74t,101209,0.00024474770000000004,1,2,0.002342017,5,False
6,163h–164t,4557,0.00018585200000000002,2,4,0.0004836304,4,False
7,137h–138t,2801,0.0001641659,1,2,0.0012809671,4,False
8,146t–155h,12315,0.00015567039999999998,1,2,0.001105516,5,False
9,175t–183t,1608,0.0001535806,1,2,0.0018028033999999999,5,False
10,174h–182h,4310,0.0001535806,1,2,0.0018028033999999999,5,False
11,23t–89t,7253,8.730889999999998e-05,1,2,0.00017461779999999996,3,False
12,63h–9h,89745,7.091770000000001e-05,1,2,0.0006282454,4,False
13,138h–139t,1572,4.34376e-05,1,2,0.0010911653000000002,4,False
14,126h–157h,38345,0,0,0,0.005793055499999999,8,False
15,108t–204t,3753,0,0,0,0.0030799152,6,False
16,135h–136t,1899,0,0,0,0.0016261031,4,False
17,111t–167t,26508,0,0,0,0.0015865542,5,False
18,212h–213t,1878,0,0,0,0.0012702319000000002,4,False
19,152h–153t,3346,0,0,0,0.0012192299,4,False
20,127h–131t,67697,0,0,0,0.0009413214000000001,4,False
21,229t–238t,1723,0,0,0,0.0009044400000000001,4,False
22,56h–57t,14956,0,0,0,0.0008882219999999999,4,False
23,124h–125t,1569,0,0,0,0.0007505002,3,False
24,204h–205t,1631,0,0,0,0.0007184721999999999,3,False
25,135t–146h,1747,0,0,0,0.0006598780000000001,3,False
26,213h–215t,7019,0,0,0,0.000654587,3,False
27,132h–133t,1667,0,0,0,0.0006518184999999999,4,False
28,173h–174t,6743,0,0,0,0.0006143502,3,False
29,133h–134t,1562,0,0,0,0.0006128368000000001,3,False
30,1h–6t,8329,0,0,0,0.0006105168,3,False
31,123h–124t,1212,0,0,0,0.0003701382,3,False
32,35h–36t,2454,0,0,0,0.0003367768,2,False
33,102t–99h,1211,0,0,0,0.00032993900000000007,2,False
34,175h–176t,4373,0,0,0,0.0002778346,2,False
35,98h–99t,1999,0,0,0,0.00022384450000000001,2,False
36,63t–92h,37080,0,0,0,0.0001735444,3,False
37,101h–229h,2441,0,0,0,0.0001677583,2,False
38,112h–113t,1214,0,0,0,0.00015815799999999999,2,False
39,75h–78t,2544,0,0,0,0.000152578,2,False
40,79h–80t,1971,0,0,0,0.0001328876,2,False
41,78h–79t,4946,0,0,0,0.000112981,2,False
42,221h–222t,1282,0,0,0,0.000112981,2,False
43,236h–237t,5993,0,0,0,6.6666e-05,2,False
44,202t–246h,3487,0,0,0,5.70754e-05,2,False
45,201h–246t,1538,0,0,0,5.70754e-05,2,False
46,74h–75t,2375,0,0,0,5.2782e-05,2,False
47,18t–29t,1106,0,0,0,4.94589e-05,2,False
48,233h–234t,1330,0,0,0,4.88833e-05,2,False
49,183h–184t,1682,0,0,0,1.78092e-05,2,False
50,64h–73h,608,0,0,0,0,1,True
51,48h–50t,11600,0,0,0,0,0,True
52,47t–84t,1,0,0,0,0,0,True
53,46t–87t,1,0,0,0,0,0,True
54,46h–86h,276,0,0,0,0,0,True
55,45h–87h,1227,0,0,0,0,0,True
56,41h–92t,4105,0,0,0,0,0,True
57,38h–39t,1310,0,0,0,0,0,True
58,36h–42t,2073,0,0,0,0,1,True
59,33h–34t,1218,0,0,0,0,0,True
60,28h–88h,2589,0,0,0,0,0,True
61,27h–28t,3411,0,0,0,0,0,True
62,26h–27t,683,0,0,0,0,1,True
63,244h–88t,1240,0,0,0,0,0,True
64,243h–244t,174,0,0,0,0,0,True
65,239h–240t,2509,0,0,0,0,1,True
66,234h–235t,7882,0,0,0,0,1,True
67,223h–224t,3174,0,0,0,0,1,True
68,222h–223t,41,0,0,0,0,1,True
69,219h–220t,2689,0,0,0,0,1,True
70,218h–219t,7389,0,0,0,0,1,True
71,209h–210t,1050,0,0,0,0,1,True
72,208h–209t,3769,0,0,0,0,1,True
73,200h–201t,2846,0,0,0,0,1,True
74,199h–200t,1576,0,0,0,0,0,True
75,192h–199t,9311,0,0,0,0,0,True
76,189t–245t,53132,0,0,0,0,0,True
77,189h–190t,1225,0,0,0,0,0,True
78,184h–245h,10483,0,0,0,0,0,True
79,17h–91h,1625,0,0,0,0,0,True
80,178h–179t,2663,0,0,0,0,1,True
81,176h–177t,3305,0,0,0,0,0,True
82,168h–169t,1604,0,0,0,0,1,True
83,15h–17t,13275,0,0,0,0,1,True
84,144h–145t,1842,0,0,0,0,1,True
85,13h–14t,4403,0,0,0,0,0,True
86,12t–38t,22,0,0,0,0,0,True
87,127t–160t,1574,0,0,0,0,1,True
88,125h–126t,1975,0,0,0,0,1,True
89,115h–116t,1,0,0,0,0,0,True
90,110h–164h,3118,0,0,0,0,1,True
91,107h–203h,5624,0,0,0,0,1,True
92,100t–232t,30505,0,0,0,0,1,True
