id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,179h–180t,1601,0.006715573000000001,1,3,0.0144856246,5,False
2,180h–181t,2298,0.006715573000000001,1,3,0.0144505306,5,False
3,68t–79t,184910,0.003342311,2,4,0.018253154900000002,6,False
4,73h–85t,100211,0.003342311,2,4,0.018187225500000005,6,False
5,17h–21t,47626,0.000864181,1,3,0.000864181,3,False
6,130t–170t,38345,0.0002829182,1,2,0.026191012000000007,8,False
7,190h–191t,1578,0.0002811472,2,4,0.0024353395,6,False
8,182h–183t,4282,0.0002811472,2,4,0.0024353395,6,False
9,126h–169h,1564,0.0002576117,1,2,0.0025232336999999995,6,False
10,114t–116t,4559,0.0001619257,2,4,0.00045425989999999997,4,False
11,141h–148h,4194,0.0001587473,1,2,0.0006716394,4,False
12,133t–139t,22092,0.0001503156,1,2,0.0026405825,6,False
13,147h–148t,2165,0,0,0,0.014163718999999998,5,False
14,111h–112t,2202,0,0,0,0.009739199700000001,4,False
15,149h–150t,1588,0,0,0,0.0032034359,2,False
16,120h–121t,1577,0,0,0,0.0031537498000000002,2,False
17,167h–177t,1637,0,0,0,0.0031390228000000003,2,False
18,220h–222t,5621,0,0,0,0.0030788845000000002,2,False
19,142h–143t,1632,0,0,0,0.002174574,5,False
20,112h–113t,3753,0,0,0,0.0019487906999999997,6,False
21,215h–232h,62563,0,0,0,0.0017425398,5,False
22,164h–166t,29233,0,0,0,0.0015057713999999999,5,False
23,139h–140t,2190,0,0,0,0.0010365497,4,False
24,101h–102t,1968,0,0,0,0.0010201507,4,False
25,121h–126t,68894,0,0,0,0.000948927,4,False
26,66h–67h,15401,0,0,0,0.0008322367,4,False
27,171h–172t,1579,0,0,0,0.0007300174,3,False
28,93h–95t,84367,0,0,0,0.0007118374,4,False
29,101t–99h,7020,0,0,0,0.0006354369999999999,3,False
30,181h–182t,6816,0,0,0,0.0006088602,3,False
31,152h–153t,1476,0,0,0,0.0006057304,3,False
32,134h–135t,3911,0,0,0,0.0005950485999999999,4,False
33,224h–225t,1677,0,0,0,0.0005909274,3,False
34,3t–96h,38049,0,0,0,0.0005655449999999999,4,False
35,154h–168t,1583,0,0,0,0.0005197848000000001,4,False
36,163t–173t,1680,0,0,0,0.0004208552,3,False
37,60t–87t,2316,0,0,0,0.00038548940000000006,3,False
38,162h–172h,1196,0,0,0,0.00035130640000000004,3,False
39,41h–42t,2741,0,0,0,0.0003250855,2,False
40,237h–238t,1388,0,0,0,0.0003130586,2,False
41,85h–86t,3428,0,0,0,0.00030870119999999994,3,False
42,205t–248h,3572,0,0,0,0.0002712452,3,False
43,210h–212t,22646,0,0,0,0.0002483289,2,False
44,217t–237t,2700,0,0,0,0.0002255664,2,False
45,12h–14t,13885,0,0,0,0.000161295,2,False
46,62h–86h,3955,0,0,0,0.000157705,2,False
47,225h–226t,2357,0,0,0,0.0001562415,2,False
48,228h–229t,1665,0,0,0,0.000133221,2,False
49,61h–62t,5561,0,0,0,0.0001078822,2,False
50,206h–207t,1233,0,0,0,0.0001078822,2,False
51,88h–90t,8383,0,0,0,0.00010375050000000001,2,False
52,189h–190t,2970,0,0,0,7.807809999999999e-05,2,False
53,204h–205h,6699,0,0,0,5.86597e-05,2,False
54,35h–36t,1054,0,0,0,4.88749e-05,2,False
55,191h–192t,1638,0,0,0,1.10716e-05,2,False
56,8h–9t,1,0,0,0,0,0,True
57,7h–8t,93,0,0,0,0,0,True
58,71h–72t,628,0,0,0,0,1,True
59,70h–71t,1,0,0,0,0,0,True
60,53h–55t,11712,0,0,0,0,1,True
61,52h–53t,1716,0,0,0,0,1,True
62,51h–52t,1,0,0,0,0,0,True
63,4h–5t,1574,0,0,0,0,1,True
64,48h–49t,306,0,0,0,0,0,True
65,47h–48t,3205,0,0,0,0,0,True
66,46h–47t,7260,0,0,0,0,0,True
67,42h–43t,2007,0,0,0,0,1,True
68,3h–4t,8723,0,0,0,0,0,True
69,39h–40t,5401,0,0,0,0,1,True
70,37h–38t,2047,0,0,0,0,1,True
71,28h–29t,1242,0,0,0,0,0,True
72,27h–28t,1558,0,0,0,0,0,True
73,26h–27t,1558,0,0,0,0,1,True
74,25h–26t,3437,0,0,0,0,0,True
75,244h–245t,5677,0,0,0,0,1,True
76,229h–230t,7825,0,0,0,0,1,True
77,227h–228t,31026,0,0,0,0,1,True
78,213h–214t,1188,0,0,0,0,1,True
79,208h–209t,3577,0,0,0,0,1,True
80,207h–208t,667,0,0,0,0,1,True
81,206t–249t,2638,0,0,0,0,1,True
82,203h–204t,2949,0,0,0,0,1,True
83,202h–203t,1524,0,0,0,0,0,True
84,201h–202t,2082,0,0,0,0,1,True
85,198h–199t,4369,0,0,0,0,1,True
86,194h–198t,53156,0,0,0,0,1,True
87,192h–194t,10548,0,0,0,0,1,True
88,188h–189t,3256,0,0,0,0,0,True
89,186h–187t,4516,0,0,0,0,1,True
90,175h–176t,329,0,0,0,0,0,True
91,170h–171t,2873,0,0,0,0,1,True
92,14h–15t,4024,0,0,0,0,0,True
93,114h–115t,3124,0,0,0,0,1,True
94,10h–11t,881,0,0,0,0,0,True
95,107h–108t,3793,0,0,0,0,1,True
