block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent,insertions_count,deletions_count
259,0,0.0015239507999999999,1,4,0.78125,False,1,4
258,0,0.0015239507999999999,1,4,0.78125,False,1,4
257,0,0.0015239507999999999,1,4,0.78125,False,1,4
256,0,0.0015239507999999999,1,4,0.78125,False,1,4
61,1,0.0014950920000000002,1,4,0.84375,False,0,4
60,1,0.0014950920000000002,1,4,0.84375,False,0,4
194,2,0.0014559396999999999,1,4,0.8125,False,0,4
251,3,0.0012031148,2,6,0.625,False,3,3
41,4,0.0011899236999999999,1,4,0.8125,False,0,4
40,4,0.0011899236999999999,1,4,0.8125,False,0,4
54,5,0.0008829379000000001,1,4,0.75,False,0,4
205,6,0.0007991304,1,3,0.875,False,0,3
94,7,0.0007490521999999999,1,3,0.5625,False,3,1
29,8,0.0007409070000000001,1,3,0.90625,False,0,3
64,9,0.0006877233,1,4,0.21875,False,0,4
28,8,0.0006460514,1,3,0.875,False,0,3
234,10,0.000585916,1,3,0.46875,False,1,3
233,10,0.000585916,1,3,0.46875,False,1,3
62,1,0.0005045016000000001,1,3,0.875,False,0,3
66,11,0.0004876736,1,3,0.875,False,0,3
65,11,0.0004876736,1,3,0.875,False,0,3
266,12,0.00048708,1,3,0.78125,False,0,3
263,12,0.00048708,1,3,0.78125,False,0,3
59,13,0.0004802704,1,3,0.84375,False,0,3
58,13,0.0004802704,1,3,0.84375,False,0,3
57,13,0.0004802704,1,3,0.84375,False,0,3
56,13,0.0004802704,1,3,0.84375,False,0,3
55,13,0.0004802704,1,3,0.84375,False,0,3
27,14,0.0003426739,1,2,0.9375,False,0,2
97,15,0.0003419438,1,2,0.625,False,0,2
2,15,0.0003419438,1,2,0.625,False,0,2
1,15,0.0003419438,1,2,0.625,False,0,2
63,16,0.00033744879999999996,1,3,0.375,False,0,3
261,17,0.000330118,1,3,0.46875,False,1,3
260,17,0.000330118,1,3,0.46875,False,1,3
114,18,0.00032092949999999997,1,2,0.9375,False,0,2
265,19,0.00031696099999999994,1,3,0.28125,False,0,3
264,19,0.00031696099999999994,1,3,0.28125,False,0,3
98,15,0.000294516,1,2,0.59375,False,0,2
84,20,0.000294516,1,2,1.625,False,0,2
254,21,0.00028890459999999997,1,3,0.6875,False,1,3
253,21,0.00028890459999999997,1,3,0.6875,False,1,3
252,21,0.00028890459999999997,1,3,0.6875,False,1,3
51,22,0.000272509,1,2,0.875,False,0,2
50,22,0.000272509,1,2,0.875,False,0,2
49,22,0.000272509,1,2,0.875,False,0,2
47,22,0.000272509,1,2,0.875,False,0,2
189,23,0.00020758520000000003,1,2,0.84375,False,0,2
86,24,0.00020500650000000002,1,2,0.9375,False,0,2
236,10,0.000135253,1,2,0.5,False,1,2
235,10,0.000135253,1,2,0.5,False,1,2
81,25,0.00010639929999999999,1,2,0.5625,False,1,2
198,26,3.88838e-05,1,2,0.9375,False,0,2
269,27,0,0,0,0.0625,True,0,0
268,28,0,0,0,0.09375,True,0,1
267,29,0,0,0,0.09375,True,0,1
262,30,0,0,0,0.75,True,0,1
255,31,0,0,0,0.65625,True,0,1
250,32,0,0,0,1,True,0,0
249,32,0,0,0,1,True,0,0
248,33,0,0,0,1,True,0,0
247,33,0,0,0,1,True,0,0
246,33,0,0,0,1.03125,True,0,0
245,33,0,0,0,1,True,0,0
244,33,0,0,0,1,True,0,0
243,33,0,0,0,1,True,0,0
242,33,0,0,0,1,True,0,0
241,33,0,0,0,1,True,0,0
240,33,0,0,0,1,True,0,0
239,33,0,0,0,1,True,0,0
238,33,0,0,0,1,True,0,0
237,33,0,0,0,1,True,0,0
232,32,0,0,0,1,True,0,0
231,32,0,0,0,1,True,0,0
230,32,0,0,0,1,True,0,0
229,32,0,0,0,1,True,0,0
228,32,0,0,0,1,True,0,0
227,33,0,0,0,1,True,0,0
226,33,0,0,0,1,True,0,0
225,33,0,0,0,1,True,0,0
224,33,0,0,0,1,True,0,0
223,33,0,0,0,1,True,0,0
222,33,0,0,0,1,True,0,0
221,33,0,0,0,1.03125,True,0,0
