block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
36,0,0.5443150130000001,1,6,0.36363636363636365,False
130,1,0.25303505,1,4,0.5909090909090909,False
149,2,0.16557892200000002,1,3,0.36363636363636365,False
164,3,0.164715316,1,3,0.22727272727272727,False
155,4,0.04187958,1,2,0.13636363636363635,False
144,5,0.03495788,1,2,0.7727272727272727,False
44,6,0.03495788,1,2,0.22727272727272727,False
159,7,0.03494966,1,2,0.18181818181818182,False
124,8,0.03494966,1,2,0.8181818181818182,False
141,9,0.031293648,1,2,0.36363636363636365,False
129,10,0.030321510200000006,1,2,0.6818181818181818,False
157,11,0.013514621,1,2,0.09090909090909091,False
46,12,0.01312,1,2,0.9090909090909091,False
45,12,0.01312,1,2,0.9090909090909091,False
153,13,0.012411361,1,2,0.36363636363636365,False
152,13,0.012411361,1,2,0.36363636363636365,False
151,13,0.012411361,1,2,0.36363636363636365,False
167,14,0,0,0,0.13636363636363635,True
166,14,0,0,0,0.13636363636363635,True
165,14,0,0,0,0.13636363636363635,True
163,15,0,0,0,0.22727272727272727,True
162,15,0,0,0,0.22727272727272727,True
161,16,0,0,0,0.22727272727272727,True
160,16,0,0,0,0.22727272727272727,True
158,17,0,0,0,0.13636363636363635,True
156,18,0,0,0,0.09090909090909091,True
154,19,0,0,0,0.09090909090909091,True
150,20,0,0,0,0.45454545454545453,True
148,21,0,0,0,0.45454545454545453,True
147,22,0,0,0,0.36363636363636365,True
146,23,0,0,0,0.45454545454545453,True
145,23,0,0,0,0.45454545454545453,True
143,24,0,0,0,0.09090909090909091,True
142,24,0,0,0,0.09090909090909091,True
140,25,0,0,0,0.13636363636363635,True
139,26,0,0,0,0.09090909090909091,True
138,26,0,0,0,0.09090909090909091,True
137,26,0,0,0,0.09090909090909091,True
136,27,0,0,0,0.13636363636363635,True
135,28,0,0,0,0.13636363636363635,True
134,29,0,0,0,0.2727272727272727,True
133,30,0,0,0,0.09090909090909091,True
132,30,0,0,0,0.09090909090909091,True
131,24,0,0,0,0.09090909090909091,True
128,31,0,0,0,1,True
127,31,0,0,0,1,True
126,31,0,0,0,1,True
125,31,0,0,0,1,True
123,31,0,0,0,1,True
122,31,0,0,0,1,True
121,31,0,0,0,1,True
120,31,0,0,0,1,True
119,31,0,0,0,1,True
118,31,0,0,0,1,True
117,31,0,0,0,1,True
116,31,0,0,0,1,True
115,31,0,0,0,1,True
114,31,0,0,0,1,True
113,31,0,0,0,1,True
112,32,0,0,0,1,True
111,32,0,0,0,1,True
110,32,0,0,0,1,True
109,32,0,0,0,1,True
108,32,0,0,0,1,True
107,32,0,0,0,1,True
106,32,0,0,0,1,True
105,32,0,0,0,1,True
104,32,0,0,0,1,True
103,32,0,0,0,1,True
102,32,0,0,0,1,True
101,32,0,0,0,1,True
100,32,0,0,0,1,True
99,32,0,0,0,1,True
98,32,0,0,0,1,True
97,32,0,0,0,1,True
96,32,0,0,0,1,True
95,32,0,0,0,1,True
94,32,0,0,0,1,True
93,32,0,0,0,1,True
92,32,0,0,0,1,True
91,32,0,0,0,1,True
90,32,0,0,0,1,True
89,32,0,0,0,1,True
88,32,0,0,0,1,True
87,32,0,0,0,1,True
86,32,0,0,0,1,True
85,32,0,0,0,1,True
84,32,0,0,0,1,True
83,33,0,0,0,0.9545454545454546,True
82,34,0,0,0,1,True
81,34,0,0,0,1,True
80,34,0,0,0,1,True
79,34,0,0,0,1,True
78,34,0,0,0,1,True
77,34,0,0,0,1,True
76,34,0,0,0,1,True
75,34,0,0,0,1,True
74,34,0,0,0,1,True
73,34,0,0,0,1,True
72,34,0,0,0,1,True
71,34,0,0,0,1,True
70,34,0,0,0,1,True
69,34,0,0,0,1,True
68,34,0,0,0,1,True
67,34,0,0,0,1,True
66,35,0,0,0,1,True
65,35,0,0,0,1,True
64,35,0,0,0,1,True
63,35,0,0,0,1,True
62,35,0,0,0,1,True
61,35,0,0,0,1,True
60,35,0,0,0,1,True
59,35,0,0,0,1,True
58,35,0,0,0,1,True
57,35,0,0,0,1,True
56,35,0,0,0,1,True
55,35,0,0,0,1,True
54,35,0,0,0,1,True
53,35,0,0,0,1,True
52,35,0,0,0,1,True
51,35,0,0,0,1,True
50,35,0,0,0,1,True
49,35,0,0,0,1,True
48,35,0,0,0,1,True
47,35,0,0,0,1,True
43,35,0,0,0,1,True
42,35,0,0,0,1,True
41,35,0,0,0,1,True
40,36,0,0,0,1,True
39,36,0,0,0,1,True
38,36,0,0,0,1,True
37,36,0,0,0,1,True
35,36,0,0,0,1,True
34,36,0,0,0,1,True
33,36,0,0,0,1,True
32,36,0,0,0,1,True
31,36,0,0,0,1,True
30,36,0,0,0,1,True
29,36,0,0,0,1,True
28,36,0,0,0,1,True
27,36,0,0,0,1,True
26,36,0,0,0,1,True
25,36,0,0,0,1,True
24,36,0,0,0,1,True
23,36,0,0,0,1,True
22,36,0,0,0,1,True
21,36,0,0,0,1,True
20,36,0,0,0,1,True
19,36,0,0,0,1,True
18,36,0,0,0,1,True
17,36,0,0,0,1,True
16,36,0,0,0,1,True
15,36,0,0,0,1,True
14,36,0,0,0,1,True
13,36,0,0,0,1,True
12,36,0,0,0,1,True
11,36,0,0,0,1,True
10,36,0,0,0,1,True
9,36,0,0,0,1,True
8,31,0,0,0,1,True
7,31,0,0,0,1,True
6,31,0,0,0,1,True
5,31,0,0,0,1,True
4,31,0,0,0,1,True
3,31,0,0,0,1,True
2,31,0,0,0,1,True
1,31,0,0,0,1,True
