block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
214,0,14.998176535599985,2,40,0.39147286821705424,False
252,1,8.038065693199997,2,30,0.4496124031007752,False
253,1,6.7637605327999974,2,29,0.43410852713178294,False
270,2,6.073554092200004,2,22,0.14728682170542637,False
264,3,2.3152578489999995,2,15,0.15503875968992248,False
255,4,2.0622647019999993,1,11,0.32945736434108525,False
327,5,1.669254752,2,12,0.23255813953488372,False
282,6,1.3199061162,1,12,0.07364341085271318,False
21,7,1.043777522,1,9,0.7170542635658915,False
285,8,0.8537377308000001,1,7,0.07751937984496124,False
284,8,0.8537377308000001,1,7,0.07751937984496124,False
260,9,0.8068992639999999,1,7,0.11627906976744186,False
143,10,0.7775510852,1,10,0.05813953488372093,False
142,10,0.7775510852,1,10,0.05813953488372093,False
268,11,0.6928864440000001,1,6,0.046511627906976744,False
267,12,0.6465627720000001,1,6,0.06201550387596899,False
274,13,0.5600779490000002,1,10,0.2441860465116279,False
213,14,0.49092219540000004,1,8,0.06589147286821706,False
283,8,0.48640385330000013,2,7,0.06201550387596899,False
279,15,0.3944282822000001,1,5,0.027131782945736434,False
246,16,0.389435616,1,5,0.6317829457364341,False
313,17,0.38623529399999995,1,5,0.05813953488372093,False
249,18,0.3484777211,1,4,0.6589147286821705,False
245,19,0.33556683290000006,2,7,0.2596899224806202,False
42,20,0.316497527,1,4,0.32945736434108525,False
29,21,0.30363192749999995,1,6,0.12015503875968993,False
248,22,0.293555872,1,4,0.7984496124031008,False
277,15,0.2627786668,1,4,0.023255813953488372,False
3,15,0.2627786668,1,4,0.023255813953488372,False
2,15,0.2627786668,1,4,0.023255813953488372,False
247,23,0.2588960470000001,1,4,0.24031007751937986,False
310,24,0.24882523,2,5,0.04263565891472868,False
250,25,0.20870632000000003,1,4,0.06589147286821706,False
263,26,0.20457560000000002,1,3,0.015503875968992248,False
98,27,0.177923958,1,3,0.29844961240310075,False
259,28,0.141002829,2,6,0.12015503875968993,False
258,28,0.141002829,2,6,0.12015503875968993,False
299,29,0.13884841180000002,1,3,0.015503875968992248,False
276,15,0.1384039458,1,3,0.01937984496124031,False
275,15,0.1384039458,1,3,0.01937984496124031,False
1,15,0.13139023260000002,1,3,0.01937984496124031,False
278,15,0.1313851646,1,3,0.01937984496124031,False
269,30,0.12996317500000001,2,7,0.1511627906976744,False
293,31,0.12204653399999998,1,3,0.09302325581395349,False
309,32,0.08609856190000001,1,2,0.027131782945736434,False
308,32,0.08609856190000001,1,2,0.027131782945736434,False
332,33,0.08432850299999999,1,2,0.007751937984496124,False
331,33,0.08432850299999999,1,2,0.007751937984496124,False
305,34,0.07872575,1,2,0.023255813953488372,False
333,35,0.07863015,1,2,0.007751937984496124,False
32,36,0.07171082,1,2,0.9689922480620154,False
5,37,0.0690873,1,2,0.9457364341085271,False
4,37,0.0690873,1,2,0.9457364341085271,False
288,38,0.06618301890000002,2,4,0.01937984496124031,False
257,39,0.06591535040000002,1,2,0.007751937984496124,False
256,39,0.06591535040000002,1,2,0.007751937984496124,False
281,15,0.0656787674,1,2,0.011627906976744186,False
280,15,0.0656786857,1,2,0.015503875968992248,False
335,40,0.06495478800000001,1,2,0.007751937984496124,False
302,40,0.063795557,1,2,0.01937984496124031,False
301,40,0.063795557,1,2,0.01937984496124031,False
330,41,0.062796659,1,2,0.015503875968992248,False
345,42,0.062687001,1,2,0.007751937984496124,False
266,43,0.062501683,1,2,0.007751937984496124,False
304,44,0.05770260790000001,1,2,0.01937984496124031,False
303,44,0.05770260790000001,1,2,0.01937984496124031,False
201,45,0.0576174,1,2,0.07751937984496124,False
23,46,0.056005708,1,2,0.3449612403100775,False
271,47,0.053915851,1,2,0.5503875968992248,False
320,48,0.05376236399999999,1,3,0.015503875968992248,False
61,49,0.05282795,1,2,0.4186046511627907,False
265,50,0.047473150000000006,1,2,0.03488372093023256,False
287,51,0.047369222,1,3,0.046511627906976744,False
272,52,0.04590862,1,2,0.5542635658914729,False
339,53,0.040950272600000004,1,3,0.011627906976744186,False
338,53,0.040950272600000004,1,3,0.011627906976744186,False
337,53,0.040950272600000004,1,3,0.011627906976744186,False
336,53,0.040950272600000004,1,3,0.011627906976744186,False
144,54,0.038109649999999995,1,2,0.437984496124031,False
334,41,0.035242919600000006,1,3,0.015503875968992248,False
312,55,0.028529298,2,5,0.05813953488372093,False
329,56,0.0280926446,1,3,0.01937984496124031,False
254,57,0.019219352000000002,2,5,0.13565891472868216,False
340,58,0.017003532,1,2,0.007751937984496124,False
108,59,0.016804342399999995,1,6,0.03488372093023256,False
107,59,0.016804342399999995,1,6,0.03488372093023256,False
323,60,0.016094038,1,2,0.007751937984496124,False
300,61,0.015643071,1,2,0.015503875968992248,False
290,62,0.015379432200000001,1,3,0.015503875968992248,False
351,63,0.015120533,1,2,0.011627906976744186,False
273,64,0.013195274,1,2,0.007751937984496124,False
262,65,0.012938864,1,3,0.10077519379844961,False
261,65,0.012830224,1,3,0.08914728682170543,False
317,66,0.012628380000000002,1,2,0.007751937984496124,False
298,67,0.01124332,1,2,0.01937984496124031,False
230,68,0.01124332,1,2,0.9689922480620154,False
295,69,0.00963845,1,2,0.03875968992248062,False
251,25,0.0060932569999999995,1,2,0.05813953488372093,False
292,70,0.005631782,1,2,0.015503875968992248,False
328,71,0.004810773,1,2,0.03875968992248062,False
291,62,0.0040212768,1,2,0.011627906976744186,False
350,72,0,0,0,0.011627906976744186,True
349,73,0,0,0,0.011627906976744186,True
348,74,0,0,0,0.011627906976744186,True
347,74,0,0,0,0.011627906976744186,True
346,75,0,0,0,0.007751937984496124,True
344,76,0,0,0,0.007751937984496124,True
343,77,0,0,0,0.007751937984496124,True
342,78,0,0,0,0.007751937984496124,True
341,78,0,0,0,0.007751937984496124,True
326,79,0,0,0,0.015503875968992248,True
325,80,0,0,0,0.10465116279069768,True
324,81,0,0,0,0.007751937984496124,True
322,82,0,0,0,0.015503875968992248,True
321,83,0,0,0,0.007751937984496124,True
319,84,0,0,0,0.015503875968992248,True
318,69,0,0,0,0.011627906976744186,True
316,85,0,0,0,0.007751937984496124,True
315,86,0,0,0,0.11627906976744186,True
314,87,0,0,0,0.1511627906976744,True
311,44,0,0,0,0.01937984496124031,True
307,50,0,0,0,0.015503875968992248,True
306,34,0,0,0,0.01937984496124031,True
297,88,0,0,0,0.050387596899224806,True
296,89,0,0,0,0.050387596899224806,True
294,90,0,0,0,0.06976744186046512,True
289,91,0,0,0,0.011627906976744186,True
286,92,0,0,0,0.023255813953488372,True
