id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,1245h–1246t,7050,1.9884262568999997,4,39,6.2056858002000075,41,False
2,268h–284t,80215,1.6237689032000007,2,22,2.517284819200001,25,False
3,1379h–1380t,5614,0.21509192009999997,1,8,0.3844868563999999,11,False
4,200h–201t,11290,0.14422361270000006,1,8,0.3487131141999999,11,False
5,1531t–70h,19093,0.1185486597,2,6,0.8666877157000002,12,False
6,374h–379t,40545,0.0334199896,1,3,0.29510728940000003,8,False
7,231h–232t,57042,0.0334199896,1,3,0.1285603596,5,False
8,204h–205t,10837,0.0193456669,2,4,0.0578765775,4,False
9,530h–531t,7467,0.013888350899999997,1,2,0.0565904204,4,False
10,1183h–1184t,3624,0.0131878586,1,2,0.0131878586,2,False
11,494h–495t,14269,0.012184026,1,3,2.312427536400002,23,False
12,532h–533t,2173,0.012184026,1,3,0.9910753379999995,21,False
13,469h–470t,5572,0.012184026,1,3,0.9910753379999995,21,False
14,286h–311t,92486,0.0061578083,1,2,0.20453703140000004,7,False
15,1358h–1365t,44949,0.00010803,1,2,0.1072616418,6,False
16,1130h–1131t,2854,0,0,0,0.11062522,3,False
17,856h–857h,33911,0,0,0,0.10585873439999999,5,False
18,719h–728t,60774,0,0,0,0.09968856599999998,5,False
19,953h–958t,15697,0,0,0,0.09723086159999998,5,False
20,1027h–1042t,72250,0,0,0,0.08368455379999999,4,False
21,1328t–71h,7160,0,0,0,0.0631082424,4,False
22,626h–628t,9079,0,0,0,0.059632881900000004,4,False
23,365h–373t,13423,0,0,0,0.0560904522,4,False
24,486t–493t,26095,0,0,0,0.05557486309999999,4,False
25,762h–769t,39586,0,0,0,0.047786913199999996,3,False
26,1121h–1122h,8429,0,0,0,0.0343412828,3,False
27,1065h–1066t,2429,0,0,0,0.0310662206,3,False
28,324h–333t,24356,0,0,0,0.030972683999999997,3,False
29,691h–692t,6528,0,0,0,0.018469169,2,False
30,962h–963t,2604,0,0,0,0.0175356992,2,False
31,1435h–1t,2586,0,0,0,0.017420063399999998,2,False
32,1531h–58h,3972,0,0,0,0.017226744,2,False
33,774h–778h,11436,0,0,0,0.016953172,2,False
34,422h–424t,3358,0,0,0,0.014550368800000001,3,False
35,823h–824t,17444,0,0,0,0.013342642699999999,2,False
36,788h–789t,26927,0,0,0,0.012831150599999999,2,False
37,120t–121t,1611,0,0,0,0.012743208999999997,2,False
38,1208t–1209t,6788,0,0,0,0.012640019999999998,2,False
39,526h–527h,2889,0,0,0,0.0123642592,2,False
40,71t–72t,1,0,0,0,0.008167535,2,False
41,1327h–59t,434,0,0,0,0.008167535,2,False
42,436h–437t,2344,0,0,0,0.0052011989000000005,2,False
43,8h–9t,23626,0,0,0,0.0046697278,2,False
44,1155h–1162t,21354,0,0,0,0.0014053647,2,False
45,843h–844t,2575,0,0,0,4.585599999999999e-05,2,False
46,60h–61t,8320,0,0,0,2.1473200000000003e-05,3,False
47,80h–86t,18223,0,0,0,8.4359e-06,2,False
48,997h–998t,964,0,0,0,0,0,True
49,983h–988t,20791,0,0,0,0,1,True
50,97t–98t,1,0,0,0,0,1,True
51,979h–980t,1164,0,0,0,0,0,True
52,96h–97h,36,0,0,0,0,1,True
53,951h–953t,2167,0,0,0,0,1,True
54,947h–948t,1,0,0,0,0,0,True
55,946h–947t,3207,0,0,0,0,0,True
56,938h–939t,982,0,0,0,0,1,True
57,937t–938t,1281,0,0,0,0,1,True
58,936h–937h,269,0,0,0,0,1,True
59,929t–930t,1818,0,0,0,0,1,True
60,928h–929h,1,0,0,0,0,1,True
61,912h–913t,562,0,0,0,0,1,True
62,910t–911t,1,0,0,0,0,1,True
63,909h–910h,1,0,0,0,0,1,True
64,904h–905t,1521,0,0,0,0,0,True
65,903h–904t,836,0,0,0,0,0,True
66,901h–902t,1082,0,0,0,0,0,True
67,900h–901t,4640,0,0,0,0,0,True
68,899h–900t,2548,0,0,0,0,0,True
69,897h–898t,271,0,0,0,0,0,True
70,896h–897t,679,0,0,0,0,0,True
71,875h–877t,29148,0,0,0,0,1,True
72,871h–872t,14864,0,0,0,0,1,True
73,870h–871t,1321,0,0,0,0,0,True
74,86h–87t,3552,0,0,0,0,0,True
75,869h–870t,64,0,0,0,0,0,True
76,867h–868t,1,0,0,0,0,0,True
77,866h–867t,113,0,0,0,0,0,True
78,863h–864t,4017,0,0,0,0,1,True
79,859h–860t,1546,0,0,0,0,0,True
80,858h–859t,4631,0,0,0,0,1,True
81,857t–858t,476,0,0,0,0,1,True
82,853h–855t,4839,0,0,0,0,1,True
83,851h–852t,334,0,0,0,0,0,True
84,850h–851t,2317,0,0,0,0,0,True
85,844h–845t,4141,0,0,0,0,1,True
86,842h–843t,304,0,0,0,0,0,True
