block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
314,0,6.794116993799999,2,38,0.28134556574923547,False
347,1,6.033435361000003,2,36,0.22018348623853212,False
285,2,5.7583511964000165,2,43,0.2415902140672783,False
284,2,5.7583511964000165,2,43,0.2415902140672783,False
213,3,4.1042421342,3,34,0.2018348623853211,False
297,4,3.310466461700002,2,34,0.363914373088685,False
81,5,3.310466461700002,2,34,0.636085626911315,False
139,6,2.672702035200001,2,36,0.42201834862385323,False
140,6,2.636279953600001,2,36,0.41590214067278286,False
303,7,2.5832728200000026,2,28,0.4892966360856269,False
302,8,2.232912460000001,2,34,0.3302752293577982,False
317,9,1.7253499306,1,14,0.11926605504587157,False
312,10,1.5612650233999998,2,25,0.20489296636085627,False
412,11,1.5258626942000002,2,16,0.10703363914373089,False
413,11,1.3422045123000002,2,15,0.10397553516819572,False
350,12,1.312240714400001,2,23,0.08256880733944955,False
333,13,1.3059496096000005,2,20,0.10397553516819572,False
327,14,1.300929685000001,1,16,0.07951070336391437,False
392,15,1.1754542412000009,1,17,0.21406727828746178,False
437,16,1.1504086300999998,1,16,0.07339449541284404,False
436,16,1.1504086300999998,1,16,0.07339449541284404,False
376,17,0.9888549844000005,2,26,0.19571865443425077,False
351,12,0.9810097346000001,2,22,0.07951070336391437,False
307,18,0.9352172763999997,1,15,0.08256880733944955,False
300,19,0.8636354528,2,21,0.25382262996941896,False
329,20,0.8112039330000004,2,18,0.15902140672782875,False
331,20,0.7675015974000001,2,17,0.1620795107033639,False
330,20,0.7675015974000001,2,17,0.1620795107033639,False
311,21,0.7624513784000001,1,9,0.06116207951070336,False
97,22,0.7547731073999997,2,21,0.1620795107033639,False
377,23,0.7514473778000004,1,20,0.1926605504587156,False
328,24,0.7396131680000001,1,7,0.045871559633027525,False
134,25,0.6891907990999999,1,12,0.9510703363914373,False
488,14,0.6881132689999998,1,13,0.05198776758409786,False
371,26,0.6874750016000001,2,22,0.2782874617737003,False
387,27,0.6538412317,2,15,0.0856269113149847,False
304,28,0.5977436631999999,2,15,0.14678899082568808,False
383,29,0.5953265222999999,1,8,0.039755351681957186,False
378,30,0.5898610442,1,8,0.06422018348623854,False
343,31,0.5876140144999998,1,12,0.0764525993883792,False
390,32,0.5765189370999999,1,10,0.04892966360856269,False
281,33,0.5685577135999997,2,20,0.22018348623853212,False
280,33,0.5685577135999997,2,20,0.22018348623853212,False
332,34,0.5500812606999997,2,12,0.06422018348623854,False
442,35,0.5482436647999999,1,11,0.04892966360856269,False
462,36,0.46328952020000014,1,11,0.04892966360856269,False
461,36,0.46328952020000014,1,11,0.04892966360856269,False
334,37,0.45718081790000004,2,12,0.0581039755351682,False
414,38,0.45675731599999986,1,10,0.05198776758409786,False
460,39,0.44663124779999996,1,7,0.024464831804281346,False
459,39,0.44663124779999996,1,7,0.024464831804281346,False
432,40,0.4380878901,2,12,0.09174311926605505,False
393,40,0.4380871998000001,2,12,0.09480122324159021,False
290,41,0.42200478919999995,1,9,0.03363914373088685,False
289,41,0.42200478919999995,1,9,0.03363914373088685,False
396,42,0.4133752268999999,1,10,0.0581039755351682,False
391,43,0.38958283600000015,2,12,0.0856269113149847,False
388,44,0.36146838259999997,2,10,0.0581039755351682,False
68,45,0.3545982645,2,13,0.07951070336391437,False
397,42,0.34163607199999985,1,9,0.05504587155963303,False
346,46,0.31458554400000005,1,5,0.021406727828746176,False
344,47,0.30583008879999996,1,8,0.09174311926605505,False
394,48,0.30271741669999996,1,8,0.11314984709480122,False
494,49,0.2889823596,1,9,0.045871559633027525,False
320,50,0.28366906299999994,1,8,0.10397553516819572,False
341,51,0.27975737860000005,1,8,0.03363914373088685,False
340,51,0.27975737860000005,1,8,0.03363914373088685,False
339,51,0.27975737860000005,1,8,0.03363914373088685,False
338,51,0.27975737860000005,1,8,0.03363914373088685,False
361,52,0.27873428219999996,1,8,0.045871559633027525,False
64,53,0.27758242359999996,1,8,0.03058103975535168,False
63,53,0.27758242359999996,1,8,0.03058103975535168,False
133,25,0.2651092124,1,8,0.9663608562691132,False
308,54,0.25124749879999997,2,11,0.16819571865443425,False
288,41,0.2438313892,1,7,0.03058103975535168,False
89,55,0.2266980132,2,11,0.308868501529052,False
385,56,0.21660664240000002,1,4,0.012232415902140673,False
532,57,0.2148348569,1,4,0.012232415902140673,False
84,58,0.2146711286,1,4,0.963302752293578,False
538,59,0.2117523818,1,4,0.012232415902140673,False
489,56,0.2084594306,1,4,0.021406727828746176,False
389,60,0.18951219759999996,1,7,0.07339449541284404,False
583,61,0.18585116699999996,1,7,0.04281345565749235,False
132,62,0.17916013749999998,1,6,0.9785932721712538,False
420,63,0.16348156099999997,1,6,0.05504587155963303,False
407,64,0.1539855796,1,6,0.03669724770642202,False
404,65,0.14589691849999997,1,6,0.03058103975535168,False
362,66,0.1437179431,1,6,0.027522935779816515,False
549,67,0.14151534079999997,1,6,0.03669724770642202,False
384,56,0.1369905112,1,3,0.009174311926605505,False
418,68,0.13614839280000002,2,8,0.039755351681957186,False
493,49,0.13614826459999999,1,6,0.03669724770642202,False
422,69,0.1361348016,1,3,0.012232415902140673,False
610,70,0.132334616,1,3,0.012232415902140673,False
310,71,0.1320571712,1,3,0.009174311926605505,False
130,62,0.129477174,1,6,0.9755351681957186,False
631,71,0.12815057819999998,1,3,0.009174311926605505,False
372,72,0.1276510744,1,3,0.012232415902140673,False
370,73,0.12570210879999996,2,8,0.0856269113149847,False
354,59,0.120436152,1,3,0.01834862385321101,False
411,74,0.11960390039999999,1,3,0.01529051987767584,False
138,75,0.11715590379999999,1,6,0.9785932721712538,False
137,75,0.11715590379999999,1,6,0.9785932721712538,False
136,75,0.11715590379999999,1,6,0.9785932721712538,False
135,75,0.11715590379999999,1,6,0.9785932721712538,False
131,62,0.10495585880000001,1,5,0.981651376146789,False
475,76,0.10368427319999998,1,5,0.021406727828746176,False
474,76,0.10368427319999998,1,5,0.021406727828746176,False
473,76,0.10368427319999998,1,5,0.021406727828746176,False
472,76,0.10368427319999998,1,5,0.021406727828746176,False
516,77,0.10361735239999999,1,5,0.01834862385321101,False
440,78,0.10355992519999997,1,5,0.021406727828746176,False
540,79,0.1027486272,1,5,0.01529051987767584,False
141,80,0.1016840404,1,5,0.981651376146789,False
129,62,0.09503167399999998,1,5,0.9847094801223242,False
528,81,0.09372946159999998,1,5,0.01834862385321101,False
419,82,0.087480052,1,5,0.021406727828746176,False
596,83,0.07252960780000002,1,4,0.01529051987767584,False
482,84,0.06741547939999999,1,4,0.012232415902140673,False
578,85,0.0671572184,1,4,0.03058103975535168,False
517,77,0.0655166205,1,4,0.012232415902140673,False
527,86,0.06510839369999999,1,4,0.012232415902140673,False
564,87,0.06503652889999999,1,4,0.01834862385321101,False
563,87,0.06503652889999999,1,4,0.01834862385321101,False
403,88,0.06426877560000001,1,4,0.03058103975535168,False
662,89,0.06423093440000001,1,5,0.01529051987767584,False
560,90,0.06392861999999999,1,4,0.012232415902140673,False
645,91,0.06347484639999999,1,4,0.012232415902140673,False
478,92,0.0628764851,1,4,0.01834862385321101,False
712,59,0.060658175,1,2,0.0061162079510703364,False
624,93,0.05952171,1,2,0.0061162079510703364,False
10,94,0.05942798,1,2,0.9877675840978594,False
492,59,0.059318996,1,2,0.0061162079510703364,False
309,71,0.058918196,1,2,0.0061162079510703364,False
477,76,0.05882650799999999,1,2,0.009174311926605505,False
623,95,0.0588112592,1,2,0.01529051987767584,False
622,95,0.0588112592,1,2,0.01529051987767584,False
405,65,0.05848649,1,4,0.024464831804281346,False
441,96,0.058291862599999994,2,6,0.03058103975535168,False
689,81,0.058199298999999996,1,4,0.01529051987767584,False
143,80,0.0576694224,1,4,0.9877675840978594,False
142,80,0.0576694224,1,4,0.9877675840978594,False
559,97,0.05731133879999999,1,4,0.012232415902140673,False
324,98,0.05668298589999999,1,4,0.04892966360856269,False
639,59,0.05615781,1,2,0.021406727828746176,False
429,99,0.0559671288,1,4,0.012232415902140673,False
425,100,0.05526453679999999,1,4,0.021406727828746176,False
625,95,0.053612320000000005,1,2,0.024464831804281346,False
619,101,0.053612320000000005,1,2,0.024464831804281346,False
349,102,0.05097061659999999,1,4,0.012232415902140673,False
537,103,0.049435728799999995,1,4,0.012232415902140673,False
539,104,0.044338268099999995,1,4,0.01529051987767584,False
593,105,0.04391521860000001,1,3,0.009174311926605505,False
552,106,0.04317888860000001,1,3,0.009174311926605505,False
501,107,0.042766662000000004,1,3,0.01529051987767584,False
369,108,0.0406644679,2,5,0.01834862385321101,False
319,109,0.0402061689,1,4,0.0856269113149847,False
148,110,0.040133707399999996,2,5,0.963302752293578,False
576,111,0.03947385950000001,1,4,0.01834862385321101,False
518,112,0.0354072504,1,3,0.009174311926605505,False
348,113,0.034762373,1,4,0.01834862385321101,False
417,114,0.0343363822,1,3,0.01529051987767584,False
487,115,0.033982372999999996,1,3,0.03669724770642202,False
128,62,0.0338082156,1,3,0.9908256880733946,False
127,62,0.0338082156,1,3,0.9908256880733946,False
428,116,0.03319832839999999,1,3,0.021406727828746176,False
145,80,0.0330523886,1,3,0.9908256880733946,False
582,117,0.0330477282,1,4,0.04281345565749235,False
595,118,0.0329851022,1,3,0.009174311926605505,False
594,118,0.0329851022,1,3,0.009174311926605505,False
469,119,0.032893549999999994,1,3,0.01529051987767584,False
433,120,0.03282510779999999,2,5,0.03363914373088685,False
514,121,0.032779852199999994,1,3,0.009174311926605505,False
513,121,0.032779852199999994,1,3,0.009174311926605505,False
400,122,0.032507493199999994,1,3,0.012232415902140673,False
399,122,0.032507493199999994,1,3,0.012232415902140673,False
398,122,0.032507493199999994,1,3,0.012232415902140673,False
386,123,0.0322788076,1,3,0.021406727828746176,False
286,100,0.03227721879999999,1,3,0.012232415902140673,False
426,123,0.03215118819999999,1,3,0.01529051987767584,False
144,80,0.0319690166,1,3,0.9908256880733946,False
