num_fam,nb_members,sum_quanti,sum_quali,nb_0,nb_mono,nb_multi,sum_0_mono_multi,max_multi
1,1,1,1,413,1,0,414,1
2,1,1,1,413,1,0,414,1
3,1,1,1,413,1,0,414,1
4,4,4,4,410,4,0,414,1
5,1,1,1,413,1,0,414,1
6,3,3,3,411,3,0,414,1
7,1,1,1,413,1,0,414,1
8,7,7,7,407,7,0,414,1
9,1,1,1,413,1,0,414,1
10,81,81,81,333,81,0,414,1
11,1,1,1,413,1,0,414,1
12,12,12,12,402,12,0,414,1
13,15,15,15,399,15,0,414,1
14,4,4,4,410,4,0,414,1
15,5,5,5,409,5,0,414,1
16,72,72,72,342,72,0,414,1
17,5,5,5,409,5,0,414,1
18,7,7,7,407,7,0,414,1
19,30,30,26,388,22,4,414,2
20,10,10,10,404,10,0,414,1
21,18,18,18,396,18,0,414,1
22,5,5,5,409,5,0,414,1
23,6,6,6,408,6,0,414,1
24,11,11,11,403,11,0,414,1
25,18,18,18,396,18,0,414,1
26,37,37,36,378,35,1,414,2
27,23,23,23,391,23,0,414,1
28,9,9,9,405,9,0,414,1
29,13,13,13,401,13,0,414,1
30,8,8,8,406,8,0,414,1
31,16,16,16,398,16,0,414,1
32,16,16,15,399,14,1,414,2
33,5,5,5,409,5,0,414,1
34,16,16,10,404,4,6,414,2
35,10,10,10,404,10,0,414,1
36,3,3,3,411,3,0,414,1
37,5,5,5,409,5,0,414,1
38,5,5,5,409,5,0,414,1
39,7,7,7,407,7,0,414,1
40,4,4,4,410,4,0,414,1
41,62,62,39,375,23,16,414,4
42,6,6,6,408,6,0,414,1
43,3,3,3,411,3,0,414,1
44,1,1,1,413,1,0,414,1
45,4,4,4,410,4,0,414,1
46,6,6,4,410,2,2,414,2
47,1,1,1,413,1,0,414,1
48,1,1,1,413,1,0,414,1
49,1,1,1,413,1,0,414,1
50,1,1,1,413,1,0,414,1
51,6,6,5,409,4,1,414,2
52,5,5,5,409,5,0,414,1
53,5,5,5,409,5,0,414,1
54,5,5,5,409,5,0,414,1
55,14,14,14,400,14,0,414,1
56,5,5,5,409,5,0,414,1
