num_fam,nb_members,sum_quanti,sum_quali,nb_0,nb_mono,nb_multi,sum_0_mono_multi,max_multi
1,94,94,94,3,94,0,97,1
2,65,65,64,33,63,1,97,2
3,20,20,20,77,20,0,97,1
4,96,96,96,1,96,0,97,1
5,97,97,97,0,97,0,97,1
6,97,97,97,0,97,0,97,1
7,87,87,87,10,87,0,97,1
8,96,96,96,1,96,0,97,1
9,90,90,90,7,90,0,97,1
10,65,65,65,32,65,0,97,1
11,97,97,97,0,97,0,97,1
12,97,97,97,0,97,0,97,1
13,10,10,10,87,10,0,97,1
14,97,97,97,0,97,0,97,1
15,97,97,97,0,97,0,97,1
16,96,96,96,1,96,0,97,1
17,96,96,96,1,96,0,97,1
18,97,97,97,0,97,0,97,1
19,97,97,97,0,97,0,97,1
20,97,97,97,0,97,0,97,1
21,96,96,96,1,96,0,97,1
22,97,97,97,0,97,0,97,1
23,96,96,96,1,96,0,97,1
24,97,97,97,0,97,0,97,1
25,97,97,97,0,97,0,97,1
26,96,96,96,1,96,0,97,1
27,92,92,92,5,92,0,97,1
28,85,85,85,12,85,0,97,1
29,97,97,97,0,97,0,97,1
30,91,91,91,6,91,0,97,1
31,97,97,97,0,97,0,97,1
32,59,59,59,38,59,0,97,1
33,95,95,95,2,95,0,97,1
34,96,96,96,1,96,0,97,1
35,97,97,97,0,97,0,97,1
36,97,97,97,0,97,0,97,1
37,97,97,97,0,97,0,97,1
38,97,97,97,0,97,0,97,1
39,97,97,97,0,97,0,97,1
40,96,96,96,1,96,0,97,1
41,54,54,54,43,54,0,97,1
42,97,97,97,0,97,0,97,1
43,97,97,97,0,97,0,97,1
44,97,97,97,0,97,0,97,1
45,96,96,96,1,96,0,97,1
46,97,97,97,0,97,0,97,1
47,97,97,97,0,97,0,97,1
48,12,12,12,85,12,0,97,1
49,96,96,96,1,96,0,97,1
50,1,1,1,96,1,0,97,1
51,97,97,97,0,97,0,97,1
52,34,34,34,63,34,0,97,1
53,97,97,97,0,97,0,97,1
54,1,1,1,96,1,0,97,1
55,97,97,97,0,97,0,97,1
56,97,97,97,0,97,0,97,1
57,63,63,63,34,63,0,97,1
58,96,96,96,1,96,0,97,1
59,6,6,6,91,6,0,97,1
60,97,97,97,0,97,0,97,1
61,97,97,97,0,97,0,97,1
62,97,97,97,0,97,0,97,1
63,97,97,97,0,97,0,97,1
64,97,97,97,0,97,0,97,1
65,3,3,3,94,3,0,97,1
66,5,5,5,92,5,0,97,1
67,3,3,3,94,3,0,97,1
68,26,26,26,71,26,0,97,1
69,6,6,6,91,6,0,97,1
70,8,8,8,89,8,0,97,1
71,36,36,36,61,36,0,97,1
72,17,17,17,80,17,0,97,1
73,21,21,21,76,21,0,97,1
74,97,97,97,0,97,0,97,1
75,21,21,21,76,21,0,97,1
76,3,3,3,94,3,0,97,1
77,8,8,8,89,8,0,97,1
78,4,4,4,93,4,0,97,1
79,11,11,11,86,11,0,97,1
80,4,4,4,93,4,0,97,1
81,27,27,27,70,27,0,97,1
82,1,1,1,96,1,0,97,1
83,11,11,11,86,11,0,97,1
84,97,97,97,0,97,0,97,1
85,14,14,14,83,14,0,97,1
86,8,8,8,89,8,0,97,1
87,1,1,1,96,1,0,97,1
88,4,4,4,93,4,0,97,1
89,3,3,3,94,3,0,97,1
90,7,7,7,90,7,0,97,1
91,4,4,4,93,4,0,97,1
92,1,1,1,96,1,0,97,1
93,9,9,9,88,9,0,97,1
94,1,1,1,96,1,0,97,1
95,1,1,1,96,1,0,97,1
96,1,1,1,96,1,0,97,1
97,3,3,3,94,3,0,97,1
98,5,5,5,92,5,0,97,1
99,8,8,8,89,8,0,97,1
100,5,5,5,92,5,0,97,1
101,85,85,84,13,83,1,97,2
102,9,9,8,89,7,1,97,2
103,97,97,97,0,97,0,97,1
104,22,22,19,78,16,3,97,2
105,1,1,1,96,1,0,97,1
106,3,3,3,94,3,0,97,1
107,3,3,3,94,3,0,97,1
108,1,1,1,96,1,0,97,1
109,3,3,3,94,3,0,97,1
110,97,97,97,0,97,0,97,1
111,6,6,6,91,6,0,97,1
112,97,97,97,0,97,0,97,1
113,1,1,1,96,1,0,97,1
114,2,2,2,95,2,0,97,1
115,3,3,3,94,3,0,97,1
116,29,29,29,68,29,0,97,1
117,4,4,4,93,4,0,97,1
118,12,12,12,85,12,0,97,1
119,5,5,5,92,5,0,97,1
120,1,1,1,96,1,0,97,1
121,1,1,1,96,1,0,97,1
122,1,1,1,96,1,0,97,1
123,1,1,1,96,1,0,97,1
124,3,3,3,94,3,0,97,1
125,3,3,3,94,3,0,97,1
126,1,1,1,96,1,0,97,1
127,2,2,2,95,2,0,97,1
128,2,2,2,95,2,0,97,1
129,48,48,48,49,48,0,97,1
130,1,1,1,96,1,0,97,1
131,1,1,1,96,1,0,97,1
132,5,5,5,92,5,0,97,1
133,5,5,5,92,5,0,97,1
134,1,1,1,96,1,0,97,1
135,1,1,1,96,1,0,97,1
136,1,1,1,96,1,0,97,1
137,6,6,4,93,2,2,97,2
138,2,2,2,95,2,0,97,1
139,1,1,1,96,1,0,97,1
140,1,1,1,96,1,0,97,1
141,1,1,1,96,1,0,97,1
142,1,1,1,96,1,0,97,1
143,1,1,1,96,1,0,97,1
144,1,1,1,96,1,0,97,1
145,1,1,1,96,1,0,97,1
146,1,1,1,96,1,0,97,1
147,166,166,89,8,36,53,97,5
148,1,1,1,96,1,0,97,1
149,96,96,96,1,96,0,97,1
150,1,1,1,96,1,0,97,1
151,1,1,1,96,1,0,97,1
152,1,1,1,96,1,0,97,1
153,1,1,1,96,1,0,97,1
154,1,1,1,96,1,0,97,1
155,1,1,1,96,1,0,97,1
156,1,1,1,96,1,0,97,1
157,1,1,1,96,1,0,97,1
158,1,1,1,96,1,0,97,1
159,13,13,13,84,13,0,97,1
160,1,1,1,96,1,0,97,1
161,1,1,1,96,1,0,97,1
162,1,1,1,96,1,0,97,1
163,97,97,97,0,97,0,97,1
164,1,1,1,96,1,0,97,1
165,7,7,7,90,7,0,97,1
166,1,1,1,96,1,0,97,1
167,1,1,1,96,1,0,97,1
168,1,1,1,96,1,0,97,1
169,3,3,3,94,3,0,97,1
170,2,2,2,95,2,0,97,1
171,1,1,1,96,1,0,97,1
172,2,2,2,95,2,0,97,1
173,3,3,3,94,3,0,97,1
174,2,2,2,95,2,0,97,1
175,97,97,97,0,97,0,97,1
176,97,97,97,0,97,0,97,1
177,6,6,6,91,6,0,97,1
178,13,13,13,84,13,0,97,1
179,97,97,97,0,97,0,97,1
180,32,32,32,65,32,0,97,1
181,97,97,97,0,97,0,97,1
182,97,97,97,0,97,0,97,1
183,54,54,54,43,54,0,97,1
184,97,97,97,0,97,0,97,1
185,10,10,10,87,10,0,97,1
186,76,76,75,22,74,1,97,2
187,12,12,12,85,12,0,97,1
188,31,31,31,66,31,0,97,1
189,65,65,65,32,65,0,97,1
190,97,97,97,0,97,0,97,1
191,97,97,97,0,97,0,97,1
192,45,45,41,56,37,4,97,2
193,95,95,95,2,95,0,97,1
194,97,97,97,0,97,0,97,1
195,97,97,97,0,97,0,97,1
196,97,97,97,0,97,0,97,1
197,97,97,97,0,97,0,97,1
198,97,97,97,0,97,0,97,1
199,97,97,97,0,97,0,97,1
200,97,97,97,0,97,0,97,1
201,33,33,33,64,33,0,97,1
202,97,97,97,0,97,0,97,1
203,89,89,89,8,89,0,97,1
204,62,62,62,35,62,0,97,1
205,97,97,97,0,97,0,97,1
206,97,97,97,0,97,0,97,1
207,65,65,65,32,65,0,97,1
208,56,56,56,41,56,0,97,1
209,97,97,97,0,97,0,97,1
210,96,96,96,1,96,0,97,1
211,97,97,97,0,97,0,97,1
212,97,97,97,0,97,0,97,1
213,97,97,97,0,97,0,97,1
214,97,97,97,0,97,0,97,1
215,97,97,97,0,97,0,97,1
216,88,88,88,9,88,0,97,1
217,92,92,92,5,92,0,97,1
218,97,97,97,0,97,0,97,1
219,97,97,97,0,97,0,97,1
220,97,97,97,0,97,0,97,1
221,97,97,97,0,97,0,97,1
222,96,96,96,1,96,0,97,1
223,25,25,23,74,21,2,97,2
224,80,80,80,17,80,0,97,1
225,96,96,96,1,96,0,97,1
226,97,97,97,0,97,0,97,1
227,42,42,42,55,42,0,97,1
228,97,97,97,0,97,0,97,1
229,97,97,97,0,97,0,97,1
230,36,36,36,61,36,0,97,1
231,97,97,97,0,97,0,97,1
232,96,96,96,1,96,0,97,1
233,97,97,97,0,97,0,97,1
234,97,97,97,0,97,0,97,1
235,1,1,1,96,1,0,97,1
236,93,93,93,4,93,0,97,1
237,96,96,96,1,96,0,97,1
238,96,96,30,67,20,10,97,16
239,4,4,4,93,4,0,97,1
240,97,97,97,0,97,0,97,1
241,7,7,7,90,7,0,97,1
242,89,89,89,8,89,0,97,1
243,68,68,68,29,68,0,97,1
244,1,1,1,96,1,0,97,1
245,83,83,82,15,81,1,97,2
246,18,18,18,79,18,0,97,1
247,36,36,36,61,36,0,97,1
248,97,97,97,0,97,0,97,1
249,4,4,4,93,4,0,97,1
250,64,64,64,33,64,0,97,1
251,96,96,96,1,96,0,97,1
252,18,18,18,79,18,0,97,1
253,26,26,26,71,26,0,97,1
254,21,21,15,82,13,2,97,5
255,34,34,34,63,34,0,97,1
256,66,66,66,31,66,0,97,1
257,4,4,4,93,4,0,97,1
258,10,10,10,87,10,0,97,1
259,1,1,1,96,1,0,97,1
260,28,28,23,74,18,5,97,2
261,3,3,3,94,3,0,97,1
262,7,7,7,90,7,0,97,1
263,7,7,7,90,7,0,97,1
264,97,97,97,0,97,0,97,1
265,7,7,7,90,7,0,97,1
266,1,1,1,96,1,0,97,1
267,97,97,97,0,97,0,97,1
268,2,2,2,95,2,0,97,1
269,12,12,12,85,12,0,97,1
270,4,4,4,93,4,0,97,1
271,1,1,1,96,1,0,97,1
272,10,10,10,87,10,0,97,1
273,4,4,4,93,4,0,97,1
274,3,3,3,94,3,0,97,1
275,2,2,2,95,2,0,97,1
276,2,2,1,96,0,1,97,2
277,7,7,7,90,7,0,97,1
278,17,17,17,80,17,0,97,1
