id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,21h–22t,6856,0.4741960937,2,17,1.1512512446999996,18,False
2,124h–125t,16690,0.4741960937,2,17,1.005629362,17,False
3,16h–17t,3573,0.00020217800000000001,2,6,0.00036166160000000003,6,False
4,135h–136t,1830,0.00020217800000000001,2,6,0.00036166160000000003,6,False
5,8h–9t,26,0,0,0,0,0,True
6,82h–83t,17007,0,0,0,0,0,True
7,79h–81t,13447,0,0,0,0,0,True
8,75h–78t,15749,0,0,0,0,0,True
9,69h–71t,7849,0,0,0,0,0,True
10,68h–69t,2275,0,0,0,0,0,True
11,67h–68t,549,0,0,0,0,0,True
12,63h–65t,36851,0,0,0,0,0,True
13,5h–7t,15912,0,0,0,0,0,True
14,58h–62t,48190,0,0,0,0,0,True
15,51h–52t,24436,0,0,0,0,0,True
16,42h–46t,289,0,0,0,0,1,True
17,40h–42t,32744,0,0,0,0,0,True
18,37h–38t,5468,0,0,0,0,0,True
19,27h–28t,5876,0,0,0,0,1,True
20,1h–3t,14967,0,0,0,0,0,True
21,153h–154t,1334,0,0,0,0,0,True
22,152h–153t,2750,0,0,0,0,0,True
23,151h–152t,254,0,0,0,0,0,True
24,14h–15t,33,0,0,0,0,0,True
25,148h–149t,2129,0,0,0,0,0,True
26,146h–147t,3504,0,0,0,0,0,True
27,144h–145t,515,0,0,0,0,0,True
28,141h–142t,30,0,0,0,0,0,True
29,139h–140t,1,0,0,0,0,0,True
30,134h–135t,803,0,0,0,0,0,True
31,132h–133t,814,0,0,0,0,0,True
32,131h–132t,3332,0,0,0,0,0,True
33,125h–126t,2193,0,0,0,0,0,True
34,117h–118t,1,0,0,0,0,0,True
35,113h–114t,58,0,0,0,0,1,True
36,111h–112t,1704,0,0,0,0,0,True
37,107h–108t,4724,0,0,0,0,0,True
38,106h–107t,25,0,0,0,0,0,True
39,105h–106t,8646,0,0,0,0,0,True
40,104h–105t,10619,0,0,0,0,0,True
41,101h–103t,26680,0,0,0,0,1,True
