block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
159,0,0.22590790860000004,2,11,0.46511627906976744,False
166,1,0.1498404336,2,9,0.4418604651162791,False
156,2,0.147548079,2,8,0.3953488372093023,False
155,2,0.147548079,2,8,0.3953488372093023,False
80,3,0.11311497100000001,1,6,0.6046511627906976,False
64,4,0.09415465049999999,2,8,0.2558139534883721,False
167,5,0.0810602728,1,5,0.32558139534883723,False
157,2,0.071201891,2,7,0.4418604651162791,False
10,6,0.06367311900000001,1,4,0.8604651162790697,False
160,7,0.04194598200000001,1,3,0.11627906976744186,False
77,8,0.028564074000000002,1,3,0.16279069767441862,False
76,8,0.028564074000000002,1,3,0.16279069767441862,False
172,9,0.027791258,1,3,0.06976744186046512,False
161,10,0.019733758,1,3,0.6046511627906976,False
162,11,0.011612966700000001,1,2,0.046511627906976744,False
193,12,0.01145937,1,2,0.046511627906976744,False
192,12,0.01145937,1,2,0.046511627906976744,False
191,12,0.01145937,1,2,0.046511627906976744,False
190,12,0.01145937,1,2,0.046511627906976744,False
189,12,0.01145937,1,2,0.046511627906976744,False
183,13,0.011134857,1,2,0.06976744186046512,False
2,14,0.0111016571,2,4,5.930232558139535,False
217,15,0,0,0,0,True
216,15,0,0,0,0,True
215,13,0,0,0,0,True
214,16,0,0,0,0,True
213,17,0,0,0,0.023255813953488372,True
212,18,0,0,0,0,True
211,19,0,0,0,0.023255813953488372,True
210,20,0,0,0,0,True
209,21,0,0,0,0,True
208,22,0,0,0,0,True
207,8,0,0,0,0,True
206,8,0,0,0,0,True
205,23,0,0,0,0,True
204,24,0,0,0,0,True
203,24,0,0,0,0,True
202,24,0,0,0,0,True
201,25,0,0,0,0,True
200,26,0,0,0,0,True
199,21,0,0,0,0,True
198,20,0,0,0,0,True
197,20,0,0,0,0,True
196,20,0,0,0,0,True
195,19,0,0,0,0,True
194,17,0,0,0,0.046511627906976744,True
188,27,0,0,0,0,True
187,28,0,0,0,0,True
186,29,0,0,0,0,True
185,30,0,0,0,0,True
184,27,0,0,0,0,True
182,17,0,0,0,0,True
181,31,0,0,0,0,True
180,31,0,0,0,0,True
179,7,0,0,0,0.023255813953488372,True
178,32,0,0,0,0,True
177,33,0,0,0,0,True
176,20,0,0,0,0,True
175,20,0,0,0,0,True
174,9,0,0,0,0.023255813953488372,True
173,33,0,0,0,0,True
171,34,0,0,0,0.09302325581395349,True
170,35,0,0,0,0,True
169,35,0,0,0,0,True
168,35,0,0,0,0,True
165,31,0,0,0,0,True
164,36,0,0,0,0.023255813953488372,True
163,36,0,0,0,0.023255813953488372,True
158,37,0,0,0,0.18604651162790697,True
154,38,0,0,0,1,True
153,38,0,0,0,1,True
152,38,0,0,0,1,True
151,38,0,0,0,1,True
150,38,0,0,0,1,True
149,38,0,0,0,1,True
148,38,0,0,0,1,True
147,38,0,0,0,1,True
146,38,0,0,0,1,True
145,38,0,0,0,1,True
144,38,0,0,0,1,True
143,38,0,0,0,1,True
142,38,0,0,0,1,True
141,38,0,0,0,1,True
140,38,0,0,0,1,True
139,38,0,0,0,1,True
138,38,0,0,0,1,True
137,38,0,0,0,1,True
136,38,0,0,0,1,True
135,38,0,0,0,1,True
134,38,0,0,0,1,True
133,38,0,0,0,1,True
132,38,0,0,0,1,True
131,38,0,0,0,1,True
130,38,0,0,0,1,True
129,38,0,0,0,1,True
128,38,0,0,0,1,True
127,38,0,0,0,1,True
126,38,0,0,0,1,True
125,38,0,0,0,0.9534883720930233,True
124,39,0,0,0,1,True
123,39,0,0,0,1,True
122,39,0,0,0,1,True
121,39,0,0,0,1,True
120,39,0,0,0,1,True
119,39,0,0,0,1,True
118,39,0,0,0,1,True
117,39,0,0,0,1,True
116,39,0,0,0,1,True
115,39,0,0,0,1,True
