block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
105,0,3.1944552617000013,2,33,0.3561643835616438,False
111,1,1.274212195,1,14,0.1232876712328767,False
54,2,1.2694340050000004,2,24,0.6484018264840182,False
106,3,0.8352916003000002,2,16,0.2557077625570776,False
33,4,0.8118211999999998,2,16,0.6027397260273972,False
110,5,0.42525084599999996,2,15,0.1552511415525114,False
108,6,0.3529468495,1,8,0.0410958904109589,False
107,7,0.23182523200000002,1,6,0.0365296803652968,False
127,8,0.19041675899999996,1,6,0.0319634703196347,False
126,8,0.19041675899999996,1,6,0.0319634703196347,False
114,9,0.1152888456,1,5,0.0365296803652968,False
117,10,0.08309074600000001,1,4,0.0639269406392694,False
113,11,0.081109312,1,4,0.0547945205479452,False
125,12,0.07452777220000001,1,4,0.0228310502283105,False
121,13,0.070055074,1,4,0.0273972602739726,False
129,14,0.0474230252,1,3,0.0136986301369863,False
136,15,0.042279788000000006,1,3,0.0136986301369863,False
118,16,0.036230388,1,3,0.0136986301369863,False
32,17,0.036140038,1,3,0.1735159817351598,False
31,17,0.036140038,1,3,0.1735159817351598,False
116,18,0.035817001999999994,1,3,0.0958904109589041,False
139,19,0.015853032,1,2,0.0273972602739726,False
119,20,0.014467397999999998,1,2,0.0136986301369863,False
120,21,0.013874310999999999,1,2,0.0091324200913242,False
109,22,0.013662900999999998,1,2,0.0091324200913242,False
124,23,0.01145937,1,2,0.0091324200913242,False
123,23,0.01145937,1,2,0.0091324200913242,False
122,23,0.01145937,1,2,0.0091324200913242,False
115,24,3.93252e-05,1,2,0.0182648401826484,False
138,12,3.3553499999999996e-05,1,2,0.0091324200913242,False
141,25,0,0,0,0.0091324200913242,True
140,25,0,0,0,0.0182648401826484,True
137,26,0,0,0,0.0091324200913242,True
135,8,0,0,0,0.0091324200913242,True
134,27,0,0,0,0.0091324200913242,True
133,27,0,0,0,0.0091324200913242,True
132,28,0,0,0,0.0136986301369863,True
131,28,0,0,0,0.0136986301369863,True
130,28,0,0,0,0.0136986301369863,True
128,29,0,0,0,0.0091324200913242,True
112,30,0,0,0,0.0136986301369863,True
104,31,0,0,0,1,True
103,31,0,0,0,1,True
102,31,0,0,0,1,True
101,31,0,0,0,1,True
100,31,0,0,0,1,True
99,31,0,0,0,1,True
98,31,0,0,0,1,True
97,31,0,0,0,1,True
96,31,0,0,0,1,True
95,31,0,0,0,1,True
94,31,0,0,0,0.9954337899543378,True
93,31,0,0,0,0.9954337899543378,True
92,32,0,0,0,1,True
91,32,0,0,0,1,True
90,32,0,0,0,1,True
89,32,0,0,0,1,True
88,32,0,0,0,1,True
87,33,0,0,0,1,True
86,33,0,0,0,1,True
85,33,0,0,0,1,True
84,33,0,0,0,1,True
83,33,0,0,0,1,True
82,33,0,0,0,1,True
81,33,0,0,0,1,True
80,33,0,0,0,1,True
79,33,0,0,0,1,True
78,33,0,0,0,1,True
77,33,0,0,0,1,True
76,33,0,0,0,1,True
75,33,0,0,0,1,True
74,33,0,0,0,1,True
73,34,0,0,0,1,True
72,34,0,0,0,1,True
71,34,0,0,0,1,True
70,34,0,0,0,1,True
69,34,0,0,0,1,True
68,34,0,0,0,1,True
67,34,0,0,0,1,True
66,34,0,0,0,1,True
65,34,0,0,0,1,True
64,34,0,0,0,1,True
63,34,0,0,0,1,True
62,34,0,0,0,1,True
61,34,0,0,0,1,True
60,34,0,0,0,1,True
59,34,0,0,0,1,True
58,34,0,0,0,1,True
57,34,0,0,0,1,True
56,34,0,0,0,1,True
55,34,0,0,0,1,True
53,34,0,0,0,1,True
52,34,0,0,0,1,True
51,34,0,0,0,1,True
50,34,0,0,0,1,True
49,35,0,0,0,1,True
48,35,0,0,0,1,True
47,35,0,0,0,1,True
46,35,0,0,0,1,True
45,35,0,0,0,1,True
44,35,0,0,0,1.004566210045662,True
43,35,0,0,0,1.004566210045662,True
42,35,0,0,0,1,True
41,35,0,0,0,1,True
40,35,0,0,0,1,True
39,35,0,0,0,1,True
38,35,0,0,0,1,True
37,35,0,0,0,1,True
36,35,0,0,0,1,True
35,35,0,0,0,1,True
34,35,0,0,0,1,True
30,35,0,0,0,1,True
29,35,0,0,0,1.004566210045662,True
28,32,0,0,0,1,True
27,32,0,0,0,1,True
26,32,0,0,0,1,True
25,32,0,0,0,1,True
24,32,0,0,0,1,True
23,32,0,0,0,1,True
22,32,0,0,0,1,True
21,32,0,0,0,1,True
20,32,0,0,0,1,True
19,32,0,0,0,1,True
18,32,0,0,0,1,True
17,32,0,0,0,1,True
16,32,0,0,0,1,True
15,32,0,0,0,1,True
14,32,0,0,0,1,True
13,32,0,0,0,1,True
12,33,0,0,0,1,True
11,33,0,0,0,1,True
10,33,0,0,0,1,True
9,33,0,0,0,1,True
8,33,0,0,0,1,True
7,33,0,0,0,1,True
6,33,0,0,0,1,True
5,33,0,0,0,1,True
4,33,0,0,0,1,True
3,33,0,0,0,1,True
2,33,0,0,0,1,True
1,31,0,0,0,1,True
