id,vertex1,vertex2,mean_break_length_nucleotide,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,parallel_breakpoint_score,parallel_breakpoint_count,tree_consistent
1,133t,19t,6352,0.5139719178400601,2,12,1.0212069172523475,12,False
2,132h,17h,7818,0.5139719178400601,2,12,1.0212069172523475,12,False
3,144h,145t,1516,0.00014485075508392388,1,3,0.05793811514437251,4,False
4,16h,17t,472,0.00014485075508392388,1,3,0.00014485075508392388,3,False
5,45h,56t,18855,0,0,0,0.021690296392025278,2,False
6,87h,93t,9422,0,0,0,0,1,True
7,82h,83t,116,0,0,0,0,1,True
8,7h,8t,73,0,0,0,0,1,True
9,76h,77t,17,0,0,0,0,0,True
10,74h,75t,1,0,0,0,0,0,True
11,72h,73t,1,0,0,0,0,0,True
12,71h,72t,15,0,0,0,0,0,True
13,70h,71t,1,0,0,0,0,0,True
14,69h,70t,19939,0,0,0,0,1,True
15,61h,62t,1823,0,0,0,0,1,True
16,40h,41t,4219,0,0,0,0,1,True
17,176t,85t,8113,0,0,0,0,1,True
18,176h,84h,2701,0,0,0,0,0,True
19,162h,163t,1318,0,0,0,0,1,True
20,160h,161t,1,0,0,0,0,0,True
21,159h,160t,387,0,0,0,0,0,True
22,14h,15t,131,0,0,0,0,1,True
23,148h,149t,50,0,0,0,0,1,True
24,139h,140t,3,0,0,0,0,0,True
25,138h,139t,1692,0,0,0,0,0,True
26,136h,137t,450,0,0,0,0,0,True
27,135h,136t,148,0,0,0,0,0,True
28,133h,134t,25,0,0,0,0,0,True
29,118h,121t,3029,0,0,0,0,0,True
30,117h,118t,1,0,0,0,0,0,True
31,116h,117t,1,0,0,0,0,0,True
32,115h,116t,1,0,0,0,0,1,True
33,106h,112t,10132,0,0,0,0,1,True
34,104h,105t,2664,0,0,0,0,1,True
