id,vertex1,vertex2,mean_break_length_nucleotide,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,parallel_breakpoint_score,parallel_breakpoint_count,tree_consistent
1,8h,9t,1464,0,0,0,0.00099555,2,False
2,177h,178t,1076,0,0,0,0.00099555,2,False
3,176h,177t,860,0,0,0,0.00099555,2,False
4,14h,15t,567,0,0,0,0.00099555,2,False
5,174h,176t,3701,0,0,0,0.0009758799999999999,2,False
6,86h,87t,6396,0,0,0,0.00025863,2,False
7,179h,184t,26566,0,0,0,0.00025863,2,False
8,98h,99t,1,0,0,0,0,0,True
9,91h,93t,1457,0,0,0,0,1,True
10,82h,83t,699,0,0,0,0,0,True
11,80h,81t,1,0,0,0,0,0,True
12,74h,75t,1,0,0,0,0,1,True
13,73h,74t,393,0,0,0,0,0,True
14,67h,68t,243,0,0,0,0,1,True
15,54h,56t,4734,0,0,0,0,1,True
16,3h,4t,2154,0,0,0,0,1,True
17,33h,36t,3393,0,0,0,0,1,True
18,283h,284t,1391,0,0,0,0,1,True
19,282h,283t,2124,0,0,0,0,0,True
20,281h,282t,1,0,0,0,0,0,True
21,280h,281t,5411,0,0,0,0,1,True
22,276h,277t,948,0,0,0,0,1,True
23,264h,265t,1,0,0,0,0,1,True
24,261h,262t,1184,0,0,0,0,1,True
25,260h,261t,20,0,0,0,0,1,True
26,257h,258t,93,0,0,0,0,1,True
27,255h,256t,1,0,0,0,0,1,True
28,252h,255t,6311,0,0,0,0,1,True
29,24h,25t,1337,0,0,0,0,1,True
30,229h,230t,4242,0,0,0,0,1,True
31,227h,228t,1,0,0,0,0,0,True
32,226h,227t,2232,0,0,0,0,0,True
33,225h,226t,1,0,0,0,0,0,True
34,224h,225t,393,0,0,0,0,0,True
35,223h,224t,4186,0,0,0,0,0,True
36,222h,223t,8,0,0,0,0,0,True
37,220h,221t,1,0,0,0,0,0,True
38,218h,220t,3488,0,0,0,0,1,True
39,217h,218t,1,0,0,0,0,0,True
40,215h,216t,709,0,0,0,0,0,True
41,212h,213t,3950,0,0,0,0,1,True
42,208h,211t,7378,0,0,0,0,1,True
43,1t,284h,3621,0,0,0,0,1,True
44,18h,19t,62,0,0,0,0,1,True
45,186h,187t,3380,0,0,0,0,1,True
46,160h,161t,1100,0,0,0,0,1,True
47,152h,153t,1,0,0,0,0,0,True
48,141h,149t,36233,0,0,0,0,0,True
49,139h,140t,1,0,0,0,0,0,True
50,138h,139t,1,0,0,0,0,0,True
51,136h,137t,1,0,0,0,0,0,True
52,133h,136t,5763,0,0,0,0,0,True
53,129h,130t,1696,0,0,0,0,0,True
54,128h,129t,4148,0,0,0,0,0,True
55,127h,128t,1,0,0,0,0,1,True
56,115h,116t,273,0,0,0,0,0,True
57,114h,115t,2060,0,0,0,0,1,True
58,10t,9h,1857,0,0,0,0,0,True
59,10h,11t,1,0,0,0,0,0,True
60,106h,107t,3851,0,0,0,0,1,True
61,105h,106t,1151,0,0,0,0,1,True
62,102h,103t,6498,0,0,0,0,1,True
63,100t,99h,10,0,0,0,0,1,True
64,100h,101t,222,0,0,0,0,1,True
