block,species,chr,chr_beg,chr_end,orientation
287,STPN.0321.00004,1,866244,873756,+
287,STPN.0321.00063,1,1419742,1427254,-
286,STPN.0321.00004,1,645073,648635,+
286,STPN.0321.00004,1,648922,652484,+
286,STPN.0321.00004,1,652771,656333,+
286,STPN.0321.00004,1,656620,660182,+
285,STPN.0321.00006,1,1546715,1550525,+
285,STPN.0321.00011,1,1138609,1142419,+
284,STPN.0321.00040,1,1212486,1226038,+
284,STPN.0321.00081,1,1264413,1277965,+
283,STPN.0321.00076,1,1198069,1201953,+
283,STPN.0321.00004,1,1157788,1161778,-
282,STPN.0321.00091,1,921938,927436,+
282,STPN.0321.00009,1,1097676,1103148,-
281,STPN.0321.00012,1,875831,882093,+
281,STPN.0321.00004,1,1400111,1406362,-
280,STPN.0321.00017,1,1973200,1976660,+
280,STPN.0321.00010,1,1225449,1228761,-
280,STPN.0321.00010,1,1711662,1714997,+
279,STPN.0321.00071,1,326226,332502,+
279,STPN.0321.00021,1,325770,332046,+
279,STPN.0321.00010,1,333041,339317,+
279,STPN.0321.00070,1,325771,332047,+
278,STPN.0321.00083,1,109564,114232,+
278,STPN.0321.00071,1,74943,79611,+
278,STPN.0321.00021,1,74943,79611,+
278,STPN.0321.00080,1,73409,78077,+
278,STPN.0321.00010,1,74405,79073,+
278,STPN.0321.00070,1,74943,79611,+
278,STPN.0321.00004,1,90335,95003,+
277,STPN.0321.00077,1,992289,996192,+
277,STPN.0321.00004,1,613636,617558,+
276,STPN.0321.00073,1,55410,67613,+
276,STPN.0321.00077,1,38985,50991,+
276,STPN.0321.00094,1,37970,49976,+
275,STPN.0321.00036,1,949225,954944,+
275,STPN.0321.00021,1,1828217,1833936,+
274,STPN.0321.00057,1,295184,315677,+
274,STPN.0321.00036,1,1566768,1587089,+
273,STPN.0321.00026,1,366703,373980,+
273,STPN.0321.00057,1,366544,373821,+
272,STPN.0321.00026,1,272220,276214,+
272,STPN.0321.00022,1,249459,253287,+
272,STPN.0321.00040,1,1240662,1244665,-
271,STPN.0321.00095,1,630413,633927,+
271,STPN.0321.00066,1,611753,615267,+
271,STPN.0321.00014,1,627949,631463,+
270,STPN.0321.00095,1,341528,345125,+
