block,species,chr,chr_beg,chr_end,orientation
236,BUMA.0721.00028,2,1542958,1550729,+
236,BUMA.0721.00028,2,3133416,3141186,-
235,BUMA.0721.00003,2,120937,128674,+
235,BUMA.0721.00028,2,2030226,2037965,-
235,BUMA.0721.00009,2,127848,135586,-
234,BUMA.0721.00003,1,1724488,1756927,+
234,BUMA.0721.00009,1,3149738,3182145,+
234,BUMA.0721.00028,1,4017616,4050142,+
233,BUMA.0721.00012,1,2378632,2408205,+
233,BUMA.0721.00014,1,2250232,2279805,+
233,BUMA.0721.00003,1,1488734,1518297,-
233,BUMA.0721.00011,1,1777306,1806832,-
233,BUMA.0721.00002,1,3512363,3542064,+
233,BUMA.0721.00008,1,1921385,1951184,-
233,BUMA.0721.00005,1,3199831,3229391,-
233,BUMA.0721.00013,1,2185440,2214996,+
233,BUMA.0721.00024,1,317244,346783,+
233,BUMA.0721.00018,1,2315207,2344773,+
233,BUMA.0721.00009,1,2913866,2943544,-
233,BUMA.0721.00021,1,2250348,2279914,+
233,BUMA.0721.00020,1,2250373,2279939,+
233,BUMA.0721.00032,1,2503317,2532964,+
233,BUMA.0721.00007,1,1986547,2016131,+
233,BUMA.0721.00022,1,2287741,2317298,+
233,BUMA.0721.00006,1,2514396,2544115,-
233,BUMA.0721.00030,1,1655940,1685613,+
233,BUMA.0721.00015,1,2185368,2214933,+
233,BUMA.0721.00026,1,2058994,2088667,+
233,BUMA.0721.00031,1,783801,813466,-
233,BUMA.0721.00004,1,3177432,3206982,-
233,BUMA.0721.00025,1,1515861,1545418,+
233,BUMA.0721.00017,1,2263341,2292906,+
233,BUMA.0721.00028,1,3399,32871,+
232,BUMA.0721.00012,1,2370044,2375249,+
232,BUMA.0721.00003,1,1521680,1526919,-
232,BUMA.0721.00011,1,1810215,1815430,-
232,BUMA.0721.00002,1,3503757,3508980,+
232,BUMA.0721.00008,1,1954567,1959785,-
232,BUMA.0721.00009,1,2946927,2952182,-
232,BUMA.0721.00030,1,1647338,1652557,+
232,BUMA.0721.00026,1,2050392,2055611,+
232,BUMA.0721.00028,1,4161093,4166395,+
231,BUMA.0721.00012,1,153324,166254,+
231,BUMA.0721.00014,1,581027,593951,+
231,BUMA.0721.00003,1,9656,22582,+
231,BUMA.0721.00008,1,596590,609529,-
231,BUMA.0721.00005,1,1280871,1293827,-
231,BUMA.0721.00013,1,581033,593957,+
231,BUMA.0721.00024,1,2068635,2081559,-
231,BUMA.0721.00018,1,581041,593965,+
231,BUMA.0721.00009,1,1361981,1374900,-
231,BUMA.0721.00021,1,581035,593959,+
231,BUMA.0721.00020,1,581026,593950,+
231,BUMA.0721.00032,1,640321,653246,-
231,BUMA.0721.00019,1,581047,593971,+
231,BUMA.0721.00007,1,39715,52640,-
231,BUMA.0721.00022,1,581034,593958,+
231,BUMA.0721.00006,1,755856,768780,-
231,BUMA.0721.00030,1,3440049,3452988,+
231,BUMA.0721.00015,1,581033,593957,+
231,BUMA.0721.00026,1,346253,359192,+
231,BUMA.0721.00031,1,2682482,2695406,+
231,BUMA.0721.00004,1,1254047,1267002,-
231,BUMA.0721.00025,1,3383035,3395959,+
231,BUMA.0721.00017,1,581048,593972,+
231,BUMA.0721.00028,1,1975911,1988854,-
230,BUMA.0721.00012,2,935224,960822,+
230,BUMA.0721.00003,2,653053,678686,+
230,BUMA.0721.00006,2,450759,476314,-
230,BUMA.0721.00007,2,509997,535561,-
230,BUMA.0721.00011,2,968095,993661,+
230,BUMA.0721.00028,2,1434572,1460279,+
