block,species,chr,chr_beg,chr_end,orientation
310,CP014139,1,19001,21511,+
310,CP014139,1,25001,27512,+
310,CP014139,1,81289,83800,+
310,CP014139,1,519069,521580,+
310,CP014139,1,1601340,1603850,-
309,CP011068,1,1094340,1099042,+
309,CP014139,1,787035,791723,-
308,CP011068,1,270350,273481,+
308,CP011068,1,1658752,1661883,-
308,CP014139,1,269799,272929,+
307,CP007560,1,1397415,1400160,+
307,CP007560,1,1645760,1648505,+
306,CP008695,1,16741,18601,+
306,CP008695,1,982922,984782,-
305,AP012335,1,1060354,1063276,+
305,CP011415,1,1061186,1064108,+
305,CP000003,1,1175006,1177901,+
304,AP012335,1,1058083,1059481,+
304,CP011415,1,1058096,1059494,+
304,CP000003,1,1173008,1174406,+
303,AP012335,1,122677,125797,+
303,CP008695,1,1370226,1373365,-
303,CP011415,1,122680,125800,+
303,CP000003,1,162454,165574,+
302,CP012045,1,1151478,1154545,+
302,CP009612,1,1112596,1115663,+
302,CP011068,1,1142585,1145649,+
302,AFRY01000001,1,813956,817023,-
302,CP014139,1,753533,756605,-
301,CP012045,1,1147128,1150312,+
301,CP009612,1,1108246,1111430,+
301,CP011068,1,1123667,1126851,+
301,AFRY01000001,1,818189,821373,-
301,CP014139,1,757771,760955,-
300,CP012045,1,1145296,1147126,+
300,CP009612,1,1106414,1108244,+
300,CP011068,1,1121833,1123665,+
300,AFRY01000001,1,824130,825961,-
300,CP014139,1,760956,762789,-
299,CP012045,1,1143322,1145006,+
299,CP009612,1,1104440,1106124,+
299,CP011068,1,1119863,1121546,+
299,AFRY01000001,1,826251,827935,-
299,CP014139,1,763076,764760,-
298,CP012045,1,1140056,1141447,+
298,CP009612,1,1101174,1102565,+
298,CP011068,1,1117236,1118624,+
298,AFRY01000001,1,829810,831201,-
298,CP014139,1,766635,768026,-
297,CP012045,1,1126192,1137583,+
297,CP009612,1,1087310,1098701,+
297,CP011068,1,1103402,1114767,+
297,AFRY01000001,1,833674,845065,-
297,CP014139,1,770404,782674,-
296,CP012045,1,1123499,1126190,+
296,CP009612,1,1084617,1087308,+
296,AFRY01000001,1,845066,847757,-
295,CP012045,1,1098503,1101737,+
295,CP009612,1,1059621,1062855,+
295,CP011068,1,1099239,1102464,+
295,AFRY01000001,1,870618,873852,-
295,CP014139,1,783604,786838,-
294,CP012045,1,1096480,1098428,+
294,CP009612,1,1057571,1059546,+
294,AFRY01000001,1,873926,875901,-
293,CP012045,1,1093769,1095844,+
293,CP009612,1,1054860,1056935,+
293,CP011068,1,1091639,1093713,+
293,AFRY01000001,1,876538,878613,-
292,CP012045,1,24969,27475,+
292,CP014138,1,19002,21508,+
292,CP014138,1,261254,263760,+
292,CP014138,1,1298315,1300819,-
292,CP014138,1,1544821,1547326,-
291,CP003116,1,1663593,1664818,+
291,CP000003,1,1822398,1823623,+
290,CP003116,1,1581715,1582946,+
290,CP003121,1,1623677,1624908,+
289,CP003116,1,969281,973551,+
289,AP012335,1,844300,848570,-
289,CP008695,1,623657,627927,-
289,CP011415,1,844311,848581,-
289,CP000003,1,971754,976023,+
289,CP003121,1,966781,971051,+
288,CP003116,1,556608,558520,+
288,CP003121,1,554033,555945,+
287,CP003116,1,360470,361855,+
287,CP003121,1,357884,359269,+
286,AP012491,1,73671,75609,+
286,AP012491,1,1597248,1599188,-
285,CP013672,1,609801,611476,+
285,CP007041,1,917235,918911,-
285,CP007537,1,1059262,1060937,+
285,AE014074,1,786692,788368,-
285,BA000034,1,917580,919256,-
284,CP015238,1,1683228,1684677,+
284,CP007561,1,1714148,1715582,+
283,CP015238,1,746320,752193,+
283,AP012335,1,699838,705727,+
283,CP011415,1,699848,705737,+
283,CP000003,1,738495,744384,+
282,CP015238,1,16845,18823,+
282,CP015238,1,74707,76685,+
282,CP015238,1,278101,280075,+
281,CP008776,1,664360,665394,+
281,CP000259,1,783316,784350,+
281,AP014572,1,1127617,1128651,-
281,CP008926,1,285923,286954,-
281,AP012491,1,1192156,1193190,-
281,CP003901,1,1172075,1173109,-
281,CP012045,1,1257744,1258778,-
281,CP008695,1,412097,413130,+
281,CP006366,1,1161007,1162041,-
281,CP009612,1,741039,742073,+
281,CP000017,1,1173416,1174450,-
281,AFRY01000001,1,1192246,1193280,-
281,AE004092,1,784380,785414,+
281,AP014585,1,1127068,1128102,-
281,CP003121,1,1138207,1139238,-
280,CP000262,1,1865154,1866353,+
280,CP014138,1,1749432,1750631,+
279,CP000262,1,1678250,1679804,+
279,CP013672,1,1600807,1602361,+
279,CP003068,1,1567563,1569117,+
279,CP007041,1,1654194,1655754,+
279,CP008926,1,746691,748245,+
279,AE014074,1,1661365,1662925,+
279,BA000034,1,1655151,1656711,+
279,CP014138,1,1563856,1565410,+
279,CP006366,1,1578370,1579924,+
279,CP010450,1,1534792,1536346,+
278,CP000262,1,1677146,1678248,+
278,CP007041,1,1653091,1654192,+
278,CP008926,1,745587,746689,+
278,AE014074,1,1660262,1661363,+
278,BA000034,1,1654048,1655149,+
278,CP014138,1,1562752,1563854,+
278,CP006366,1,1577267,1578368,+
278,CP010450,1,1533689,1534790,+
277,CP000262,1,1221019,1223382,+
277,CP007041,1,1107201,1109519,+
277,AE014074,1,977624,979942,+
277,BA000034,1,1108144,1110462,+
277,CP012045,1,1599163,1601531,+
277,CP014138,1,1164562,1166924,+
277,CP008695,1,448180,450530,-
277,CP007560,1,582571,584934,-
277,CP009612,1,1192648,1195011,+
277,CP009612,1,1570998,1573366,+
277,AFRY01000001,1,398104,400472,-
276,CP000262,1,612707,614195,+
276,CP014138,1,574632,576120,+
275,CP000262,1,123884,133918,+
275,CP014138,1,117905,127940,+
274,CP000262,1,122705,123883,+
274,AP012335,1,121498,122676,+
274,CP014138,1,116726,117904,+
274,CP008695,1,1373367,1374557,-
274,CP011415,1,121501,122679,+
274,CP000003,1,161275,162453,+
273,CP000262,1,82014,83964,+
273,CP007041,1,16866,18800,+
273,CP007041,1,73845,75779,+
273,CP007041,1,250063,251997,+
273,CP007041,1,1637865,1639799,-
273,CP008926,1,1019031,1020965,+
273,AE014074,1,16866,18800,+
273,AE014074,1,79846,81780,+
273,AE014074,1,255988,257922,+
273,AE014074,1,1645036,1646970,-
273,BA000034,1,16866,18800,+
273,BA000034,1,73845,75779,+
273,BA000034,1,249900,251834,+
273,BA000034,1,1638822,1640756,-
273,CP014138,1,16868,18818,+
273,CP014138,1,76039,77989,+
273,CP014138,1,259120,261070,+
273,CP014138,1,1301004,1302975,-
273,CP014138,1,1547511,1549460,-
273,CP006366,1,16867,18801,+
273,CP006366,1,80851,82785,+
273,CP006366,1,259538,261472,+
273,CP006366,1,1562025,1563959,-
273,CP007560,1,16870,18804,+
273,CP007560,1,79486,81420,+
273,CP007560,1,269804,271738,+
273,CP007560,1,1648713,1650647,-
272,CP011535,1,795402,797405,+
272,CP011068,1,1080630,1082632,-
272,CP000056,1,1081186,1083188,-
272,CP014139,1,751093,753096,+
