block,species,chr,chr_beg,chr_end,orientation
351,LIMO.0521.00244,1,2728283,2731903,+
351,LIMO.0521.00242,1,1791464,1795084,+
351,LIMO.0521.00047,1,2637974,2641594,+
350,LIMO.0521.00151,1,2478912,2489676,+
350,LIMO.0521.00244,1,2515188,2525952,+
350,LIMO.0521.00023,1,2465682,2475804,+
349,LIMO.0521.00018,1,2705388,2715361,+
349,LIMO.0521.00046,1,2650046,2660019,+
349,LIMO.0521.00177,1,2643193,2653166,+
348,LIMO.0521.00018,1,316892,321200,+
348,LIMO.0521.00046,1,321751,326059,+
348,LIMO.0521.00177,1,316045,320353,+
347,LIMO.0521.00018,1,310939,315663,+
347,LIMO.0521.00046,1,315798,320522,+
347,LIMO.0521.00177,1,310094,314816,+
346,LIMO.0521.00145,1,1131498,1152769,+
346,LIMO.0521.00146,1,1131497,1152768,+
345,LIMO.0521.00158,1,2150649,2159468,+
345,LIMO.0521.00242,1,2834174,2842786,-
344,LIMO.0521.00178,1,1104795,1114681,+
344,LIMO.0521.00007,1,2364317,2374203,-
343,LIMO.0521.00055,1,25154,31416,+
343,LIMO.0521.00055,1,745070,751332,+
342,LIMO.0521.00121,1,863697,880943,+
342,LIMO.0521.00118,1,830379,847150,+
341,LIMO.0521.00121,1,854137,862717,+
341,LIMO.0521.00118,1,820819,829399,+
340,LIMO.0521.00053,1,2080784,2084317,+
340,LIMO.0521.00050,1,2396265,2399798,-
339,LIMO.0521.00065,1,2234208,2248588,+
339,LIMO.0521.00204,1,2252800,2267164,+
339,LIMO.0521.00197,1,2264568,2278950,+
338,LIMO.0521.00065,1,2218869,2223982,+
338,LIMO.0521.00204,1,2235517,2240614,+
338,LIMO.0521.00197,1,2251857,2256970,+
337,LIMO.0521.00065,1,2207782,2214729,+
337,LIMO.0521.00204,1,2223480,2230427,+
337,LIMO.0521.00197,1,2238044,2244991,+
166,LIMO.0521.00084,1,1980126,1996087,+
166,LIMO.0521.00085,1,1930957,1946918,+
166,LIMO.0521.00086,1,1761676,1777637,+
166,LIMO.0521.00083,1,1876290,1892251,+
166,LIMO.0521.00094,1,1768851,1784811,+
166,LIMO.0521.00093,1,1850698,1866660,+
166,LIMO.0521.00088,1,1817305,1833266,+
166,LIMO.0521.00091,1,1869487,1885448,+
166,LIMO.0521.00095,1,1980163,1996124,+
166,LIMO.0521.00076,1,2021275,2037236,+
166,LIMO.0521.00078,1,2012803,2028763,+
166,LIMO.0521.00077,1,1988440,2004401,+
166,LIMO.0521.00071,1,1752949,1768910,+
166,LIMO.0521.00072,1,1978648,1994609,+
166,LIMO.0521.00075,1,2176080,2192043,-
166,LIMO.0521.00117,1,853317,869278,+
166,LIMO.0521.00116,1,2745367,2761328,+
166,LIMO.0521.00102,1,2102318,2118279,+
166,LIMO.0521.00096,1,1856008,1871969,+
166,LIMO.0521.00100,1,2030314,2046276,+
166,LIMO.0521.00098,1,338674,354635,+
166,LIMO.0521.00111,1,2003811,2019775,+
166,LIMO.0521.00109,1,2068756,2084717,+
166,LIMO.0521.00108,1,1990461,2006423,+
166,LIMO.0521.00081,1,2356024,2371984,-
166,LIMO.0521.00107,1,1991051,2007013,+
166,LIMO.0521.00106,1,2019618,2035579,+
166,LIMO.0521.00127,1,2009802,2025764,+
166,LIMO.0521.00031,1,2115893,2131854,+
166,LIMO.0521.00025,1,2081245,2097207,+
166,LIMO.0521.00027,1,1995240,2011201,+
166,LIMO.0521.00006,1,2338070,2354031,+
166,LIMO.0521.00003,1,1492861,1508822,+
166,LIMO.0521.00002,1,1315868,1331830,+
166,LIMO.0521.00101,1,1927637,1943600,+
166,LIMO.0521.00015,1,1154329,1170289,-
166,LIMO.0521.00016,1,907771,923732,-
166,LIMO.0521.00009,1,2026335,2042296,+
166,LIMO.0521.00113,1,1989918,2005879,+
166,LIMO.0521.00010,1,1479876,1495837,+
166,LIMO.0521.00080,1,871210,887170,-
166,LIMO.0521.00049,1,513606,529571,+
166,LIMO.0521.00061,1,1339328,1355288,-
166,LIMO.0521.00063,1,2070167,2086128,+
166,LIMO.0521.00062,1,1988686,2004647,+
166,LIMO.0521.00056,1,2012816,2028776,+
166,LIMO.0521.00057,1,2071348,2087309,+
166,LIMO.0521.00104,1,1478161,1494122,+
166,LIMO.0521.00059,1,1807893,1823854,+
