assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name_x,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,strain,orig_name,to_annotate,gsize,nb_conts,L90,file,asm_name_y,name_no_strain,label
GCF_002813735.1,PRJNA224116,SAMN05856000,,,na,,446,446,Legionella pneumophila,strain=D5945,,latest,Complete Genome,Major,Full,2017/12/07,ASM281373v1,Centers of Disease Control,GCA_002813735.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/735/GCF_002813735.1_ASM281373v1,./Legionella_pneumophila/1-prepare_module/refseq/bacteria/GCF_002813735.1/GCF_002813735.1_ASM281373v1_genomic.fna.gz,LEPN.0521.00002,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_002813735.1_ASM281373v1_genomic.fna_prepare-split125N.fna,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_002813735.1_ASM281373v1_genomic.fna_prepare-split125N.fna,3460779,1,1,GCF_002813735.1_ASM281373v1_genomic.fna_prepare-split125N.fna,ASM281373v1,D5945,Legionella pneumophila D5945
GCF_003003515.1,PRJNA224116,SAMN06928771,,,na,,446,446,Legionella pneumophila,strain=D-4954,,latest,Complete Genome,Major,Full,2018/03/15,ASM300351v1,Centers for Disease Control and Prevention,GCA_003003515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/003/515/GCF_003003515.1_ASM300351v1,./Legionella_pneumophila/1-prepare_module/refseq/bacteria/GCF_003003515.1/GCF_003003515.1_ASM300351v1_genomic.fna.gz,LEPN.0521.00001,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003003515.1_ASM300351v1_genomic.fna_prepare-split125N.fna,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003003515.1_ASM300351v1_genomic.fna_prepare-split125N.fna,3661362,1,1,GCF_003003515.1_ASM300351v1_genomic.fna_prepare-split125N.fna,ASM300351v1,D-4954,Legionella pneumophila D-4954
GCF_003003535.1,PRJNA224116,SAMN06928767,,,na,,446,446,Legionella pneumophila,strain=NY24 (D-7706),,latest,Complete Genome,Major,Full,2018/03/15,ASM300353v1,Centers for Disease Control and Prevention,GCA_003003535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/003/535/GCF_003003535.1_ASM300353v1,./Legionella_pneumophila/1-prepare_module/refseq/bacteria/GCF_003003535.1/GCF_003003535.1_ASM300353v1_genomic.fna.gz,LEPN.0521.00003,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003003535.1_ASM300353v1_genomic.fna_prepare-split125N.fna,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003003535.1_ASM300353v1_genomic.fna_prepare-split125N.fna,3581477,1,1,GCF_003003535.1_ASM300353v1_genomic.fna_prepare-split125N.fna,ASM300353v1,NY24 (D-7706),Legionella pneumophila NY24 (D-7706)
GCF_003003555.1,PRJNA224116,SAMN06928766,,,na,,446,446,Legionella pneumophila,strain=NY23 (D-7705),,latest,Complete Genome,Major,Full,2018/03/15,ASM300355v1,Centers for Disease Control and Prevention,GCA_003003555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/003/555/GCF_003003555.1_ASM300355v1,./Legionella_pneumophila/1-prepare_module/refseq/bacteria/GCF_003003555.1/GCF_003003555.1_ASM300355v1_genomic.fna.gz,LEPN.0521.00004,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003003555.1_ASM300355v1_genomic.fna_prepare-split125N.fna,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003003555.1_ASM300355v1_genomic.fna_prepare-split125N.fna,3546234,1,1,GCF_003003555.1_ASM300355v1_genomic.fna_prepare-split125N.fna,ASM300355v1,NY23 (D-7705),Legionella pneumophila NY23 (D-7705)
GCF_003004065.1,PRJNA224116,SAMN06928768,,,na,,446,446,Legionella pneumophila,strain=D-7708,,latest,Complete Genome,Major,Full,2018/03/15,ASM300406v1,Centers for Disease Control and Prevention,GCA_003004065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/004/065/GCF_003004065.1_ASM300406v1,./Legionella_pneumophila/1-prepare_module/refseq/bacteria/GCF_003004065.1/GCF_003004065.1_ASM300406v1_genomic.fna.gz,LEPN.0521.00005,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003004065.1_ASM300406v1_genomic.fna_prepare-split125N.fna,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003004065.1_ASM300406v1_genomic.fna_prepare-split125N.fna,3412234,1,1,GCF_003004065.1_ASM300406v1_genomic.fna_prepare-split125N.fna,ASM300406v1,D-7708,Legionella pneumophila D-7708
GCF_003004195.1,PRJNA224116,SAMN06928773,,,na,,446,446,Legionella pneumophila,strain=D-5265,,latest,Complete Genome,Major,Full,2018/03/15,ASM300419v1,Centers for Disease Control and Prevention,GCA_003004195.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/004/195/GCF_003004195.1_ASM300419v1,./Legionella_pneumophila/1-prepare_module/refseq/bacteria/GCF_003004195.1/GCF_003004195.1_ASM300419v1_genomic.fna.gz,LEPN.0521.00018,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003004195.1_ASM300419v1_genomic.fna_prepare-split125N.fna,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003004195.1_ASM300419v1_genomic.fna_prepare-split125N.fna,3557258,2,1,GCF_003004195.1_ASM300419v1_genomic.fna_prepare-split125N.fna,ASM300419v1,D-5265,Legionella pneumophila D-5265
GCF_003004235.1,PRJNA224116,SAMN06928772,,,na,,446,446,Legionella pneumophila,strain=D-4040,,latest,Complete Genome,Major,Full,2018/03/15,ASM300423v1,Centers for Disease Control and Prevention,GCA_003004235.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/004/235/GCF_003004235.1_ASM300423v1,./Legionella_pneumophila/1-prepare_module/refseq/bacteria/GCF_003004235.1/GCF_003004235.1_ASM300423v1_genomic.fna.gz,LEPN.0521.00022,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003004235.1_ASM300423v1_genomic.fna_prepare-split125N.fna,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003004235.1_ASM300423v1_genomic.fna_prepare-split125N.fna,3639461,3,1,GCF_003004235.1_ASM300423v1_genomic.fna_prepare-split125N.fna,ASM300423v1,D-4040,Legionella pneumophila D-4040
GCF_003004335.1,PRJNA224116,SAMN06928774,,,na,,446,446,Legionella pneumophila,strain=D-7787,,latest,Complete Genome,Major,Full,2018/03/15,ASM300433v1,Centers for Disease Control and Prevention,GCA_003004335.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/004/335/GCF_003004335.1_ASM300433v1,./Legionella_pneumophila/1-prepare_module/refseq/bacteria/GCF_003004335.1/GCF_003004335.1_ASM300433v1_genomic.fna.gz,LEPN.0521.00019,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003004335.1_ASM300433v1_genomic.fna_prepare-split125N.fna,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_003004335.1_ASM300433v1_genomic.fna_prepare-split125N.fna,3419241,2,1,GCF_003004335.1_ASM300433v1_genomic.fna_prepare-split125N.fna,ASM300433v1,D-7787,Legionella pneumophila D-7787
GCF_001590615.2,PRJNA224116,SAMN04438305,,,na,,91890,446,Legionella pneumophila subsp. pascullei,strain=F-4185,,latest,Complete Genome,Minor,Full,2018/05/01,ASM159061v2,Centers of Disease Control,GCA_001590615.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/590/615/GCF_001590615.2_ASM159061v2,./Legionella_pneumophila/1-prepare_module/refseq/bacteria/GCF_001590615.2/GCF_001590615.2_ASM159061v2_genomic.fna.gz,LEPN.0521.00006,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_001590615.2_ASM159061v2_genomic.fna_prepare-split125N.fna,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_001590615.2_ASM159061v2_genomic.fna_prepare-split125N.fna,3389966,1,1,GCF_001590615.2_ASM159061v2_genomic.fna_prepare-split125N.fna,ASM159061v2,F-4185,Legionella pneumophila subsp. pascullei F-4185
GCF_001590645.1,PRJNA224116,SAMN04438278,,,na,,91890,446,Legionella pneumophila subsp. pascullei,strain=D-7158,,latest,Complete Genome,Major,Full,2016/03/14,ASM159064v1,Centers of Disease Control,GCA_001590645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/590/645/GCF_001590645.1_ASM159064v1,./Legionella_pneumophila/1-prepare_module/refseq/bacteria/GCF_001590645.1/GCF_001590645.1_ASM159064v1_genomic.fna.gz,LEPN.0521.00007,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_001590645.1_ASM159064v1_genomic.fna_prepare-split125N.fna,Legionella_pneumophila/1-prepare_module/tmp_files/GCF_001590645.1_ASM159064v1_genomic.fna_prepare-split125N.fna,3458918,1,1,GCF_001590645.1_ASM159064v1_genomic.fna_prepare-split125N.fna,ASM159064v1,D-7158,Legionella pneumophila subsp. pascullei D-7158
