Genome,Length
CP009010,5124810
CP009001,5123512
CP009016,5125126
CP009019,5125124
CP003778,5321499
CP009022,5175486
CM007619,5198474
CP009013,5124790
CM007622,5167049
LN590509,5336032
CP009025,5175550
CP009028,5175552
CP009007,5175551
CP009034,5321148
CP011827,5124728
CP009031,5321148
CP018854,5159828
AE008923,5175554
CP018847,5158276
CP018858,5156885
CP009040,5321071
CP009004,5124846
CP018850,5148229
CP008995,5175558
CP009037,5321141
LN606820,5247380
CP008998,5124831
CP020889,5337525
CP023285,5148873
CP020882,5330822
CP008989,5123664
CP020885,5341733
CP008992,5123810
CP006857,5175545
