block,species,chr,chr_beg,chr_end,orientation
336,LIMO.0521.00084,1,2114440,2119432,+
336,LIMO.0521.00085,1,2071575,2076566,+
336,LIMO.0521.00086,1,1895991,1900983,+
336,LIMO.0521.00083,1,2010666,2015658,+
336,LIMO.0521.00094,1,1908216,1913208,+
336,LIMO.0521.00093,1,1982137,1987129,+
336,LIMO.0521.00088,1,1951620,1956612,+
336,LIMO.0521.00091,1,2002525,2007517,+
336,LIMO.0521.00095,1,2113201,2118193,+
336,LIMO.0521.00076,1,2154307,2159299,+
336,LIMO.0521.00078,1,2155492,2160484,+
336,LIMO.0521.00077,1,2126929,2131921,+
336,LIMO.0521.00071,1,1893526,1898518,+
336,LIMO.0521.00072,1,2119224,2124215,+
336,LIMO.0521.00075,1,2055335,2060327,-
336,LIMO.0521.00117,1,986354,991346,+
336,LIMO.0521.00116,1,2883857,2888849,+
336,LIMO.0521.00102,1,2242965,2247957,+
336,LIMO.0521.00096,1,1989046,1994038,+
336,LIMO.0521.00100,1,2163352,2168344,+
336,LIMO.0521.00098,1,1721754,1726746,+
336,LIMO.0521.00111,1,2128860,2133852,+
336,LIMO.0521.00109,1,2209545,2214537,+
336,LIMO.0521.00108,1,2123496,2128488,+
336,LIMO.0521.00081,1,2226419,2231410,-
336,LIMO.0521.00107,1,2124086,2129078,+
336,LIMO.0521.00106,1,2152650,2157642,+
336,LIMO.0521.00127,1,2141572,2146564,+
336,LIMO.0521.00031,1,2254853,2259844,+
336,LIMO.0521.00025,1,2211721,2216713,+
336,LIMO.0521.00027,1,2135609,2140601,+
336,LIMO.0521.00006,1,2471107,2476099,+
336,LIMO.0521.00003,1,1625893,1630885,+
336,LIMO.0521.00002,1,1448901,1453893,+
336,LIMO.0521.00101,1,2058555,2063535,+
336,LIMO.0521.00015,1,1026808,1031800,-
336,LIMO.0521.00016,1,786971,791963,-
336,LIMO.0521.00009,1,2167046,2172038,+
336,LIMO.0521.00113,1,2128408,2133400,+
336,LIMO.0521.00010,1,1620519,1625510,+
336,LIMO.0521.00080,1,741606,746596,-
336,LIMO.0521.00049,1,637390,642382,+
336,LIMO.0521.00061,1,1209586,1214578,-
336,LIMO.0521.00063,1,2210878,2215870,+
336,LIMO.0521.00062,1,2129397,2134389,+
336,LIMO.0521.00056,1,2155505,2160497,+
336,LIMO.0521.00057,1,2204387,2209379,+
336,LIMO.0521.00104,1,1620845,1625837,+
336,LIMO.0521.00059,1,1940925,1945917,+
336,LIMO.0521.00004,1,949919,954911,-
336,LIMO.0521.00039,1,931327,936319,-
336,LIMO.0521.00038,1,2074080,2079072,+
336,LIMO.0521.00032,1,113701,118693,+
336,LIMO.0521.00074,1,813001,817992,-
336,LIMO.0521.00033,1,2170055,2175047,+
336,LIMO.0521.00035,1,2152440,2157431,+
336,LIMO.0521.00040,1,1831090,1836082,+
336,LIMO.0521.00126,1,2174636,2179628,+
336,LIMO.0521.00042,1,2247427,2252419,+
336,LIMO.0521.00216,1,2658787,2663779,-
336,LIMO.0521.00188,1,2168825,2173817,+
336,LIMO.0521.00139,1,2124066,2129058,+
336,LIMO.0521.00166,1,1951860,1956852,-
336,LIMO.0521.00048,1,2090994,2095986,+
336,LIMO.0521.00189,1,2212454,2217446,+
336,LIMO.0521.00131,1,2292551,2297543,-
336,LIMO.0521.00155,1,2129316,2134308,+
336,LIMO.0521.00034,1,2148882,2153873,+
336,LIMO.0521.00159,1,2071663,2076655,+
336,LIMO.0521.00175,1,2153128,2158120,+
336,LIMO.0521.00168,1,2202507,2207499,+
336,LIMO.0521.00169,1,2132700,2137692,+
336,LIMO.0521.00195,1,2128838,2133829,+
336,LIMO.0521.00087,1,2087853,2092844,+
336,LIMO.0521.00179,1,2192025,2197017,+
336,LIMO.0521.00011,1,786971,791963,-
336,LIMO.0521.00067,1,2116027,2121018,+
336,LIMO.0521.00217,1,786971,791963,-
336,LIMO.0521.00045,1,2154714,2159706,+
336,LIMO.0521.00119,1,2085719,2090710,+
336,LIMO.0521.00243,1,894815,899806,-
336,LIMO.0521.00129,1,118382,123374,-
336,LIMO.0521.00154,1,2134755,2139747,+
336,LIMO.0521.00068,1,2116027,2121018,+
336,LIMO.0521.00162,1,2130668,2135660,+
336,LIMO.0521.00230,1,817422,822414,-
336,LIMO.0521.00028,1,2153925,2158917,+
336,LIMO.0521.00089,1,1988310,1993301,+
336,LIMO.0521.00115,1,2922837,2927828,+
336,LIMO.0521.00013,1,786971,791963,-
336,LIMO.0521.00099,1,2145142,2150128,+
336,LIMO.0521.00173,1,2153126,2158118,+
336,LIMO.0521.00218,1,786971,791963,-
336,LIMO.0521.00157,1,2119221,2124213,+
336,LIMO.0521.00246,1,2133446,2138438,+
336,LIMO.0521.00036,1,2120330,2125322,+
336,LIMO.0521.00194,1,2546045,2551037,-
336,LIMO.0521.00020,1,880005,884997,-
336,LIMO.0521.00140,1,2196832,2201823,+
336,LIMO.0521.00029,1,2154583,2159574,+
336,LIMO.0521.00186,1,2246872,2251864,+
336,LIMO.0521.00065,1,2166669,2171660,+
336,LIMO.0521.00024,1,2129531,2134522,+
336,LIMO.0521.00161,1,2129473,2134465,+
336,LIMO.0521.00053,1,2345552,2350544,-
336,LIMO.0521.00070,1,2116028,2121019,+
336,LIMO.0521.00241,1,2166489,2171480,+
336,LIMO.0521.00112,1,1619607,1624599,+
336,LIMO.0521.00030,1,2153050,2158041,+
336,LIMO.0521.00220,1,2218032,2223023,+
336,LIMO.0521.00240,1,2085917,2090908,+
336,LIMO.0521.00222,1,2180083,2185075,+
336,LIMO.0521.00114,1,525822,530814,+
336,LIMO.0521.00207,1,2200962,2205954,+
336,LIMO.0521.00026,1,2151643,2156635,+
336,LIMO.0521.00122,1,2133327,2138318,+
