strain,character_state,character_state_annotation
LEPN.0521.00012,1,1 copies
LEPN.0521.00021,1,1 copies
LEPN.0521.00018,1,1 copies
LEPN.0521.00004,0,0 copies
LEPN.0521.00015,1,1 copies
LEPN.0521.00020,1,1 copies
LEPN.0521.00017,1,1 copies
LEPN.0521.00022,1,1 copies
LEPN.0521.00013,1,1 copies
LEPN.0521.00003,0,0 copies
LEPN.0521.00002,1,1 copies
LEPN.0521.00016,1,1 copies
LEPN.0521.00009,1,1 copies
LEPN.0521.00008,1,1 copies
LEPN.0521.00010,1,1 copies
LEPN.0521.00006,1,1 copies
LEPN.0521.00007,1,1 copies
LEPN.0521.00001,1,1 copies
LEPN.0521.00014,1,1 copies
LEPN.0521.00011,2,2 copies
LEPN.0521.00019,0,0 copies
LEPN.0521.00005,1,1 copies
