strain,character_state,character_state_annotation
BUMA.0721.00011,4,4 copies
BUMA.0721.00002,1,1 copies
BUMA.0721.00024,7,7 copies
BUMA.0721.00016,5,5 copies
BUMA.0721.00029,5,5 copies
BUMA.0721.00017,9,9 copies
BUMA.0721.00022,9,9 copies
BUMA.0721.00006,2,2 copies
BUMA.0721.00009,0,0 copies
BUMA.0721.00023,5,5 copies
BUMA.0721.00004,2,2 copies
BUMA.0721.00012,3,3 copies
BUMA.0721.00010,1,1 copies
BUMA.0721.00021,9,9 copies
BUMA.0721.00019,9,9 copies
BUMA.0721.00031,4,4 copies
BUMA.0721.00007,3,3 copies
BUMA.0721.00030,5,5 copies
BUMA.0721.00001,2,2 copies
BUMA.0721.00025,9,9 copies
BUMA.0721.00008,5,5 copies
BUMA.0721.00026,5,5 copies
BUMA.0721.00020,9,9 copies
BUMA.0721.00005,1,1 copies
BUMA.0721.00028,0,0 copies
BUMA.0721.00014,9,9 copies
BUMA.0721.00027,5,5 copies
BUMA.0721.00032,3,3 copies
BUMA.0721.00013,8,8 copies
BUMA.0721.00003,0,0 copies
BUMA.0721.00018,10,10 copies
BUMA.0721.00015,8,8 copies
