Seq_id	Size	Description
6	1329	EPEC51.contig_65
7	1332	EPEC37.contig_67
12	6869	EPEC2.contig_60
26	2084	EPEC37.contig_58
31	1255	EPEC37.contig_72
33	28985	EPEC5.contig_23
34	30308	EPEC38.contig_24
35	18497	EPEC37.contig_40
42	2680	EPEC40.contig_97
45	7670	EPEC54.contig_79
48	1374	EPEC34.contig_148
49	4582	EPEC52.contig_39
56	5699	EPEC18.contig_33
57	1826	EPEC18.contig_45
58	1826	EPEC53.contig_43
59	1424	EPEC53.contig_47
64	11952	EPEC34.contig_70
65	8039	EPEC1.contig_68
68	5275	EPEC1.contig_75
73	57307	EPEC53.contig_18
75	57094	EPEC8.contig_20
93	27551	EPEC34.contig_51
102	3854	EPEC54.contig_102
103	10422	EPEC34.contig_74
105	8494	EPEC54.contig_73
107	3269	EPEC1.contig_87
109	9380	EPEC13.contig_69
118	5721	EPEC34.contig_89
136	6907	EPEC8.contig_53
137	7104	EPEC8.contig_52
140	6796	EPEC54.contig_84
148	2502	EPEC7.contig_41
152	5457	EPEC58.contig_51
153	18010	EPEC15.contig_49
193	3394	EPEC9.contig_98
200	46011	EPEC10.contig_19
207	13801	EPEC21.contig_43
208	11933	EPEC1.contig_56
213	4265	EPEC15.contig_81
214	2065	EPEC33.contig_82
215	3175	EPEC3.contig_58
221	6678	EPEC45.contig_43
224	2679	EPEC8.contig_74
226	63666	EPEC51.contig_23
227	9669	EPEC45.contig_39
228	1181	EPEC21.contig_67
233	21328	EPEC13.contig_51
239	11752	EPEC40.contig_67
249	5785	EPEC29.contig_66
250	10891	EPEC58.contig_44
251	5291	EPEC21.contig_52
252	13606	EPEC8.contig_43
255	7010	EPEC54.contig_81
258	8255	EPEC33.contig_50
259	7131	EPEC23.contig_36
260	6747	EPEC23.contig_37
263	5312	EPEC58.contig_53
266	4576	EPEC21.contig_54
269	8135	EPEC45.contig_40
273	1343	EPEC46.contig_41
274	1343	EPEC32.contig_54
275	1343	EPEC44.contig_49
276	1343	EPEC51.contig_64
277	1343	EPEC1.contig_120
281	34611	EPEC21.contig_34
282	27931	EPEC1.contig_45
291	24531	EPEC28.contig_22
313	87153	EPEC7.contig_18
314	47404	EPEC21.contig_27
315	96836	EPEC14.contig_18
316	45501	EPEC59.contig_24
367	3095	EPEC37.contig_52
368	4786	EPEC37.contig_49
