strain,character_state,character_state_annotation
CP000259,0,0 copies
CP000260,0,0 copies
CP006366,1,1 copies
CP012045,1,1 copies
CP014139,0,0 copies
CP007024,1,1 copies
AM295007,1,1 copies
CP010450,0,0 copies
CP008776,1,1 copies
CP013839,0,0 copies
CP000017,1,1 copies
CP007537,1,1 copies
CP007561,1,1 copies
AE014074,0,0 copies
AFRY01000001,0,0 copies
CP000261,0,0 copies
AE004092,1,1 copies
CP011068,0,0 copies
CP007562,0,0 copies
HG316453,0,0 copies
CP014138,1,1 copies
CP008695,1,1 copies
CP010449,1,1 copies
CP015238,1,1 copies
CP003121,1,1 copies
CP007240,0,0 copies
CP007241,1,1 copies
CP011535,0,0 copies
AP012491,1,1 copies
CP003116,1,1 copies
CP013838,0,0 copies
CP013840,0,0 copies
CP014027,1,1 copies
CP007560,0,0 copies
CP013672,0,0 copies
CP000056,0,0 copies
CP003901,1,1 copies
CP000262,1,1 copies
BA000034,0,0 copies
CP003068,0,0 copies
CP011415,0,0 copies
CP008926,1,1 copies
CP009612,0,0 copies
CP000829,1,1 copies
AP014585,1,1 copies
CP007041,0,0 copies
AP014572,1,1 copies
AE009949,1,1 copies
CP000003,0,0 copies
AP012335,0,0 copies
