assembly,chromosome,description
GCF_900324295.1_16_LA_309,NZ_LT992467.1,Staphylococcus aureus isolate 16_LA_309
GCF_004118995.1_ASM411899v1,NZ_CP035369.1,Staphylococcus aureus strain LAC
GCF_000382985.1_ASM38298v1,NC_020566.1,Staphylococcus aureus subsp. aureus ST228
GCF_004772215.1_ASM477221v1,NZ_CP038612.1,Staphylococcus aureus strain O268
GCF_007726565.1_ASM772656v1,NZ_CP042157.1,Staphylococcus aureus strain B3-17D
GCF_009912475.1_ASM991247v1,NZ_CP047782.1,Staphylococcus aureus strain UP_1352
GCF_008330045.1_ASM833004v1,NZ_CP039448.1,Staphylococcus aureus strain VGC1
GCF_003193665.1_ASM319366v1,NZ_CP029649.1,Staphylococcus aureus strain AR_0472
GCF_003030085.1_ASM303008v1,NZ_CP028165.1,Staphylococcus aureus strain CFSAN064037
GCF_009739825.1_ASM973982v1,NZ_CP034011.1,Staphylococcus aureus strain P1D5C1
GCF_009911895.1_ASM991189v1,NZ_CP047789.1,Staphylococcus aureus strain UP_967
GCF_900635095.1_33763_A01,NZ_LR133917.1,Staphylococcus aureus strain NCTC8317
GCF_000245495.1_ASM24549v1,NC_016912.1,Staphylococcus aureus subsp. aureus VC40
GCF_008693765.1_ASM869376v1,NZ_CP044106.1,Staphylococcus aureus strain FDAARGOS_660
GCF_900607255.1_BPH2019,NZ_LR027870.1,Staphylococcus aureus strain BPH2019
GCF_000969225.1_ASM96922v1,NZ_CP011147.1,Staphylococcus aureus strain FCFHV36
GCF_001183705.3_ASM118370v3,NZ_CP012119.2,Staphylococcus aureus subsp. aureus strain USA300_2014.C01
GCF_002633785.1_ASM263378v1,NZ_CP017684.1,Staphylococcus aureus strain CFSAN007847
GCF_003354645.1_ASM335464v1,NZ_CP022897.1,Staphylococcus aureus strain 128
GCF_000145595.1_ASM14559v1,NC_017341.1,Staphylococcus aureus subsp. aureus str. JKD6008
GCF_003186125.1_ASM318612v1,NZ_CP029627.1,Staphylococcus aureus strain MOK042
GCF_003354965.1_ASM335496v1,NZ_CP022906.1,Staphylococcus aureus strain 546
GCF_003194005.1_ASM319400v1,NZ_CP029655.1,Staphylococcus aureus strain AR_0469
GCF_004153345.1_ASM415334v1,NZ_CP035670.1,Staphylococcus aureus subsp. aureus strain VB9352
GCF_005885975.1_ASM588597v1,NZ_CP040560.1,Staphylococcus aureus strain Col52-A5
GCF_003354705.1_ASM335470v1,NZ_CP022893.1,Staphylococcus aureus strain 61
GCF_003595365.1_ASM359536v1,NZ_CP014362.1,Staphylococcus aureus strain USA300-SUR1
GCF_009912195.1_ASM991219v1,NZ_CP047822.1,Staphylococcus aureus strain UP_1278
GCF_003203595.1_ASM320359v1,NZ_CP029664.1,Staphylococcus aureus strain AR_0226
GCF_007998145.1_ASM799814v1,NZ_CP042650.1,Staphylococcus aureus strain X22
GCF_001045795.2_ASM104579v2,NZ_CP007672.1,Staphylococcus aureus strain CA12
GCF_003573855.1_ASM357385v1,NZ_AP018922.1,Staphylococcus aureus JMUB1273 DNA
GCF_003193725.1_ASM319372v1,NZ_CP029678.1,Staphylococcus aureus strain AR_0216
GCF_000695215.1_ASM69521v1,NZ_CP007659.1,Staphylococcus aureus subsp. aureus strain H-EMRSA-15
GCF_002140115.1_ASM214011v1,NZ_CP015817.1,Staphylococcus aureus strain FORC_039
GCF_900474535.1_40853_C01,NZ_LS483300.1,Staphylococcus aureus strain NCTC7485
GCF_009912535.1_ASM991253v1,NZ_CP047786.1,Staphylococcus aureus strain UP_1150
GCF_000463055.1_ASM46305v1,NC_022226.1,Staphylococcus aureus subsp. aureus CN1
GCF_004785995.1_ASM478599v1,NZ_CP039156.1,Staphylococcus aureus subsp. aureus strain WCUH29
GCF_003354685.1_ASM335468v1,NZ_CP022896.1,Staphylococcus aureus strain 277
GCF_004193895.1_ASM419389v1,NZ_CP020959.1,Staphylococcus aureus strain H489
GCF_008619235.1_ASM861923v1,NZ_AP020311.1,Staphylococcus aureus KUH140013 DNA
GCF_009912015.1_ASM991201v1,NZ_CP047813.1,Staphylococcus aureus strain UP_1500
GCF_900129335.1_PP_HGAG_QV30_2SC_T4,NZ_LT671859.1,"Staphylococcus aureus subsp. aureus isolate Clinical isolate genome assembly, chromosome: I"
GCF_009911855.1_ASM991185v1,NZ_CP047817.1,Staphylococcus aureus strain UP_1433
GCF_000815165.1_ASM81516v1,NZ_CP010298.1,Staphylococcus aureus strain ATCC BAA1680
GCF_000010445.1_ASM1044v1,NC_009782.1,Staphylococcus aureus subsp. aureus Mu3
GCF_009728775.1_ASM972877v1,NZ_CP033114.1,Staphylococcus aureus strain ST20130945
GCF_002355355.1_ASM235535v1,NZ_AP017377.1,"Staphylococcus aureus DNA, strain: OC8"
GCF_002786465.1_ASM278646v1,NZ_CP022290.1,Staphylococcus aureus subsp. aureus strain EDCC5458
GCF_001019275.2_ASM101927v2,NZ_CP026077.1,Staphylococcus aureus strain NRS107
