block,species,chr,chr_beg,chr_end,orientation
610,YEPE.0221.00058,1,2202729,2204028,+
610,YEPE.0221.00058,1,2445685,2446987,+
609,YEPE.0221.00038,1,3793416,3795367,+
609,YEPE.0221.00020,1,164196,166146,-
608,YEPE.0221.00038,1,599561,600862,+
608,YEPE.0221.00058,1,1527254,1528555,-
607,YEPE.0221.00049,1,214258,215408,+
607,YEPE.0221.00049,1,640238,641375,-
606,YEPE.0221.00037,1,2615915,2617375,+
606,YEPE.0221.00039,1,2346312,2347757,+
605,YEPE.0221.00034,1,1281611,1282750,+
605,YEPE.0221.00034,1,1706077,1707231,+
604,YEPE.0221.00034,1,1023155,1024185,+
604,YEPE.0221.00058,1,1476697,1477728,-
603,YEPE.0221.00014,1,4165165,4166770,+
603,YEPE.0221.00040,1,738520,740107,-
603,YEPE.0221.00043,1,3217135,3218723,-
602,YEPE.0221.00014,1,4029635,4030880,+
602,YEPE.0221.00044,1,1610195,1611440,-
602,YEPE.0221.00049,1,4402715,4403959,+
602,YEPE.0221.00038,1,1743701,1744963,-
601,YEPE.0221.00014,1,2255738,2257078,+
601,YEPE.0221.00037,1,148658,150014,+
600,YEPE.0221.00014,1,1791560,1793484,+
600,YEPE.0221.00014,1,1983129,1985081,-
599,YEPE.0221.00033,1,103925,105141,+
599,YEPE.0221.00058,1,198200,199413,-
599,YEPE.0221.00058,1,1148440,1149654,+
598,YEPE.0221.00051,1,4211562,4212592,+
598,YEPE.0221.00033,1,305054,306083,+
598,YEPE.0221.00049,1,4568560,4569591,+
597,YEPE.0221.00024,1,234108,235355,+
597,YEPE.0221.00033,1,3244872,3246118,+
597,YEPE.0221.00049,1,1575126,1576386,+
597,YEPE.0221.00038,1,1961399,1962644,+
597,YEPE.0221.00038,1,4248428,4249673,+
597,YEPE.0221.00042,1,3372428,3373675,-
596,YEPE.0221.00046,1,3826910,3828156,+
596,YEPE.0221.00014,1,3859885,3861143,-
596,YEPE.0221.00037,1,2838865,2840111,-
596,YEPE.0221.00039,1,388402,389664,-
596,YEPE.0221.00049,1,4471594,4472854,-
595,YEPE.0221.00046,1,3078242,3079830,+
595,YEPE.0221.00046,1,4636320,4637908,-
595,YEPE.0221.00014,1,1452955,1454559,-
595,YEPE.0221.00042,1,2278000,2279590,-
595,YEPE.0221.00058,1,4256450,4258038,+
594,YEPE.0221.00046,1,3029001,3030599,+
594,YEPE.0221.00014,1,233466,235082,+
594,YEPE.0221.00014,1,1207770,1209369,+
594,YEPE.0221.00014,1,3011964,3013578,+
594,YEPE.0221.00042,1,4585882,4587466,-
593,YEPE.0221.00046,1,2207835,2208983,+
593,YEPE.0221.00038,1,1409545,1410712,-
592,YEPE.0221.00016,1,39941,40942,+
592,YEPE.0221.00016,1,1290017,1291019,+
592,YEPE.0221.00016,1,1361097,1362114,+
592,YEPE.0221.00016,1,1493880,1494897,-
592,YEPE.0221.00016,1,1680446,1681463,+
592,YEPE.0221.00016,1,3550837,3551853,-
592,YEPE.0221.00016,1,3610839,3611840,+
592,YEPE.0221.00039,1,43173,44189,-
592,YEPE.0221.00039,1,103175,104176,+
592,YEPE.0221.00039,1,1036529,1037530,+
592,YEPE.0221.00039,1,2285768,2286770,+
592,YEPE.0221.00039,1,2489456,2490473,-
591,YEPE.0221.00026,1,2781515,2783470,+
591,YEPE.0221.00016,1,329980,331918,+
591,YEPE.0221.00007,1,4461407,4463360,+
591,YEPE.0221.00046,1,2090375,2092330,+
591,YEPE.0221.00024,1,981256,983211,+
591,YEPE.0221.00024,1,3346924,3348876,+
591,YEPE.0221.00003,1,4355982,4357935,+
591,YEPE.0221.00014,1,1746170,1748119,+
591,YEPE.0221.00037,1,3823778,3825734,+
591,YEPE.0221.00039,1,1326573,1328511,+
591,YEPE.0221.00022,1,3813092,3815047,+
591,YEPE.0221.00038,1,258277,260232,+
591,YEPE.0221.00043,1,1578402,1580358,-
591,YEPE.0221.00058,1,1860482,1862436,+
591,YEPE.0221.00058,1,3267231,3269186,+
591,YEPE.0221.00045,1,1844023,1845979,-
591,YEPE.0221.00010,1,1686296,1688252,-
590,YEPE.0221.00026,1,1308735,1310262,+
590,YEPE.0221.00031,1,3587418,3588959,+
589,YEPE.0221.00005,1,1659232,1660237,+
589,YEPE.0221.00005,1,1812771,1813791,+
589,YEPE.0221.00005,1,3180611,3181629,-
589,YEPE.0221.00037,1,4522546,4523552,+
589,YEPE.0221.00049,1,3744254,3745272,+
588,YEPE.0221.00025,1,3740778,3742733,+
588,YEPE.0221.00025,1,4412664,4414628,+
588,YEPE.0221.00006,1,3273503,3275457,+
588,YEPE.0221.00004,1,4082416,4084371,+
588,YEPE.0221.00013,1,3848022,3849977,+
588,YEPE.0221.00013,1,4519832,4521796,+
588,YEPE.0221.00054,1,407417,409371,-
588,YEPE.0221.00007,1,3789533,3791488,+
588,YEPE.0221.00002,1,3848383,3850338,+
588,YEPE.0221.00002,1,4520168,4522132,+
588,YEPE.0221.00008,1,3636326,3638278,+
588,YEPE.0221.00008,1,3924303,3926259,+
588,YEPE.0221.00036,1,700156,702110,-
588,YEPE.0221.00030,1,3743298,3745253,+
588,YEPE.0221.00051,1,3923015,3924969,-
588,YEPE.0221.00033,1,3665234,3667189,+
588,YEPE.0221.00003,1,3684146,3686101,+
588,YEPE.0221.00041,1,4117891,4119845,-
588,YEPE.0221.00009,1,2327465,2329418,+
588,YEPE.0221.00009,1,3852613,3854568,+
588,YEPE.0221.00053,1,603912,605866,-
588,YEPE.0221.00053,1,891872,893825,-
588,YEPE.0221.00047,1,594609,596564,+
588,YEPE.0221.00057,1,93143,95097,-
588,YEPE.0221.00040,1,123500,125452,+
588,YEPE.0221.00040,1,1792350,1794301,+
588,YEPE.0221.00040,1,2357287,2359239,+
588,YEPE.0221.00040,1,2633613,2635568,-
