strain,character_state,character_state_annotation
BUMA.0721.00005,0,adjacency exists
BUMA.0721.00016,3,inversion between 610h-772h and 617t-773t
BUMA.0721.00024,0,adjacency exists
BUMA.0721.00023,3,inversion between 610h-772h and 617t-773t
BUMA.0721.00030,4,inversion between 610h-772h and 564h-566t
BUMA.0721.00029,3,inversion between 610h-772h and 617t-773t
BUMA.0721.00002,3,inversion between 610h-772h and 617t-773t
BUMA.0721.00018,0,adjacency exists
BUMA.0721.00017,0,adjacency exists
BUMA.0721.00021,0,adjacency exists
BUMA.0721.00022,0,adjacency exists
BUMA.0721.00004,0,adjacency exists
BUMA.0721.00013,0,adjacency exists
BUMA.0721.00031,0,adjacency exists
BUMA.0721.00012,1,complex break of adjacency
BUMA.0721.00019,0,adjacency exists
BUMA.0721.00027,3,inversion between 610h-772h and 617t-773t
BUMA.0721.00020,0,adjacency exists
BUMA.0721.00007,0,adjacency exists
BUMA.0721.00001,3,inversion between 610h-772h and 617t-773t
BUMA.0721.00028,1,complex break of adjacency
BUMA.0721.00026,4,inversion between 610h-772h and 564h-566t
BUMA.0721.00008,4,inversion between 610h-772h and 564h-566t
BUMA.0721.00025,0,adjacency exists
BUMA.0721.00015,0,adjacency exists
BUMA.0721.00014,0,adjacency exists
BUMA.0721.00032,0,adjacency exists
BUMA.0721.00006,1,complex break of adjacency
BUMA.0721.00010,3,inversion between 610h-772h and 617t-773t
BUMA.0721.00003,1,complex break of adjacency
BUMA.0721.00009,3,inversion between 610h-772h and 617t-773t
BUMA.0721.00011,5,inversion between 610h-772h and 617t-627t
