AssemblyID,AssemblyName,Organism,Type,GenBankID,RefSeqID,length(bp),CDSs,MobElemCount,ISTransposaseCount(GB),ISTransposaseCount(RF),ISTransposaseCount(ISsaga),Cluster,Info
GCA_002310615.1,ASM231061v1,Escherichia coli 1190,Chromosome,CP023386.1,NZ_CP023386.1,4900891,4882,0,35,36,46/57,1 (D),
GCA_002310615.1,ASM231061v1,Escherichia coli 1190,Plasmid,CP023387.1,NZ_CP023387.1,86147,112,0,0,0,,1 (D),
GCA_002310595.1,ASM231059v1,Escherichia coli 144,Chromosome,CP023364.1,NZ_CP023364.1,5134443,5049,0,61,61,82/96,1 (D),
GCA_002310595.1,ASM231059v1,Escherichia coli 144,Plasmid,CP023365.1,NZ_CP023365.1,92421,127,0,1,1,,1 (D),
GCA_002310595.1,ASM231059v1,Escherichia coli 144,Plasmid,CP023363.1,NZ_CP023363.1,134388,180,0,12,12,,1 (D),
GCA_000027125.1,ASM2712v1,Escherichia coli 042,Chromosome,FN554766.1,NC_017626.1,5241977,4886,0,5,52,90/102,1 (D),EAEC
GCA_000027125.1,ASM2712v1,Escherichia coli 042,Plasmid,FN554767.1,NC_017627.1,113346,152,0,0,14,,1 (D),EAEC
GCA_002310655.1,ASM231065v1,Escherichia coli 746,Chromosome,CP023353.1,NZ_CP023353.1,5089615,5046,0,74,76,87/100,1 (D),
GCA_002310655.1,ASM231065v1,Escherichia coli 746,Plasmid,CP023355.1,NZ_CP023355.1,72470,119,0,2,2,,1 (D),
GCA_002310655.1,ASM231065v1,Escherichia coli 746,Plasmid,CP023354.1,NZ_CP023354.1,62312,94,0,0,0,,1 (D),
GCA_002310655.1,ASM231065v1,Escherichia coli 746,Plasmid,CP023356.1,NZ_CP023356.1,94881,129,0,2,2,,1 (D),
GCA_002787215.1,ASM278721v1,Escherichia coli AR_0006,Chromosome,CP024851.1,NZ_CP024851.1,5054076,5064,0,72,74,107/119,1 (D),
GCA_002787215.1,ASM278721v1,Escherichia coli AR_0006,Plasmid,CP024853.1,NZ_CP024853.1,35812,52,0,1,1,,1 (D),
GCA_002787215.1,ASM278721v1,Escherichia coli AR_0006,Plasmid,CP024852.1,NZ_CP024852.1,167974,223,0,22,22,,1 (D),
GCA_002787215.1,ASM278721v1,Escherichia coli AR_0006,Plasmid,CP024854.1,NZ_CP024854.1,96413,128,0,2,2,,1 (D),
GCA_002788115.1,ASM278811v1,Escherichia coli AR_0015,Chromosome,CP024862.1,NZ_CP024862.1,5107874,5145,0,79,80,111/126,1 (D),
GCA_002788115.1,ASM278811v1,Escherichia coli AR_0015,Plasmid,CP024863.1,NZ_CP024863.1,139059,195,0,29,29,,1 (D),
GCA_002788115.1,ASM278811v1,Escherichia coli AR_0015,Plasmid,CP024864.1,NZ_CP024864.1,88768,108,0,2,2,,1 (D),
