assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name_x,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,strain,orig_name,to_annotate,gsize,nb_conts,L90,file,asm_name_y,name_no_strain,label
GCF_000817005.1,PRJNA224116,SAMN02725063,,,na,,1313,1313,Streptococcus pneumoniae,strain=NT_110_58,,latest,Complete Genome,Major,Full,2015/01/09,ASM81700v1,University of Bern,GCA_000817005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/005/GCF_000817005.1_ASM81700v1,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_000817005.1/GCF_000817005.1_ASM81700v1_genomic.fna.gz,STPN.0321.00004,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_000817005.1_ASM81700v1_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_000817005.1_ASM81700v1_genomic.fna_prepare-split125N.fna,2287774,1,1,GCF_000817005.1_ASM81700v1_genomic.fna_prepare-split125N.fna,ASM81700v1,NT_110_58,Streptococcus pneumoniae NT_110_58
GCF_001255215.1,PRJNA224116,SAMEA3367470,,,na,,1313,1313,Streptococcus pneumoniae,strain=A66,,latest,Complete Genome,Major,Full,2015/05/20,S_pneumo_A66_v1,University of Hull,GCA_001255215.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/255/215/GCF_001255215.1_S_pneumo_A66_v1,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_001255215.1/GCF_001255215.1_S_pneumo_A66_v1_genomic.fna.gz,STPN.0321.00009,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001255215.1_S_pneumo_A66_v1_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001255215.1_S_pneumo_A66_v1_genomic.fna_prepare-split125N.fna,1983415,1,1,GCF_001255215.1_S_pneumo_A66_v1_genomic.fna_prepare-split125N.fna,S_pneumo_A66_v1,A66,Streptococcus pneumoniae A66
GCF_001457635.1,PRJNA224116,SAMEA2479568,,,na,assembly from type material,1313,1313,Streptococcus pneumoniae,strain=NCTC7465,,latest,Complete Genome,Major,Full,2015/03/22,NCTC7465,SC,GCA_001457635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/635/GCF_001457635.1_NCTC7465,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_001457635.1/GCF_001457635.1_NCTC7465_genomic.fna.gz,STPN.0321.00006,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001457635.1_NCTC7465_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001457635.1_NCTC7465_genomic.fna_prepare-split125N.fna,2110968,1,1,GCF_001457635.1_NCTC7465_genomic.fna_prepare-split125N.fna,NCTC7465,NCTC7465,Streptococcus pneumoniae NCTC7465
GCF_001896045.1,PRJNA224116,SAMN05981365,,,na,,1313,1313,Streptococcus pneumoniae,strain=SP49,,latest,Complete Genome,Major,Full,2016/12/09,ASM189604v1,Helmholtz-Centre for Infection Research,GCA_001896045.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/896/045/GCF_001896045.1_ASM189604v1,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_001896045.1/GCF_001896045.1_ASM189604v1_genomic.fna.gz,STPN.0321.00002,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001896045.1_ASM189604v1_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001896045.1_ASM189604v1_genomic.fna_prepare-split125N.fna,2206644,1,1,GCF_001896045.1_ASM189604v1_genomic.fna_prepare-split125N.fna,ASM189604v1,SP49,Streptococcus pneumoniae SP49
GCF_001896065.1,PRJNA224116,SAMN06009945,,,na,,1313,1313,Streptococcus pneumoniae,strain=SP61,,latest,Complete Genome,Major,Full,2016/12/09,ASM189606v1,Helmholtz-Centre for Infection Research,GCA_001896065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/896/065/GCF_001896065.1_ASM189606v1,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_001896065.1/GCF_001896065.1_ASM189606v1_genomic.fna.gz,STPN.0321.00008,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001896065.1_ASM189606v1_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001896065.1_ASM189606v1_genomic.fna_prepare-split125N.fna,2071812,1,1,GCF_001896065.1_ASM189606v1_genomic.fna_prepare-split125N.fna,ASM189606v1,SP61,Streptococcus pneumoniae SP61
GCF_001896085.1,PRJNA224116,SAMN06009955,,,na,,1313,1313,Streptococcus pneumoniae,strain=SP64,,latest,Complete Genome,Major,Full,2016/12/09,ASM189608v1,Helmholtz-Centre for Infection Research,GCA_001896085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/896/085/GCF_001896085.1_ASM189608v1,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_001896085.1/GCF_001896085.1_ASM189608v1_genomic.fna.gz,STPN.0321.00016,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001896085.1_ASM189608v1_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001896085.1_ASM189608v1_genomic.fna_prepare-split125N.fna,2073113,1,1,GCF_001896085.1_ASM189608v1_genomic.fna_prepare-split125N.fna,ASM189608v1,SP64,Streptococcus pneumoniae SP64
GCF_001902455.1,PRJNA224116,SAMN06109026,,,na,,1313,1313,Streptococcus pneumoniae,strain=SWU02,,latest,Complete Genome,Major,Full,2016/12/13,ASM190245v1,Southwest Medical University,GCA_001902455.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/902/455/GCF_001902455.1_ASM190245v1,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_001902455.1/GCF_001902455.1_ASM190245v1_genomic.fna.gz,STPN.0321.00033,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001902455.1_ASM190245v1_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_001902455.1_ASM190245v1_genomic.fna_prepare-split125N.fna,2092148,1,1,GCF_001902455.1_ASM190245v1_genomic.fna_prepare-split125N.fna,ASM190245v1,SWU02,Streptococcus pneumoniae SWU02
GCF_002357995.1,PRJNA224116,SAMD00073590,,,na,,1313,1313,Streptococcus pneumoniae,strain=KK0981,,latest,Complete Genome,Major,Full,2017/01/24,ASM235799v1,"Department of Infectious Diseases, Keio University School of Medicine",GCA_002357995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/995/GCF_002357995.1_ASM235799v1,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_002357995.1/GCF_002357995.1_ASM235799v1_genomic.fna.gz,STPN.0321.00038,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_002357995.1_ASM235799v1_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_002357995.1_ASM235799v1_genomic.fna_prepare-split125N.fna,2148476,1,1,GCF_002357995.1_ASM235799v1_genomic.fna_prepare-split125N.fna,ASM235799v1,KK0981,Streptococcus pneumoniae KK0981
GCF_002813535.1,PRJNA224116,SAMN08105887,,,na,,1313,1313,Streptococcus pneumoniae,strain=BHN97x,,latest,Complete Genome,Major,Full,2017/12/07,ASM281353v1,St. Jude Children's Research Hospital,GCA_002813535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/535/GCF_002813535.1_ASM281353v1,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_002813535.1/GCF_002813535.1_ASM281353v1_genomic.fna.gz,STPN.0321.00036,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_002813535.1_ASM281353v1_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_002813535.1_ASM281353v1_genomic.fna_prepare-split125N.fna,2125517,1,1,GCF_002813535.1_ASM281353v1_genomic.fna_prepare-split125N.fna,ASM281353v1,BHN97x,Streptococcus pneumoniae BHN97x
GCF_002813955.1,PRJNA224116,SAMN06166933,,,na,,1313,1313,Streptococcus pneumoniae,strain=11A,,latest,Complete Genome,Major,Full,2017/12/07,ASM281395v1,Asia Pacific Foundation for Infectious Diseases,GCA_002813955.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/955/GCF_002813955.1_ASM281395v1,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_002813955.1/GCF_002813955.1_ASM281395v1_genomic.fna.gz,STPN.0321.00042,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_002813955.1_ASM281395v1_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_002813955.1_ASM281395v1_genomic.fna_prepare-split125N.fna,2079194,1,1,GCF_002813955.1_ASM281395v1_genomic.fna_prepare-split125N.fna,ASM281395v1,11A,Streptococcus pneumoniae 11A
GCF_002843545.1,PRJNA224116,SAMN08155818,,,na,,1313,1313,Streptococcus pneumoniae,strain=Xen35,,latest,Complete Genome,Major,Full,2017/12/17,ASM284354v1,University of Birmingham,GCA_002843545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/843/545/GCF_002843545.1_ASM284354v1,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_002843545.1/GCF_002843545.1_ASM284354v1_genomic.fna.gz,STPN.0321.00021,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_002843545.1_ASM284354v1_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_002843545.1_ASM284354v1_genomic.fna_prepare-split125N.fna,2168552,1,1,GCF_002843545.1_ASM284354v1_genomic.fna_prepare-split125N.fna,ASM284354v1,Xen35,Streptococcus pneumoniae Xen35
GCF_002947575.1,PRJNA224116,SAMN08501023,,,na,,1313,1313,Streptococcus pneumoniae,strain=endophthalmitis,335,latest,Complete Genome,Major,Full,2018/02/15,ASM294757v1,University of Mississippi Medical Center,GCA_002947575.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/947/575/GCF_002947575.1_ASM294757v1,./Streptococcus_pneumoniae/1-prepare_module/refseq/bacteria/GCF_002947575.1/GCF_002947575.1_ASM294757v1_genomic.fna.gz,STPN.0321.00040,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_002947575.1_ASM294757v1_genomic.fna_prepare-split125N.fna,Streptococcus_pneumoniae/1-prepare_module/tmp_files/GCF_002947575.1_ASM294757v1_genomic.fna_prepare-split125N.fna,2221315,1,1,GCF_002947575.1_ASM294757v1_genomic.fna_prepare-split125N.fna,ASM294757v1,endophthalmitis,Streptococcus pneumoniae endophthalmitis
