orig_name	to_annotate	gsize	nb_conts	L90
GCF_016653535.1_ASM1665353v1_genomic.fna	GCF_016653535.1_ASM1665353v1_genomic.fna_prepare-split125N.fna	2022487	182	19
GCF_001715565.2_ASM171556v2_genomic.fna	GCF_001715565.2_ASM171556v2_genomic.fna_prepare-split125N.fna	2031655	91	57
GCF_003367435.1_ASM336743v1_genomic.fna	GCF_003367435.1_ASM336743v1_genomic.fna_prepare-split125N.fna	2065695	30	12
GCF_900692555.1_11679_1_60-2_genomic.fna	GCF_900692555.1_11679_1_60-2_genomic.fna_prepare-split125N.fna	2067180	2	2
GCF_900692565.1_11657_2_72-2_genomic.fna	GCF_900692565.1_11657_2_72-2_genomic.fna_prepare-split125N.fna	2087799	3	3
GCF_900692575.1_11511_8_69-2_genomic.fna	GCF_900692575.1_11511_8_69-2_genomic.fna_prepare-split125N.fna	2090909	8	5
GCF_900692585.1_11511_7_57-2_genomic.fna	GCF_900692585.1_11511_7_57-2_genomic.fna_prepare-split125N.fna	2103162	2	2
GCF_900692595.1_11658_1_21-2_genomic.fna	GCF_900692595.1_11658_1_21-2_genomic.fna_prepare-split125N.fna	2053495	3	3
GCF_900692605.1_11658_1_82-2_genomic.fna	GCF_900692605.1_11658_1_82-2_genomic.fna_prepare-split125N.fna	2176179	3	3
GCF_900692615.1_11791_1_61-2_genomic.fna	GCF_900692615.1_11791_1_61-2_genomic.fna_prepare-split125N.fna	2129470	3	3
GCF_900692625.1_11822_1_54-2_genomic.fna	GCF_900692625.1_11822_1_54-2_genomic.fna_prepare-split125N.fna	1985465	3	3
GCF_900692635.1_11822_1_94-2_genomic.fna	GCF_900692635.1_11822_1_94-2_genomic.fna_prepare-split125N.fna	2104937	3	3
GCF_900692675.1_11822_1_89-2_genomic.fna	GCF_900692675.1_11822_1_89-2_genomic.fna_prepare-split125N.fna	2051418	2	2
GCF_900692685.1_12837_1_32-2_genomic.fna	GCF_900692685.1_12837_1_32-2_genomic.fna_prepare-split125N.fna	2061337	3	3
GCF_900692705.1_11826_1_9-2_genomic.fna	GCF_900692705.1_11826_1_9-2_genomic.fna_prepare-split125N.fna	2158897	3	2
GCF_900692715.1_12837_2_4-2_genomic.fna	GCF_900692715.1_12837_2_4-2_genomic.fna_prepare-split125N.fna	2047839	2	2
GCF_900692735.1_12837_5_65-2_genomic.fna	GCF_900692735.1_12837_5_65-2_genomic.fna_prepare-split125N.fna	2105226	2	2
GCF_900692755.1_12837_2_68-2_genomic.fna	GCF_900692755.1_12837_2_68-2_genomic.fna_prepare-split125N.fna	2051847	4	2
GCF_900692765.1_12837_2_61-2_genomic.fna	GCF_900692765.1_12837_2_61-2_genomic.fna_prepare-split125N.fna	2106620	4	2
GCF_900692785.1_12837_3_22-2_genomic.fna	GCF_900692785.1_12837_3_22-2_genomic.fna_prepare-split125N.fna	2098724	18	13
GCF_900692795.1_15277_1_47-2_genomic.fna	GCF_900692795.1_15277_1_47-2_genomic.fna_prepare-split125N.fna	2097622	2	2
GCF_900692835.1_17138_4_51-2_genomic.fna	GCF_900692835.1_17138_4_51-2_genomic.fna_prepare-split125N.fna	2102990	8	6
GCF_900692885.1_17138_4_75-2_genomic.fna	GCF_900692885.1_17138_4_75-2_genomic.fna_prepare-split125N.fna	2126335	14	9
GCF_900692895.1_17428_8_111-2_genomic.fna	GCF_900692895.1_17428_8_111-2_genomic.fna_prepare-split125N.fna	2106777	5	4
GCF_900692915.1_17794_7_16-2_genomic.fna	GCF_900692915.1_17794_7_16-2_genomic.fna_prepare-split125N.fna	2078920	5	3
GCF_900692925.1_17966_5_23-2_genomic.fna	GCF_900692925.1_17966_5_23-2_genomic.fna_prepare-split125N.fna	2081406	6	5
GCF_900692955.1_17794_7_121-2_genomic.fna	GCF_900692955.1_17794_7_121-2_genomic.fna_prepare-split125N.fna	2224291	10	8
GCF_900692965.1_17966_5_56-2_genomic.fna	GCF_900692965.1_17966_5_56-2_genomic.fna_prepare-split125N.fna	2101961	5	3
GCF_900692995.1_18090_1_92-2_genomic.fna	GCF_900692995.1_18090_1_92-2_genomic.fna_prepare-split125N.fna	2084949	14	6
GCF_900693035.1_19341_2_124-2_genomic.fna	GCF_900693035.1_19341_2_124-2_genomic.fna_prepare-split125N.fna	2152779	11	7
GCF_900693085.1_19084_7_109-2_genomic.fna	GCF_900693085.1_19084_7_109-2_genomic.fna_prepare-split125N.fna	2018698	7	3
GCF_900693115.1_19341_2_126-2_genomic.fna	GCF_900693115.1_19341_2_126-2_genomic.fna_prepare-split125N.fna	2121730	7	6
GCF_900795115.1_12837_2_11-5_genomic.fna	GCF_900795115.1_12837_2_11-5_genomic.fna_prepare-split125N.fna	2143563	2	2
GCF_900795145.1_13415_5_13-5_genomic.fna	GCF_900795145.1_13415_5_13-5_genomic.fna_prepare-split125N.fna	2128489	19	14
GCF_900795165.1_18090_1_90-5_genomic.fna	GCF_900795165.1_18090_1_90-5_genomic.fna_prepare-split125N.fna	2125120	8	5
GCF_900795245.1_19341_2_149-5_genomic.fna	GCF_900795245.1_19341_2_149-5_genomic.fna_prepare-split125N.fna	2021316	8	7
GCF_000494795.1_ASM49479v1_genomic.fna	GCF_000494795.1_ASM49479v1_genomic.fna_prepare-split125N.fna	2091570	3	3
