Genome,Length
YEPE.0221.00019,4529703
YEPE.0221.00017,4517345
YEPE.0221.00018,4569625
YEPE.0221.00027,4526841
YEPE.0221.00029,4467447
YEPE.0221.00021,4607325
YEPE.0221.00025,4503487
YEPE.0221.00006,4612708
YEPE.0221.00005,4501826
YEPE.0221.00026,4654228
YEPE.0221.00004,4644349
YEPE.0221.00013,4612618
YEPE.0221.00016,4504254
YEPE.0221.00054,4639390
YEPE.0221.00007,4604910
YEPE.0221.00046,4659507
YEPE.0221.00002,4610990
YEPE.0221.00035,4640720
YEPE.0221.00008,4636566
YEPE.0221.00024,4556329
YEPE.0221.00036,4625829
YEPE.0221.00030,4534590
YEPE.0221.00051,4491639
YEPE.0221.00033,4531804
YEPE.0221.00003,4499502
YEPE.0221.00032,4530125
YEPE.0221.00041,4629837
YEPE.0221.00014,4463069
YEPE.0221.00009,4617857
YEPE.0221.00044,4523033
YEPE.0221.00053,4635506
YEPE.0221.00047,4532063
YEPE.0221.00034,4607660
YEPE.0221.00037,4662886
YEPE.0221.00057,4595065
YEPE.0221.00040,4708493
YEPE.0221.00039,4501786
YEPE.0221.00049,4708024
YEPE.0221.00022,4553770
YEPE.0221.00038,4685402
YEPE.0221.00028,4523206
YEPE.0221.00042,4605437
YEPE.0221.00031,4528383
YEPE.0221.00043,4602429
YEPE.0221.00050,4553586
YEPE.0221.00055,4546217
YEPE.0221.00023,4524943
YEPE.0221.00056,4636496
YEPE.0221.00052,4596548
YEPE.0221.00058,4672675
YEPE.0221.00001,4616538
YEPE.0221.00045,4653728
YEPE.0221.00048,4702289
YEPE.0221.00010,4553687
YEPE.0221.00011,4555347
YEPE.0221.00012,4481558
YEPE.0221.00020,4519828
YEPE.0221.00015,4600755
