strain,character_state,character_state_annotation
PSAE.0521.00034,0,0 copies
PSAE.0521.00098,0,0 copies
PSAE.0521.00039,1,1 copies
PSAE.0521.00290,0,0 copies
PSAE.0521.00044,1,1 copies
PSAE.0521.00028,1,1 copies
PSAE.0521.00147,0,0 copies
PSAE.0521.00191,1,1 copies
PSAE.0521.00220,0,0 copies
PSAE.0521.00137,0,0 copies
PSAE.0521.00210,0,0 copies
PSAE.0521.00197,1,1 copies
PSAE.0521.00063,0,0 copies
PSAE.0521.00294,1,1 copies
PSAE.0521.00292,0,0 copies
PSAE.0521.00069,0,0 copies
PSAE.0521.00169,0,0 copies
PSAE.0521.00110,0,0 copies
PSAE.0521.00103,0,0 copies
PSAE.0521.00249,1,1 copies
PSAE.0521.00284,0,0 copies
PSAE.0521.00318,1,1 copies
PSAE.0521.00255,1,1 copies
PSAE.0521.00007,0,0 copies
PSAE.0521.00226,0,0 copies
PSAE.0521.00258,0,0 copies
PSAE.0521.00230,0,0 copies
PSAE.0521.00259,1,1 copies
PSAE.0521.00178,0,0 copies
PSAE.0521.00237,0,0 copies
PSAE.0521.00010,0,0 copies
PSAE.0521.00157,1,1 copies
PSAE.0521.00077,0,0 copies
PSAE.0521.00282,0,0 copies
PSAE.0521.00185,1,1 copies
PSAE.0521.00038,1,1 copies
PSAE.0521.00229,1,1 copies
PSAE.0521.00302,0,0 copies
PSAE.0521.00016,0,0 copies
PSAE.0521.00102,0,0 copies
PSAE.0521.00281,0,0 copies
PSAE.0521.00061,0,0 copies
PSAE.0521.00142,0,0 copies
PSAE.0521.00260,0,0 copies
PSAE.0521.00247,0,0 copies
PSAE.0521.00032,0,0 copies
PSAE.0521.00223,1,1 copies
PSAE.0521.00184,0,0 copies
PSAE.0521.00139,0,0 copies
PSAE.0521.00186,0,0 copies
PSAE.0521.00250,1,1 copies
PSAE.0521.00145,0,0 copies
PSAE.0521.00283,0,0 copies
PSAE.0521.00165,0,0 copies
PSAE.0521.00017,0,0 copies
PSAE.0521.00128,0,0 copies
PSAE.0521.00280,1,1 copies
PSAE.0521.00233,0,0 copies
PSAE.0521.00153,1,1 copies
PSAE.0521.00124,0,0 copies
PSAE.0521.00257,0,0 copies
PSAE.0521.00019,0,0 copies
PSAE.0521.00251,1,1 copies
PSAE.0521.00058,1,1 copies
PSAE.0521.00126,0,0 copies
PSAE.0521.00243,1,1 copies
PSAE.0521.00311,1,1 copies
PSAE.0521.00054,0,0 copies
PSAE.0521.00048,1,1 copies
PSAE.0521.00143,0,0 copies
PSAE.0521.00093,1,1 copies
PSAE.0521.00076,0,0 copies
PSAE.0521.00079,0,0 copies
PSAE.0521.00094,1,1 copies
PSAE.0521.00173,0,0 copies
PSAE.0521.00268,0,0 copies
PSAE.0521.00174,0,0 copies
PSAE.0521.00022,0,0 copies
PSAE.0521.00188,1,1 copies
PSAE.0521.00131,1,1 copies
PSAE.0521.00270,0,0 copies
PSAE.0521.00108,0,0 copies
PSAE.0521.00033,0,0 copies
PSAE.0521.00113,0,0 copies
PSAE.0521.00295,0,0 copies
PSAE.0521.00167,0,0 copies
PSAE.0521.00129,0,0 copies
PSAE.0521.00296,1,1 copies
PSAE.0521.00026,1,1 copies
PSAE.0521.00101,0,0 copies
PSAE.0521.00315,0,0 copies
PSAE.0521.00272,1,1 copies
PSAE.0521.00138,0,0 copies
PSAE.0521.00287,0,0 copies
PSAE.0521.00059,0,0 copies
PSAE.0521.00261,1,1 copies
PSAE.0521.00104,0,0 copies
PSAE.0521.00083,0,0 copies
PSAE.0521.00125,0,0 copies
PSAE.0521.00198,0,0 copies
PSAE.0521.00224,0,0 copies
PSAE.0521.00309,1,1 copies
PSAE.0521.00239,0,0 copies
PSAE.0521.00055,0,0 copies
PSAE.0521.00060,0,0 copies
PSAE.0521.00175,0,0 copies
PSAE.0521.00155,0,0 copies
PSAE.0521.00122,0,0 copies
PSAE.0521.00189,1,1 copies
PSAE.0521.00304,1,1 copies
PSAE.0521.00006,0,0 copies
PSAE.0521.00005,0,0 copies
PSAE.0521.00066,1,1 copies
PSAE.0521.00042,1,1 copies
PSAE.0521.00222,1,1 copies
PSAE.0521.00027,0,0 copies
PSAE.0521.00172,1,1 copies
PSAE.0521.00183,0,0 copies
PSAE.0521.00219,1,1 copies
PSAE.0521.00316,0,0 copies
PSAE.0521.00323,0,0 copies
PSAE.0521.00264,1,1 copies
PSAE.0521.00179,0,0 copies
PSAE.0521.00291,0,0 copies
PSAE.0521.00035,1,1 copies
PSAE.0521.00214,0,0 copies
PSAE.0521.00312,0,0 copies
PSAE.0521.00266,1,1 copies
PSAE.0521.00086,0,0 copies
PSAE.0521.00078,0,0 copies
PSAE.0521.00087,0,0 copies
PSAE.0521.00271,1,1 copies
PSAE.0521.00160,0,0 copies
PSAE.0521.00211,1,1 copies
PSAE.0521.00164,0,0 copies
PSAE.0521.00100,1,1 copies
PSAE.0521.00053,0,0 copies
PSAE.0521.00011,0,0 copies
PSAE.0521.00081,1,1 copies
PSAE.0521.00003,0,0 copies
PSAE.0521.00202,1,1 copies
PSAE.0521.00246,0,0 copies
PSAE.0521.00140,1,1 copies
PSAE.0521.00276,1,1 copies
PSAE.0521.00088,0,0 copies
PSAE.0521.00117,1,1 copies
PSAE.0521.00111,0,0 copies
PSAE.0521.00045,0,0 copies
PSAE.0521.00065,0,0 copies
PSAE.0521.00080,0,0 copies
PSAE.0521.00232,0,0 copies
PSAE.0521.00298,0,0 copies
PSAE.0521.00109,0,0 copies
PSAE.0521.00170,1,1 copies
PSAE.0521.00056,0,0 copies
PSAE.0521.00070,0,0 copies
PSAE.0521.00105,0,0 copies
PSAE.0521.00242,0,0 copies
PSAE.0521.00084,0,0 copies
PSAE.0521.00168,1,1 copies
PSAE.0521.00216,0,0 copies
PSAE.0521.00075,0,0 copies
PSAE.0521.00004,0,0 copies
PSAE.0521.00091,0,0 copies
PSAE.0521.00303,0,0 copies
PSAE.0521.00132,0,0 copies
PSAE.0521.00218,0,0 copies
PSAE.0521.00201,0,0 copies
PSAE.0521.00217,1,1 copies
PSAE.0521.00064,0,0 copies
PSAE.0521.00148,1,1 copies
PSAE.0521.00043,0,0 copies
PSAE.0521.00018,0,0 copies
PSAE.0521.00163,0,0 copies
PSAE.0521.00215,0,0 copies
PSAE.0521.00307,0,0 copies
PSAE.0521.00204,1,1 copies
PSAE.0521.00099,0,0 copies
PSAE.0521.00322,0,0 copies
PSAE.0521.00306,0,0 copies
PSAE.0521.00123,0,0 copies
PSAE.0521.00161,0,0 copies
PSAE.0521.00135,1,1 copies
PSAE.0521.00024,1,1 copies
PSAE.0521.00041,0,0 copies
PSAE.0521.00182,0,0 copies
PSAE.0521.00009,1,1 copies
PSAE.0521.00274,1,1 copies
PSAE.0521.00029,0,0 copies
PSAE.0521.00073,0,0 copies
PSAE.0521.00269,0,0 copies
PSAE.0521.00244,0,0 copies
PSAE.0521.00325,0,0 copies
PSAE.0521.00002,1,1 copies
PSAE.0521.00071,0,0 copies
PSAE.0521.00213,1,1 copies
PSAE.0521.00068,1,1 copies
PSAE.0521.00089,0,0 copies
PSAE.0521.00096,1,1 copies
PSAE.0521.00203,0,0 copies
PSAE.0521.00046,1,1 copies
PSAE.0521.00324,0,0 copies
