Genome,Length
LEPN.0521.00005,3412234
LEPN.0521.00004,3546234
LEPN.0521.00011,3515377
LEPN.0521.00003,3581477
LEPN.0521.00014,3471959
LEPN.0521.00022,3503573
LEPN.0521.00017,3487066
LEPN.0521.00008,3376636
LEPN.0521.00018,3498323
LEPN.0521.00010,3458914
LEPN.0521.00001,3661362
LEPN.0521.00019,3363033
LEPN.0521.00007,3458918
LEPN.0521.00006,3389966
LEPN.0521.00002,3460779
LEPN.0521.00009,3458918
LEPN.0521.00016,3611000
LEPN.0521.00015,3555279
LEPN.0521.00021,3461540
LEPN.0521.00012,3500943
LEPN.0521.00020,3548205
LEPN.0521.00013,3474810
