strain,character_state,character_state_annotation
BUMA.0721.00028,1,complex break of adjacency
BUMA.0721.00022,0,adjacency exists
BUMA.0721.00009,0,adjacency exists
BUMA.0721.00004,3,inversion between 54t-74t and 67t-59t
BUMA.0721.00003,2,some block is not presented
BUMA.0721.00016,0,adjacency exists
BUMA.0721.00030,2,some block is not presented
BUMA.0721.00020,0,adjacency exists
BUMA.0721.00006,0,adjacency exists
BUMA.0721.00013,0,adjacency exists
BUMA.0721.00031,0,adjacency exists
BUMA.0721.00023,0,adjacency exists
BUMA.0721.00005,3,inversion between 54t-74t and 67t-59t
BUMA.0721.00012,0,adjacency exists
BUMA.0721.00014,0,adjacency exists
BUMA.0721.00019,0,adjacency exists
BUMA.0721.00002,4,inversion between 54t-74t and 72t-59t
BUMA.0721.00021,0,adjacency exists
BUMA.0721.00017,0,adjacency exists
BUMA.0721.00015,0,adjacency exists
BUMA.0721.00032,0,adjacency exists
BUMA.0721.00026,2,some block is not presented
BUMA.0721.00007,5,inversion between 54t-74t and 58h-67h
BUMA.0721.00010,2,some block is not presented
BUMA.0721.00025,0,adjacency exists
BUMA.0721.00029,0,adjacency exists
BUMA.0721.00024,2,some block is not presented
BUMA.0721.00011,6,inversion between 54t-74t and 58t-67h
BUMA.0721.00027,0,adjacency exists
BUMA.0721.00001,0,adjacency exists
BUMA.0721.00008,7,inversion between 54t-74t and 53h-73h
BUMA.0721.00018,0,adjacency exists
