strain,character_state,character_state_annotation
STPY.0321.00180,1,1 copies
STPY.0321.00110,1,1 copies
STPY.0321.00201,1,1 copies
STPY.0321.00111,1,1 copies
STPY.0321.00214,1,1 copies
STPY.0321.00195,1,1 copies
STPY.0321.00028,1,1 copies
STPY.0321.00168,1,1 copies
STPY.0321.00029,1,1 copies
STPY.0321.00038,1,1 copies
STPY.0321.00171,1,1 copies
STPY.0321.00104,1,1 copies
STPY.0321.00188,1,1 copies
STPY.0321.00147,1,1 copies
STPY.0321.00209,1,1 copies
STPY.0321.00097,1,1 copies
STPY.0321.00163,1,1 copies
STPY.0321.00186,1,1 copies
STPY.0321.00026,1,1 copies
STPY.0321.00099,1,1 copies
STPY.0321.00080,1,1 copies
STPY.0321.00090,1,1 copies
STPY.0321.00213,1,1 copies
STPY.0321.00004,1,1 copies
STPY.0321.00131,1,1 copies
STPY.0321.00208,1,1 copies
STPY.0321.00157,1,1 copies
STPY.0321.00194,1,1 copies
STPY.0321.00115,2,2 copies
STPY.0321.00100,1,1 copies
STPY.0321.00177,1,1 copies
STPY.0321.00116,1,1 copies
STPY.0321.00117,1,1 copies
STPY.0321.00087,1,1 copies
STPY.0321.00218,1,1 copies
STPY.0321.00089,1,1 copies
STPY.0321.00036,1,1 copies
STPY.0321.00184,1,1 copies
STPY.0321.00101,1,1 copies
STPY.0321.00098,1,1 copies
STPY.0321.00034,1,1 copies
STPY.0321.00185,1,1 copies
STPY.0321.00035,1,1 copies
STPY.0321.00025,1,1 copies
STPY.0321.00088,1,1 copies
STPY.0321.00135,1,1 copies
STPY.0321.00105,1,1 copies
STPY.0321.00127,1,1 copies
STPY.0321.00149,1,1 copies
STPY.0321.00084,1,1 copies
STPY.0321.00161,1,1 copies
STPY.0321.00102,1,1 copies
