to_annotate	gsize	nb_conts	L90
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002355815.1_ASM235581v1_genomic.fna_prepare-split125N.fna	1741982	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000743015.1_ASM74301v1_genomic.fna_prepare-split125N.fna	1844804	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002355175.1_ASM235517v1_genomic.fna_prepare-split125N.fna	1893821	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000993765.1_ASM99376v1_genomic.fna_prepare-split125N.fna	1908294	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002557755.1_ASM255775v1_genomic.fna_prepare-split125N.fna	1852980	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000756485.1_ASM75648v1_genomic.fna_prepare-split125N.fna	1846477	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003609955.1_ASM360995v1_genomic.fna_prepare-split125N.fna	1900008	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001014305.1_ASM101430v1_genomic.fna_prepare-split125N.fna	1811968	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003352145.1_ASM335214v1_genomic.fna_prepare-split125N.fna	1869673	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000767505.1_ASM76750v1_genomic.fna_prepare-split125N.fna	1709790	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003640605.1_ASM364060v1_genomic.fna_prepare-split125N.fna	1903997	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000772185.1_ASM77218v1_genomic.fna_prepare-split125N.fna	1944537	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003698205.1_ASM369820v1_genomic.fna_prepare-split125N.fna	1866513	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001039695.1_emm89-1_genomic.fna_prepare-split125N.fna	1726248	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_000772245.1_ASM77224v1_genomic.fna_prepare-split125N.fna	1796152	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003812645.1_ASM381264v1_genomic.fna_prepare-split125N.fna	1837737	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001019635.1_ASM101963v1_genomic.fna_prepare-split125N.fna	1915554	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003814365.1_ASM381436v1_genomic.fna_prepare-split125N.fna	1903852	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001019675.1_ASM101967v1_genomic.fna_prepare-split125N.fna	1791306	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003814385.1_ASM381438v1_genomic.fna_prepare-split125N.fna	1903972	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001019695.1_ASM101969v1_genomic.fna_prepare-split125N.fna	1702054	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004010855.1_ASM401085v1_genomic.fna_prepare-split125N.fna	1853912	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001020185.2_ASM102018v2_genomic.fna_prepare-split125N.fna	1896976	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004010875.1_ASM401087v1_genomic.fna_prepare-split125N.fna	1851471	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001021955.1_ASM102195v1_genomic.fna_prepare-split125N.fna	1829516	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004028355.1_ASM402835v1_genomic.fna_prepare-split125N.fna	1914862	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001023495.1_ASM102349v1_genomic.fna_prepare-split125N.fna	1950454	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004123995.1_ASM412399v1_genomic.fna_prepare-split125N.fna	1882327	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001051095.1_ASM105109v1_genomic.fna_prepare-split125N.fna	1943415	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001267845.1_ASM126784v1_genomic.fna_prepare-split125N.fna	1791401	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004124075.1_ASM412407v1_genomic.fna_prepare-split125N.fna	1976011	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001535565.1_ASM153556v1_genomic.fna_prepare-split125N.fna	1878699	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004124115.1_ASM412411v1_genomic.fna_prepare-split125N.fna	1801696	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001547835.1_ASM154783v1_genomic.fna_prepare-split125N.fna	1744827	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004124135.1_ASM412413v1_genomic.fna_prepare-split125N.fna	1812036	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001267805.1_ASM126780v1_genomic.fna_prepare-split125N.fna	1950469	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004135875.1_ASM413587v1_genomic.fna_prepare-split125N.fna	1852894	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001559175.2_ASM155917v2_genomic.fna_prepare-split125N.fna	1839644	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004153945.1_ASM415394v1_genomic.fna_prepare-split125N.fna	1833822	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001620285.1_ASM162028v1_genomic.fna_prepare-split125N.fna	1860554	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004153965.1_ASM415396v1_genomic.fna_prepare-split125N.fna	1937069	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001635895.1_ASM163589v1_genomic.fna_prepare-split125N.fna	1786874	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004153985.1_ASM415398v1_genomic.fna_prepare-split125N.fna	1885126	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001635935.1_ASM163593v1_genomic.fna_prepare-split125N.fna	1709394	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154005.1_ASM415400v1_genomic.fna_prepare-split125N.fna	1962429	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001635975.1_ASM163597v1_genomic.fna_prepare-split125N.fna	1741348	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154025.1_ASM415402v1_genomic.fna_prepare-split125N.fna	1894040	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001638845.2_ASM163884v2_genomic.fna_prepare-split125N.fna	1765123	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154045.1_ASM415404v1_genomic.fna_prepare-split125N.fna	1940684	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001640945.2_ASM164094v2_genomic.fna_prepare-split125N.fna	1811936	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154065.1_ASM415406v1_genomic.fna_prepare-split125N.fna	1946265	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154125.1_ASM415412v1_genomic.fna_prepare-split125N.fna	1905059	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_001678885.1_ASM167888v1_genomic.fna_prepare-split125N.fna	1862487	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154105.1_ASM415410v1_genomic.fna_prepare-split125N.fna	1894087	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002163545.1_ASM216354v1_genomic.fna_prepare-split125N.fna	1890465	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154085.1_ASM415408v1_genomic.fna_prepare-split125N.fna	1853620	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002236855.1_ASM223685v1_genomic.fna_prepare-split125N.fna	1893171	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154165.1_ASM415416v1_genomic.fna_prepare-split125N.fna	1893263	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002238295.1_ASM223829v1_genomic.fna_prepare-split125N.fna	1846347	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005160445.1_ASM516044v1_genomic.fna_prepare-split125N.fna	1756622	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002236875.1_ASM223687v1_genomic.fna_prepare-split125N.fna	1890204	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154145.1_ASM415414v1_genomic.fna_prepare-split125N.fna	1851876	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002238315.1_ASM223831v1_genomic.fna_prepare-split125N.fna	1890354	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_002844355.1_ASM284435v1_genomic.fna_prepare-split125N.fna	1810283	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154185.1_ASM415418v1_genomic.fna_prepare-split125N.fna	1893041	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003025365.1_ASM302536v1_genomic.fna_prepare-split125N.fna	1939844	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_003203475.1_ASM320347v1_genomic.fna_prepare-split125N.fna	1790938	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154205.1_ASM415420v1_genomic.fna_prepare-split125N.fna	1851619	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154225.1_ASM415422v1_genomic.fna_prepare-split125N.fna	1893446	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154245.1_ASM415424v1_genomic.fna_prepare-split125N.fna	1842830	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154265.1_ASM415426v1_genomic.fna_prepare-split125N.fna	1892473	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154285.1_ASM415428v1_genomic.fna_prepare-split125N.fna	1851403	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154305.1_ASM415430v1_genomic.fna_prepare-split125N.fna	1853812	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154325.1_ASM415432v1_genomic.fna_prepare-split125N.fna	1839848	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154345.1_ASM415434v1_genomic.fna_prepare-split125N.fna	1837594	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154365.1_ASM415436v1_genomic.fna_prepare-split125N.fna	1880780	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154385.1_ASM415438v1_genomic.fna_prepare-split125N.fna	1907750	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004154405.1_ASM415440v1_genomic.fna_prepare-split125N.fna	1852263	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_004193935.1_ASM419393v1_genomic.fna_prepare-split125N.fna	1878827	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005160785.1_ASM516078v1_genomic.fna_prepare-split125N.fna	1816007	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005160565.1_ASM516056v1_genomic.fna_prepare-split125N.fna	1861037	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005161125.1_ASM516112v1_genomic.fna_prepare-split125N.fna	1800116	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005160925.1_ASM516092v1_genomic.fna_prepare-split125N.fna	1899479	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005161325.1_ASM516132v1_genomic.fna_prepare-split125N.fna	1779766	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005161465.1_ASM516146v1_genomic.fna_prepare-split125N.fna	1806521	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005161605.1_ASM516160v1_genomic.fna_prepare-split125N.fna	1950616	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005161825.1_ASM516182v1_genomic.fna_prepare-split125N.fna	1790668	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005161985.1_ASM516198v1_genomic.fna_prepare-split125N.fna	1888806	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005162245.1_ASM516224v1_genomic.fna_prepare-split125N.fna	1812090	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005162405.1_ASM516240v1_genomic.fna_prepare-split125N.fna	1825427	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005162565.1_ASM516256v1_genomic.fna_prepare-split125N.fna	1826467	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005162725.1_ASM516272v1_genomic.fna_prepare-split125N.fna	1701466	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005162865.1_ASM516286v1_genomic.fna_prepare-split125N.fna	1826832	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005163085.1_ASM516308v1_genomic.fna_prepare-split125N.fna	1768816	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005163245.1_ASM516324v1_genomic.fna_prepare-split125N.fna	1742565	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005163385.1_ASM516338v1_genomic.fna_prepare-split125N.fna	1788166	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005163565.1_ASM516356v1_genomic.fna_prepare-split125N.fna	1809631	1	1
Streptococcus_pyogenes/1-prepare_module/tmp_files/GCF_005163705.1_ASM516370v1_genomic.fna_prepare-split125N.fna	1789855	1	1
