strain,character_state,character_state_annotation
BUMA.0521.00009,2,2 copies
BUMA.0521.00002,1,1 copies
BUMA.0521.00026,2,2 copies
BUMA.0521.00006,0,0 copies
BUMA.0521.00013,2,2 copies
BUMA.0521.00011,0,0 copies
BUMA.0521.00001,0,0 copies
BUMA.0521.00007,0,0 copies
BUMA.0521.00021,2,2 copies
BUMA.0521.00031,0,0 copies
BUMA.0521.00024,2,2 copies
BUMA.0521.00019,2,2 copies
BUMA.0521.00008,0,0 copies
BUMA.0521.00032,0,0 copies
BUMA.0521.00023,3,3 copies
BUMA.0521.00018,0,0 copies
BUMA.0521.00004,1,1 copies
BUMA.0521.00020,2,2 copies
BUMA.0521.00015,2,2 copies
BUMA.0521.00028,0,0 copies
BUMA.0521.00017,0,0 copies
BUMA.0521.00016,2,2 copies
BUMA.0521.00027,2,2 copies
BUMA.0521.00010,0,0 copies
BUMA.0521.00012,0,0 copies
BUMA.0521.00014,2,2 copies
BUMA.0521.00003,1,1 copies
BUMA.0521.00025,0,0 copies
BUMA.0521.00005,0,0 copies
BUMA.0521.00022,2,2 copies
BUMA.0521.00029,0,0 copies
BUMA.0521.00030,0,0 copies
