strain,character_state,character_state_annotation
CP008998,0,0 copies
CP020885,1,1 copies
CP009016,0,0 copies
CP008989,0,0 copies
CP008992,0,0 copies
CP003778,1,1 copies
CP009001,0,0 copies
CP009004,0,0 copies
AE008923,0,0 copies
CP009028,0,0 copies
CP006857,0,0 copies
CP023285,0,0 copies
CP020889,1,1 copies
CP009010,0,0 copies
CP009007,0,0 copies
CP009040,1,1 copies
CP009019,0,0 copies
CP009037,1,1 copies
CP008995,0,0 copies
CP018850,0,0 copies
CP018847,0,0 copies
CP020882,1,1 copies
CP009025,0,0 copies
CP009031,1,1 copies
CM007622,0,0 copies
LN606820,0,0 copies
CP018854,0,0 copies
CP009034,1,1 copies
LN590509,1,1 copies
CP011827,0,0 copies
CP009022,0,0 copies
CM007619,0,0 copies
CP018858,0,0 copies
CP009013,0,0 copies
