id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,7h–8t,2,0,0,0,0,1,True
2,57h–62t,101746,0,0,0,0,1,True
3,56h–57t,21013,0,0,0,0,1,True
4,39h–40t,16029,0,0,0,0,1,True
5,19h–20t,653,0,0,0,0,1,True
6,166h–167t,557,0,0,0,0,0,True
7,165h–166t,7863,0,0,0,0,0,True
8,15h–16t,10037,0,0,0,0,1,True
9,14h–15t,1,0,0,0,0,1,True
10,149h–150t,25699,0,0,0,0,1,True
11,140t–197h,2252,0,0,0,0,0,True
12,139h–197t,1435,0,0,0,0,0,True
13,135h–136t,199,0,0,0,0,1,True
14,130h–132t,57661,0,0,0,0,1,True
15,117h–118t,71804,0,0,0,0,1,True
16,116h–117t,3487,0,0,0,0,0,True
17,111h–112t,908,0,0,0,0,0,True
18,10t–8h,57300,0,0,0,0,1,True
