Seq_id	Size	Description
1	5213091	NZ_CP009697.1
2	5229969	NZ_CP009328.1
3	5228731	NZ_CP009315.1
4	5209705	NZ_AP019731.1
5	5228065	NZ_AP014833.1
6	5227419	NZ_CP047098.1
7	5221627	NZ_CP009325.1
8	5228667	NZ_CP019588.1
9	5214671	NZ_CP009544.1
10	5228660	NZ_CP012730.1
11	5227094	NZ_CP012724.1
12	5228730	NZ_CP009331.1
13	5228687	NZ_CP009598.1
14	5227419	NC_012659.1
15	5227452	NZ_CP047107.1
16	5227565	NZ_CP018903.1
17	5227090	NZ_CP012727.1
18	5213520	NZ_CP047131.1
19	5226939	NZ_CP014179.1
20	5227448	NZ_CP009981.1
21	5245242	NZ_CP023001.1
22	5228657	NZ_CP012721.1
23	5200187	NZ_CP010852.1
24	5231857	NZ_CP031642.1
25	5230114	NC_012581.1
26	5228599	NZ_CP029805.1
27	5229188	NZ_CP010322.1
28	5291783	NZ_CP031643.1
29	5227450	NZ_CP047111.1
30	5236981	NZ_CP007618.1
31	5228842	NZ_CP001970.2
32	5210966	NZ_CP006742.1
33	5321900	NZ_CP009902.1
34	5228828	NZ_CP001974.2
35	5228806	NZ_CP022044.1
36	5225433	NZ_CP008854.1
37	5230088	NZ_CP009464.1
38	5225746	NZ_CP047097.1
39	5229464	NZ_CP007666.1
40	5213498	NZ_CP008846.1
41	5222128	NZ_CP009341.1
42	5227079	NZ_CP012728.1
43	5227292	NZ_CP015779.1
44	5219278	NZ_AP018443.1
45	5227091	NZ_CP012725.1
46	5227092	NZ_CP012729.1
47	5227419	NC_007530.2
48	5227419	NZ_CP047099.1
49	5210541	NZ_CP009700.1
50	5227683	NZ_CP001974.1
51	5218947	NC_017729.1
52	5228656	NZ_CP012720.1
53	5227060	NZ_CP012726.1
54	5227293	NC_003997.3
55	5227496	NZ_CP009541.1
56	5228656	NZ_CP012723.1
57	5213292	NZ_CP029323.1
58	5227170	NZ_CP008853.1
59	5200078	NZ_CP009476.1
60	5228658	NZ_CP012722.1
61	5228663	NC_005945.1
62	5227438	NZ_CP047104.1
63	5227898	NZ_CP001970.1
--------------------------------------------------------------------------------
Block #214
Seq_id	Strand	Start	End	Length
33	+	254289	277059	22770
33	+	295006	317781	22775
--------------------------------------------------------------------------------
Block #213
Seq_id	Strand	Start	End	Length
24	+	2528235	2533744	5509
33	-	250996	245501	5495
33	-	291713	286225	5488
--------------------------------------------------------------------------------
Block #212
Seq_id	Strand	Start	End	Length
24	+	2517793	2523716	5923
28	+	1999742	2005664	5922
--------------------------------------------------------------------------------
Block #211
Seq_id	Strand	Start	End	Length
1	+	5196996	5211923	14927
2	+	783463	798392	14929
3	+	3795576	3810506	14930
4	+	888128	903055	14927
5	-	3479095	3464165	14930
6	-	401162	386232	14930
7	-	3221710	3206780	14930
8	+	1990787	2005717	14930
9	-	2884478	2869548	14930
10	+	1990785	2005715	14930
11	+	1990784	2005714	14930
12	-	4686107	4671177	14930
13	-	2873614	2858684	14930
14	+	1990740	2005670	14930
15	-	4996397	4981467	14930
16	+	1990879	2005807	14928
17	+	1990783	2005713	14930
18	+	1977596	1992524	14928
19	+	1990840	2005770	14930
20	-	2500729	2485799	14930
21	+	4983868	4998798	14930
22	+	1990784	2005714	14930
23	+	2245033	2259963	14930
24	+	2019946	2034208	14262
25	-	2248406	2233477	14929
26	+	1990843	2005773	14930
27	+	4936398	4951328	14930
28	+	2046052	2060967	14915
29	-	882197	867267	14930
30	-	2031260	2016332	14928
31	+	1990906	2005836	14930
32	+	1977509	1992436	14927
33	-	5102012	5087084	14928
34	+	1990880	2005810	14930
35	+	4791074	4806004	14930
36	+	1989959	2004887	14928
37	-	4335103	4320174	14929
38	+	1140925	1155855	14930
39	+	863427	878356	14929
40	+	1977583	1992510	14927
41	+	4518240	4533170	14930
42	+	1990783	2005713	14930
43	+	1990772	2005702	14930
44	+	1981364	1996294	14930
45	+	1990784	2005714	14930
46	+	1990783	2005713	14930
47	+	1990840	2005770	14930
48	+	2368343	2383273	14930
49	-	385754	370827	14927
50	+	1990323	2005252	14929
51	+	1981124	1996052	14928
52	+	1990784	2005714	14930
53	+	1990782	2005712	14930
54	+	1990716	2005646	14930
55	-	635236	620306	14930
56	+	1990784	2005714	14930
57	+	1977923	1992851	14928
58	+	1990230	2005157	14927
59	-	769641	754711	14930
60	+	1990784	2005714	14930
61	+	1990786	2005716	14930
62	+	4976937	4991867	14930
63	+	1990717	2005647	14930
--------------------------------------------------------------------------------
Block #210
Seq_id	Strand	Start	End	Length
1	+	5187858	5194328	6470
2	+	774340	780795	6455
3	+	3786438	3792908	6470
4	+	878990	885460	6470
5	-	3488234	3481764	6470
6	-	410301	403831	6470
7	-	3230848	3224378	6470
8	+	1981648	1988118	6470
9	-	2893616	2887146	6470
10	+	1981646	1988116	6470
11	+	1981645	1988115	6470
12	-	4695245	4688775	6470
13	-	2882752	2876282	6470
14	+	1981601	1988071	6470
15	-	5005536	4999066	6470
16	+	1981741	1988211	6470
17	+	1981644	1988114	6470
18	+	1968458	1974928	6470
19	+	1981701	1988171	6470
20	-	2509868	2503398	6470
21	+	4974729	4981199	6470
22	+	1981645	1988115	6470
23	+	2235895	2242365	6470
24	+	2013314	2019778	6464
25	-	2257544	2251074	6470
26	+	1981705	1988175	6470
27	+	4927260	4933730	6470
28	+	2039420	2045890	6470
29	-	891336	884866	6470
30	-	2040390	2033920	6470
31	+	1981767	1988237	6470
32	+	1968371	1974841	6470
33	-	5111142	5104672	6470
34	+	1981741	1988211	6470
35	+	4781935	4788405	6470
36	+	1980820	1987289	6469
37	-	4344241	4337771	6470
38	+	1131786	1138256	6470
39	+	854289	860759	6470
40	+	1968445	1974915	6470
41	+	4509102	4515572	6470
42	+	1981644	1988114	6470
43	+	1981633	1988103	6470
44	+	1972226	1978696	6470
45	+	1981645	1988115	6470
46	+	1981644	1988114	6470
47	+	1981701	1988171	6470
48	+	2359204	2365674	6470
49	-	394892	388422	6470
50	+	1981184	1987654	6470
51	+	1971986	1978456	6470
52	+	1981645	1988115	6470
53	+	1981643	1988113	6470
54	+	1981577	1988047	6470
55	-	644375	637905	6470
56	+	1981645	1988115	6470
57	+	1968785	1975255	6470
58	+	1981092	1987562	6470
59	-	778797	772327	6470
60	+	1981645	1988115	6470
61	+	1981647	1988117	6470
62	+	4967798	4974268	6470
63	+	1981578	1988048	6470
--------------------------------------------------------------------------------
Block #209
Seq_id	Strand	Start	End	Length
1	+	5165684	5175828	10144
2	+	752183	762327	10144
3	+	3764263	3774407	10144
4	+	856816	866960	10144
5	-	3510408	3500264	10144
6	-	432475	422331	10144
7	-	3253022	3242879	10143
8	+	1959473	1969618	10145
9	-	2915792	2905647	10145
10	+	1959471	1969616	10145
11	+	1959470	1969615	10145
12	-	4717420	4707276	10144
13	-	2904928	2894783	10145
14	+	1959427	1969571	10144
15	-	5027710	5017566	10144
16	+	1959566	1969710	10144
17	+	1959469	1969614	10145
18	+	1946283	1956427	10144
19	+	1959527	1969671	10144
20	-	2532042	2521898	10144
21	+	4952555	4962699	10144
22	+	1959470	1969615	10145
23	+	2213720	2223864	10144
24	+	1989517	2000107	10590
25	-	2279699	2269557	10142
26	+	1959530	1969674	10144
27	+	4905085	4915229	10144
28	+	1971691	1982213	10522
29	-	913510	903366	10144
30	-	2062637	2052493	10144
31	+	1959593	1969737	10144
32	+	1946196	1956340	10144
33	-	5133389	5123245	10144
34	+	1959567	1969711	10144
35	+	4759760	4769905	10145
36	+	1958645	1968789	10144
37	-	4366398	4356254	10144
38	+	1109612	1119756	10144
39	+	832132	842276	10144
40	+	1946270	1956414	10144
41	+	4486926	4497071	10145
42	+	1959469	1969614	10145
43	+	1959459	1969603	10144
44	+	1950445	1960460	10015
45	+	1959470	1969615	10145
46	+	1959469	1969614	10145
47	+	1959527	1969671	10144
48	+	2337030	2347174	10144
49	-	417067	406923	10144
50	+	1959008	1969153	10145
51	+	1949811	1959955	10144
52	+	1959470	1969615	10145
53	+	1959468	1969613	10145
54	+	1959403	1969547	10144
55	-	666550	656405	10145
56	+	1959470	1969615	10145
57	+	1946610	1956754	10144
58	+	1959046	1969061	10015
59	-	800492	790828	9664
60	+	1959470	1969615	10145
61	+	1959471	1969617	10146
62	+	4945624	4955768	10144
63	+	1959403	1969547	10144
--------------------------------------------------------------------------------
Block #208
Seq_id	Strand	Start	End	Length
1	+	5151008	5163909	12901
2	+	737507	750408	12901
3	+	3749587	3762488	12901
4	+	842140	855041	12901
5	-	3525084	3512182	12902
6	-	447151	434249	12902
7	-	3267698	3254796	12902
8	+	1944797	1957698	12901
9	-	2930468	2917566	12902
10	+	1944795	1957696	12901
11	+	1944794	1957695	12901
12	-	4732096	4719194	12902
13	-	2919604	2906702	12902
14	+	1944751	1957652	12901
15	-	5042386	5029484	12902
16	+	1944890	1957791	12901
17	+	1944793	1957694	12901
18	+	1931607	1944508	12901
19	+	1944851	1957752	12901
20	-	2546718	2533816	12902
21	+	4937879	4950780	12901
22	+	1944794	1957695	12901
23	+	2199044	2211945	12901
24	+	1971938	1984885	12947
25	-	2294375	2281473	12902
26	+	1944854	1957755	12901
27	+	4890410	4903310	12900
28	+	1954029	1966960	12931
29	-	928186	915284	12902
30	-	2077325	2064423	12902
31	+	1944917	1957818	12901
32	+	1931520	1944421	12901
33	-	5148077	5135175	12902
34	+	1944891	1957792	12901
35	+	4745084	4757985	12901
36	+	1943969	1956870	12901
37	-	4381074	4368172	12902
38	+	1094936	1107837	12901
39	+	817456	830357	12901
40	+	1931594	1944495	12901
41	+	4472250	4485151	12901
42	+	1944793	1957694	12901
43	+	1944783	1957684	12901
44	+	1935769	1948670	12901
45	+	1944794	1957695	12901
46	+	1944793	1957694	12901
47	+	1944851	1957752	12901
48	+	2322354	2335255	12901
49	-	431743	418841	12902
50	+	1944333	1957233	12900
51	+	1935135	1948036	12901
52	+	1944794	1957695	12901
53	+	1944792	1957693	12901
54	+	1944727	1957628	12901
55	-	681226	668324	12902
56	+	1944794	1957695	12901
57	+	1931934	1944835	12901
58	+	1944369	1957271	12902
59	-	815168	802266	12902
60	+	1944794	1957695	12901
61	+	1944795	1957696	12901
62	+	4930948	4943849	12901
63	+	1944727	1957628	12901
--------------------------------------------------------------------------------
Block #207
Seq_id	Strand	Start	End	Length
1	+	5143159	5150953	7794
2	+	729658	737452	7794
3	+	3741738	3749532	7794
4	+	834291	842085	7794
5	-	3532933	3525139	7794
6	-	455000	447206	7794
7	-	3275547	3267753	7794
8	+	1936948	1944742	7794
9	-	2938317	2930523	7794
10	+	1936946	1944740	7794
11	+	1936945	1944739	7794
12	-	4739945	4732151	7794
13	-	2927453	2919659	7794
14	+	1936902	1944696	7794
15	-	5050235	5042441	7794
16	+	1937041	1944835	7794
17	+	1936944	1944738	7794
18	+	1923758	1931552	7794
19	+	1937002	1944796	7794
20	-	2554567	2546773	7794
21	+	4930030	4937824	7794
22	+	1936945	1944739	7794
23	+	2191195	2198989	7794
24	+	1953526	1961292	7766
25	-	2302224	2294430	7794
26	+	1937005	1944799	7794
27	+	4882561	4890355	7794
28	+	1935597	1943391	7794
29	-	936035	928241	7794
30	-	2085174	2077380	7794
31	+	1937068	1944862	7794
32	+	1923671	1931465	7794
33	-	5155926	5148132	7794
34	+	1937042	1944836	7794
35	+	4737235	4745029	7794
36	+	1936120	1943914	7794
37	-	4388923	4381129	7794
38	+	1087087	1094881	7794
39	+	809607	817401	7794
40	+	1923745	1931539	7794
41	+	4464434	4472195	7761
42	+	1936944	1944738	7794
43	+	1936934	1944728	7794
44	+	1927920	1935714	7794
45	+	1936945	1944739	7794
46	+	1936944	1944738	7794
47	+	1937002	1944796	7794
48	+	2314505	2322299	7794
49	-	439591	431798	7793
50	+	1936484	1944278	7794
51	+	1927286	1935080	7794
52	+	1936945	1944739	7794
53	+	1936943	1944737	7794
54	+	1936878	1944672	7794
55	-	689075	681281	7794
56	+	1936945	1944739	7794
57	+	1924085	1931879	7794
58	+	1936520	1944314	7794
59	-	823017	815223	7794
60	+	1936945	1944739	7794
61	+	1936946	1944740	7794
62	+	4923099	4930893	7794
63	+	1936878	1944672	7794
--------------------------------------------------------------------------------
Block #206
Seq_id	Strand	Start	End	Length
1	+	5133878	5142691	8813
2	+	720374	729190	8816
3	+	3732454	3741270	8816
4	+	825009	833823	8814
5	-	3542217	3533401	8816
6	-	464284	455468	8816
7	-	3284831	3276015	8816
8	+	1927664	1936480	8816
9	-	2947602	2938785	8817
10	+	1927662	1936478	8816
11	+	1927661	1936477	8816
12	-	4749229	4740413	8816
13	-	2936738	2927921	8817
14	+	1927618	1936434	8816
15	-	5059519	5050703	8816
16	+	1927759	1936573	8814
17	+	1927660	1936476	8816
18	+	1914476	1923290	8814
19	+	1927718	1936534	8816
20	-	2563851	2555035	8816
