strain,character_state,character_state_annotation
LIMO.0521.00027,1,1 copies
LIMO.0521.00125,1,1 copies
LIMO.0521.00036,1,1 copies
LIMO.0521.00086,1,1 copies
LIMO.0521.00196,1,1 copies
LIMO.0521.00244,1,1 copies
LIMO.0521.00122,1,1 copies
LIMO.0521.00168,1,1 copies
LIMO.0521.00213,1,1 copies
LIMO.0521.00053,1,1 copies
LIMO.0521.00233,1,1 copies
LIMO.0521.00159,1,1 copies
LIMO.0521.00137,1,1 copies
LIMO.0521.00124,1,1 copies
LIMO.0521.00217,1,1 copies
LIMO.0521.00076,1,1 copies
LIMO.0521.00212,1,1 copies
LIMO.0521.00104,1,1 copies
LIMO.0521.00054,1,1 copies
LIMO.0521.00082,1,1 copies
LIMO.0521.00259,1,1 copies
LIMO.0521.00068,1,1 copies
LIMO.0521.00240,1,1 copies
LIMO.0521.00184,1,1 copies
LIMO.0521.00255,1,1 copies
LIMO.0521.00179,1,1 copies
LIMO.0521.00130,1,1 copies
LIMO.0521.00129,1,1 copies
LIMO.0521.00248,1,1 copies
LIMO.0521.00029,1,1 copies
LIMO.0521.00092,1,1 copies
LIMO.0521.00250,1,1 copies
LIMO.0521.00154,0,0 copies
LIMO.0521.00207,1,1 copies
LIMO.0521.00045,1,1 copies
LIMO.0521.00005,1,1 copies
LIMO.0521.00238,1,1 copies
LIMO.0521.00077,1,1 copies
LIMO.0521.00015,1,1 copies
LIMO.0521.00061,1,1 copies
LIMO.0521.00057,1,1 copies
LIMO.0521.00231,1,1 copies
LIMO.0521.00235,1,1 copies
LIMO.0521.00195,1,1 copies
LIMO.0521.00247,1,1 copies
LIMO.0521.00006,1,1 copies
LIMO.0521.00059,1,1 copies
LIMO.0521.00002,1,1 copies
LIMO.0521.00181,1,1 copies
LIMO.0521.00072,1,1 copies
LIMO.0521.00044,1,1 copies
LIMO.0521.00075,1,1 copies
LIMO.0521.00186,1,1 copies
LIMO.0521.00215,1,1 copies
LIMO.0521.00007,1,1 copies
LIMO.0521.00116,1,1 copies
LIMO.0521.00110,1,1 copies
LIMO.0521.00222,1,1 copies
LIMO.0521.00208,1,1 copies
LIMO.0521.00241,1,1 copies
LIMO.0521.00091,1,1 copies
LIMO.0521.00134,1,1 copies
LIMO.0521.00133,1,1 copies
LIMO.0521.00223,1,1 copies
LIMO.0521.00021,1,1 copies
LIMO.0521.00165,1,1 copies
LIMO.0521.00084,1,1 copies
LIMO.0521.00152,1,1 copies
LIMO.0521.00109,1,1 copies
LIMO.0521.00209,1,1 copies
LIMO.0521.00051,1,1 copies
LIMO.0521.00164,1,1 copies
LIMO.0521.00081,1,1 copies
LIMO.0521.00150,1,1 copies
LIMO.0521.00148,1,1 copies
LIMO.0521.00135,1,1 copies
LIMO.0521.00042,1,1 copies
LIMO.0521.00056,1,1 copies
LIMO.0521.00070,1,1 copies
LIMO.0521.00032,1,1 copies
LIMO.0521.00120,1,1 copies
LIMO.0521.00155,1,1 copies
LIMO.0521.00206,1,1 copies
LIMO.0521.00026,1,1 copies
LIMO.0521.00111,0,0 copies
LIMO.0521.00074,1,1 copies
LIMO.0521.00050,1,1 copies
LIMO.0521.00098,1,1 copies
LIMO.0521.00102,1,1 copies
LIMO.0521.00114,0,0 copies
LIMO.0521.00115,1,1 copies
LIMO.0521.00242,1,1 copies
LIMO.0521.00153,0,0 copies
LIMO.0521.00163,1,1 copies
LIMO.0521.00180,1,1 copies
LIMO.0521.00139,1,1 copies
LIMO.0521.00063,1,1 copies
LIMO.0521.00038,0,0 copies
LIMO.0521.00080,1,1 copies
LIMO.0521.00170,1,1 copies
LIMO.0521.00252,1,1 copies
LIMO.0521.00101,0,0 copies
LIMO.0521.00065,1,1 copies
LIMO.0521.00147,1,1 copies
LIMO.0521.00033,1,1 copies
LIMO.0521.00136,1,1 copies
LIMO.0521.00145,1,1 copies
LIMO.0521.00024,1,1 copies
LIMO.0521.00258,1,1 copies
LIMO.0521.00071,1,1 copies
LIMO.0521.00123,1,1 copies
LIMO.0521.00018,1,1 copies
LIMO.0521.00001,1,1 copies
LIMO.0521.00016,1,1 copies
LIMO.0521.00099,1,1 copies
LIMO.0521.00187,1,1 copies
LIMO.0521.00108,1,1 copies
LIMO.0521.00200,1,1 copies
LIMO.0521.00011,1,1 copies
LIMO.0521.00149,1,1 copies
LIMO.0521.00160,1,1 copies
LIMO.0521.00118,1,1 copies
LIMO.0521.00190,1,1 copies
LIMO.0521.00174,1,1 copies
LIMO.0521.00010,1,1 copies
LIMO.0521.00067,1,1 copies
LIMO.0521.00199,1,1 copies
LIMO.0521.00017,1,1 copies
LIMO.0521.00043,1,1 copies
LIMO.0521.00105,1,1 copies
LIMO.0521.00239,1,1 copies
LIMO.0521.00094,1,1 copies
LIMO.0521.00090,1,1 copies
LIMO.0521.00216,1,1 copies
LIMO.0521.00035,1,1 copies
LIMO.0521.00103,1,1 copies
LIMO.0521.00060,1,1 copies
LIMO.0521.00030,1,1 copies
LIMO.0521.00205,1,1 copies
LIMO.0521.00214,1,1 copies
LIMO.0521.00066,1,1 copies
LIMO.0521.00198,1,1 copies
LIMO.0521.00171,1,1 copies
LIMO.0521.00121,1,1 copies
LIMO.0521.00227,1,1 copies
LIMO.0521.00034,1,1 copies
LIMO.0521.00022,1,1 copies
LIMO.0521.00211,1,1 copies
LIMO.0521.00055,0,0 copies
LIMO.0521.00085,1,1 copies
LIMO.0521.00025,1,1 copies
LIMO.0521.00185,1,1 copies
LIMO.0521.00169,0,0 copies
LIMO.0521.00052,1,1 copies
LIMO.0521.00204,1,1 copies
LIMO.0521.00019,1,1 copies
LIMO.0521.00178,1,1 copies
LIMO.0521.00228,1,1 copies
LIMO.0521.00193,1,1 copies
LIMO.0521.00113,1,1 copies
LIMO.0521.00230,1,1 copies
