Genome,Length
PSAE.0521.00273,6818030
PSAE.0521.00118,6902135
PSAE.0521.00121,6382037
PSAE.0521.00116,6241875
PSAE.0521.00092,6810079
PSAE.0521.00102,7030474
PSAE.0521.00094,7106814
PSAE.0521.00096,6940946
PSAE.0521.00097,6546467
PSAE.0521.00152,6543861
PSAE.0521.00154,6924317
PSAE.0521.00145,6299465
PSAE.0521.00144,6737352
PSAE.0521.00161,6546693
PSAE.0521.00160,6780777
PSAE.0521.00132,6514207
PSAE.0521.00124,6373138
PSAE.0521.00143,7344079
PSAE.0521.00141,7190208
PSAE.0521.00134,6382152
PSAE.0521.00026,6928736
PSAE.0521.00025,6322409
PSAE.0521.00023,6795741
PSAE.0521.00039,6334378
PSAE.0521.00033,6504659
PSAE.0521.00007,6934277
PSAE.0521.00005,6850954
PSAE.0521.00004,6833183
PSAE.0521.00020,6276434
PSAE.0521.00127,6263671
PSAE.0521.00014,6814936
PSAE.0521.00064,6943220
PSAE.0521.00063,6952237
PSAE.0521.00008,7497571
PSAE.0521.00078,6886080
PSAE.0521.00024,6721480
PSAE.0521.00082,7267565
PSAE.0521.00071,6752906
PSAE.0521.00069,6526814
PSAE.0521.00070,6638559
PSAE.0521.00158,6266737
PSAE.0521.00076,6822666
PSAE.0521.00075,7162776
PSAE.0521.00003,6897018
PSAE.0521.00074,6746948
PSAE.0521.00048,6364583
PSAE.0521.00043,6836406
PSAE.0521.00050,6794270
PSAE.0521.00267,6498072
PSAE.0521.00269,6421010
PSAE.0521.00262,6719211
PSAE.0521.00281,7055752
PSAE.0521.00282,6580038
PSAE.0521.00272,6265484
PSAE.0521.00242,6765311
PSAE.0521.00251,6264404
PSAE.0521.00252,6217899
PSAE.0521.00319,6909254
PSAE.0521.00138,7012798
PSAE.0521.00060,7050510
PSAE.0521.00246,6479881
PSAE.0521.00318,6893865
PSAE.0521.00021,6431871
PSAE.0521.00322,7139453
PSAE.0521.00061,7411863
PSAE.0521.00292,6434352
PSAE.0521.00288,7018690
PSAE.0521.00287,6641902
PSAE.0521.00306,6449272
PSAE.0521.00258,6283264
PSAE.0521.00305,6427888
PSAE.0521.00303,6756154
PSAE.0521.00309,6573638
PSAE.0521.00307,6926363
PSAE.0521.00308,6782092
PSAE.0521.00297,6879591
PSAE.0521.00271,6262205
PSAE.0521.00301,6539854
PSAE.0521.00119,6819114
PSAE.0521.00037,7273258
PSAE.0521.00189,6264434
PSAE.0521.00149,6288195
PSAE.0521.00191,6264423
PSAE.0521.00188,6264419
PSAE.0521.00186,7157752
PSAE.0521.00170,6522476
PSAE.0521.00182,7056430
PSAE.0521.00171,6930600
PSAE.0521.00183,7153211
PSAE.0521.00296,6868832
PSAE.0521.00180,7046351
PSAE.0521.00176,6496101
PSAE.0521.00178,7122984
PSAE.0521.00228,6276469
PSAE.0521.00192,6264554
PSAE.0521.00231,6493562
PSAE.0521.00235,6931425
PSAE.0521.00274,6591121
PSAE.0521.00112,6258491
PSAE.0521.00283,6725183
PSAE.0521.00277,6509070
PSAE.0521.00232,6451458
PSAE.0521.00179,6866106
PSAE.0521.00031,6723378
PSAE.0521.00280,6467914
PSAE.0521.00087,6799785
PSAE.0521.00320,7207057
PSAE.0521.00285,6430493
PSAE.0521.00254,6492423
PSAE.0521.00279,6543350
PSAE.0521.00257,6327754
PSAE.0521.00256,6902967
PSAE.0521.00317,6823040
PSAE.0521.00174,6557595
PSAE.0521.00163,6414921
PSAE.0521.00072,6645227
PSAE.0521.00290,6816223
PSAE.0521.00151,6815655
PSAE.0521.00312,6797918
PSAE.0521.00293,7240677
PSAE.0521.00177,7025566
PSAE.0521.00079,6867314
PSAE.0521.00249,6537648
PSAE.0521.00244,6621209
PSAE.0521.00310,6282181
PSAE.0521.00056,7021522
PSAE.0521.00275,6550070
PSAE.0521.00253,6588329
PSAE.0521.00207,7044064
PSAE.0521.00129,6809053
PSAE.0521.00153,7564383
PSAE.0521.00302,6527298
PSAE.0521.00304,6123373
PSAE.0521.00278,6524053
PSAE.0521.00299,7119105
PSAE.0521.00327,6275114
PSAE.0521.00325,6847382
PSAE.0521.00276,6527005
PSAE.0521.00300,7047702
PSAE.0521.00187,6489981
PSAE.0521.00234,6433962
PSAE.0521.00328,7013659
PSAE.0521.00323,6928914
PSAE.0521.00286,7099941
PSAE.0521.00210,6660224
PSAE.0521.00240,6766292
PSAE.0521.00241,6839981
PSAE.0521.00197,6747067
PSAE.0521.00237,6433960
PSAE.0521.00029,6777566
PSAE.0521.00169,6386887
PSAE.0521.00233,6452809
PSAE.0521.00032,6791731
PSAE.0521.00091,6876988
PSAE.0521.00122,6283381
PSAE.0521.00006,6643823
PSAE.0521.00295,7037972
PSAE.0521.00058,6566724
PSAE.0521.00221,6905506
PSAE.0521.00225,6638952
PSAE.0521.00294,6118045
PSAE.0521.00068,6621378
PSAE.0521.00175,6832395
PSAE.0521.00193,6264658
PSAE.0521.00184,6874269
PSAE.0521.00051,7090694
PSAE.0521.00038,6213276
PSAE.0521.00035,6213026
PSAE.0521.00086,6859213
PSAE.0521.00164,6506945
PSAE.0521.00219,7043467
PSAE.0521.00066,6925889
PSAE.0521.00260,6395872
PSAE.0521.00238,6434133
PSAE.0521.00109,7029824
PSAE.0521.00245,6831274
PSAE.0521.00198,6438945
PSAE.0521.00227,6602988
PSAE.0521.00125,6373892
PSAE.0521.00185,6579571
PSAE.0521.00089,6540996
PSAE.0521.00057,7241575
PSAE.0521.00298,6946231
PSAE.0521.00002,6834257
PSAE.0521.00230,6288645
PSAE.0521.00214,6534364
PSAE.0521.00181,6770626
PSAE.0521.00001,6618768
PSAE.0521.00229,6541482
PSAE.0521.00110,6937609
PSAE.0521.00226,6638942
PSAE.0521.00107,6999721
PSAE.0521.00099,7097237
PSAE.0521.00173,6229931
PSAE.0521.00208,7157160
PSAE.0521.00117,6383803
PSAE.0521.00133,6185598
PSAE.0521.00224,6398653
PSAE.0521.00316,7145298
PSAE.0521.00040,6445235
PSAE.0521.00016,6681992
PSAE.0521.00009,6712339
PSAE.0521.00201,6229397
PSAE.0521.00196,7092650
PSAE.0521.00108,6865797
PSAE.0521.00095,6831076
PSAE.0521.00212,6842434
PSAE.0521.00146,6335031
PSAE.0521.00255,6601757
PSAE.0521.00165,6716245
PSAE.0521.00172,6394923
PSAE.0521.00150,6335471
PSAE.0521.00114,6750271
PSAE.0521.00265,6317050
PSAE.0521.00209,6478747
PSAE.0521.00203,6480149
PSAE.0521.00062,6661962
PSAE.0521.00055,6827679
PSAE.0521.00080,6853422
PSAE.0521.00077,7050928
PSAE.0521.00250,6536590
PSAE.0521.00011,6603099
PSAE.0521.00084,6776579
PSAE.0521.00073,6463575
PSAE.0521.00115,6824837
PSAE.0521.00126,6811548
PSAE.0521.00157,6275136
PSAE.0521.00046,6897222
PSAE.0521.00065,6930893
PSAE.0521.00261,6742964
PSAE.0521.00222,6950174
PSAE.0521.00324,6508026
PSAE.0521.00047,6893164
PSAE.0521.00206,7087054
PSAE.0521.00045,6985102
PSAE.0521.00313,6680465
PSAE.0521.00291,6437515
PSAE.0521.00027,6456866
PSAE.0521.00049,6348761
PSAE.0521.00139,6813135
PSAE.0521.00223,7130555
PSAE.0521.00088,6303847
PSAE.0521.00059,7148302
PSAE.0521.00204,6325345
PSAE.0521.00085,6475581
PSAE.0521.00190,6264423
PSAE.0521.00103,6877268
PSAE.0521.00090,6685058
PSAE.0521.00052,6613260
PSAE.0521.00194,6489973
PSAE.0521.00166,6065263
PSAE.0521.00093,6468234
PSAE.0521.00243,6363379
PSAE.0521.00199,6550149
PSAE.0521.00162,6805219
PSAE.0521.00270,6342034
PSAE.0521.00083,7167115
PSAE.0521.00248,6931859
PSAE.0521.00123,6271664
PSAE.0521.00017,6400391
PSAE.0521.00111,6744588
PSAE.0521.00015,6368008
PSAE.0521.00211,6275467
PSAE.0521.00028,7006578
PSAE.0521.00239,6434020
PSAE.0521.00012,6681981
PSAE.0521.00018,6639108
PSAE.0521.00019,6316979
PSAE.0521.00044,6460023
PSAE.0521.00213,6552683
PSAE.0521.00326,7049343
PSAE.0521.00236,6941215
PSAE.0521.00105,6706796
PSAE.0521.00010,6681975
PSAE.0521.00264,6402658
PSAE.0521.00036,6517340
PSAE.0521.00034,6896700
PSAE.0521.00030,6808844
PSAE.0521.00098,6503460
PSAE.0521.00147,6397128
PSAE.0521.00148,6375262
PSAE.0521.00067,6334472
PSAE.0521.00136,6501414
PSAE.0521.00131,6714223
PSAE.0521.00042,7380063
PSAE.0521.00137,6481697
PSAE.0521.00130,6616247
PSAE.0521.00217,7177049
PSAE.0521.00220,7103853
PSAE.0521.00289,7040952
PSAE.0521.00140,6441899
PSAE.0521.00135,6267124
PSAE.0521.00315,6270706
PSAE.0521.00155,6496756
PSAE.0521.00013,6500439
PSAE.0521.00168,6298009
PSAE.0521.00167,6052044
PSAE.0521.00321,7012882
PSAE.0521.00202,6735668
PSAE.0521.00156,6870662
PSAE.0521.00081,7125975
PSAE.0521.00195,6490021
PSAE.0521.00159,6390212
PSAE.0521.00266,6243825
PSAE.0521.00104,7079594
PSAE.0521.00259,6043974
PSAE.0521.00106,6729212
PSAE.0521.00101,6876052
PSAE.0521.00041,6568228
PSAE.0521.00120,6665162
PSAE.0521.00268,6309305
PSAE.0521.00284,6433441
PSAE.0521.00100,6972899
PSAE.0521.00128,6792187
PSAE.0521.00054,7008516
PSAE.0521.00113,7005082
PSAE.0521.00247,6270455
PSAE.0521.00218,6904218
PSAE.0521.00215,6374121
PSAE.0521.00053,6370730
PSAE.0521.00311,6716578
PSAE.0521.00216,6857397
PSAE.0521.00022,6866717
PSAE.0521.00205,6935849
PSAE.0521.00142,6835729
PSAE.0521.00263,6764661
PSAE.0521.00200,6520255
