strain,character_state,character_state_annotation
STPY.0321.00010,0,edge exists
STPY.0321.00181,0,edge exists
STPY.0321.00175,0,edge exists
STPY.0321.00040,0,edge exists
STPY.0321.00155,0,edge exists
STPY.0321.00152,0,edge exists
STPY.0321.00148,0,edge exists
STPY.0321.00198,3,inversion between 79h-81t and 63h-65t
STPY.0321.00216,3,inversion between 79h-81t and 63h-65t
STPY.0321.00132,0,edge exists
STPY.0321.00096,0,edge exists
STPY.0321.00048,0,edge exists
STPY.0321.00162,0,edge exists
STPY.0321.00061,0,edge exists
STPY.0321.00030,0,edge exists
STPY.0321.00013,0,edge exists
STPY.0321.00021,0,edge exists
STPY.0321.00165,0,edge exists
STPY.0321.00106,0,edge exists
STPY.0321.00145,0,edge exists
STPY.0321.00215,0,edge exists
STPY.0321.00156,0,edge exists
STPY.0321.00217,3,inversion between 79h-81t and 63h-65t
STPY.0321.00199,0,edge exists
STPY.0321.00067,0,edge exists
STPY.0321.00092,0,edge exists
STPY.0321.00167,0,edge exists
STPY.0321.00003,3,inversion between 79h-81t and 63h-65t
STPY.0321.00095,0,edge exists
STPY.0321.00064,0,edge exists
STPY.0321.00091,0,edge exists
STPY.0321.00139,0,edge exists
STPY.0321.00002,0,edge exists
STPY.0321.00060,0,edge exists
STPY.0321.00136,0,edge exists
STPY.0321.00007,3,inversion between 79h-81t and 63h-65t
STPY.0321.00081,0,edge exists
STPY.0321.00093,0,edge exists
STPY.0321.00107,0,edge exists
STPY.0321.00206,0,edge exists
STPY.0321.00057,0,edge exists
STPY.0321.00108,3,inversion between 79h-81t and 63h-65t
STPY.0321.00140,0,edge exists
