block,species,chr,chr_beg,chr_end,orientation
247,BUMA.0521.00010,1,3149738,3182167,+
247,BUMA.0521.00007,1,1724488,1756949,+
246,BUMA.0521.00010,1,2506173,2518478,+
246,BUMA.0521.00015,1,2858809,2871121,-
246,BUMA.0521.00013,1,2868067,2880378,-
246,BUMA.0521.00014,1,2793994,2806306,-
246,BUMA.0521.00002,1,461923,474206,+
246,BUMA.0521.00004,1,2767448,2779783,-
246,BUMA.0521.00005,1,3276015,3288297,-
246,BUMA.0521.00024,1,2362945,2375257,-
246,BUMA.0521.00030,1,955388,967731,+
246,BUMA.0521.00027,1,2124429,2136741,-
246,BUMA.0521.00022,1,2858891,2871203,-
246,BUMA.0521.00020,1,2870582,2882894,-
246,BUMA.0521.00021,1,2857568,2869880,-
246,BUMA.0521.00017,1,1545261,1557545,-
246,BUMA.0521.00023,1,2896331,2908643,-
246,BUMA.0521.00001,1,2904430,2916735,+
246,BUMA.0521.00019,1,2923788,2936100,-
246,BUMA.0521.00016,1,2793924,2806236,-
246,BUMA.0521.00025,1,3111746,3124051,+
246,BUMA.0521.00031,1,3111938,3124243,+
246,BUMA.0521.00006,1,1559329,1571662,+
246,BUMA.0521.00029,1,1019054,1031359,-
246,BUMA.0521.00018,1,3111823,3124128,+
246,BUMA.0521.00032,1,1759333,1771618,+
246,BUMA.0521.00026,1,925976,938288,-
246,BUMA.0521.00003,1,2277503,2289785,-
246,BUMA.0521.00028,1,1358498,1370841,+
246,BUMA.0521.00011,1,1241445,1253727,+
245,BUMA.0521.00009,1,2998801,3009537,+
245,BUMA.0521.00015,1,3127709,3138444,+
245,BUMA.0521.00013,1,3059486,3070224,+
245,BUMA.0521.00014,1,2982604,2993340,+
245,BUMA.0521.00002,1,650590,661356,+
245,BUMA.0521.00004,1,2580375,2591126,-
245,BUMA.0521.00007,1,1255246,1266031,+
245,BUMA.0521.00005,1,3465809,3476545,+
245,BUMA.0521.00024,1,2551473,2562209,+
245,BUMA.0521.00027,1,2313039,2323775,+
245,BUMA.0521.00022,1,3047468,3058204,+
245,BUMA.0521.00020,1,3059074,3069810,+
245,BUMA.0521.00021,1,2976261,2986997,+
245,BUMA.0521.00017,1,1733869,1744599,+
245,BUMA.0521.00023,1,3084869,3095605,+
245,BUMA.0521.00001,1,393143,403928,-
245,BUMA.0521.00019,1,3112281,3123017,+
245,BUMA.0521.00016,1,2982534,2993270,+
245,BUMA.0521.00025,1,600633,611403,-
245,BUMA.0521.00031,1,600702,611472,-
245,BUMA.0521.00006,1,3110723,3121480,-
245,BUMA.0521.00029,1,21664,32433,+
245,BUMA.0521.00018,1,600632,611402,-
245,BUMA.0521.00032,1,1572270,1583001,-
245,BUMA.0521.00003,1,2090342,2101108,-
245,BUMA.0521.00011,1,1054380,1065132,-
244,BUMA.0521.00008,2,454081,465906,+
244,BUMA.0521.00009,2,108824,120505,-
244,BUMA.0521.00014,2,2001259,2013003,+
244,BUMA.0521.00003,2,1011826,1023805,+
244,BUMA.0521.00001,2,843879,855729,-
244,BUMA.0521.00002,2,89787,101769,-
244,BUMA.0521.00006,2,535007,546865,-
244,BUMA.0521.00004,2,356707,368521,-
244,BUMA.0521.00013,2,2185522,2197391,+
244,BUMA.0521.00020,2,108838,120512,-
244,BUMA.0521.00021,2,108831,120568,-
244,BUMA.0521.00027,2,159942,171672,-
244,BUMA.0521.00015,2,108832,120516,-
244,BUMA.0521.00016,2,108776,120506,-
244,BUMA.0521.00031,2,104429,116279,-
244,BUMA.0521.00023,2,108776,120520,-
244,BUMA.0521.00005,2,1650690,1662547,-
244,BUMA.0521.00017,2,105739,117403,-
244,BUMA.0521.00032,2,485859,497523,+
244,BUMA.0521.00019,2,108831,120525,-
244,BUMA.0521.00024,2,743670,755428,-
244,BUMA.0521.00018,2,2207239,2219110,+
244,BUMA.0521.00012,2,1306039,1317792,+
244,BUMA.0521.00030,2,1268564,1280407,-
244,BUMA.0521.00029,2,2007352,2019202,+
244,BUMA.0521.00022,2,108810,120575,-
244,BUMA.0521.00025,2,2108454,2120304,+
244,BUMA.0521.00028,2,222223,234066,-
243,BUMA.0521.00008,2,404400,453907,+
243,BUMA.0521.00009,2,120679,170151,-
243,BUMA.0521.00014,2,1951614,2001085,+
243,BUMA.0521.00003,2,962213,1011652,+
243,BUMA.0521.00001,2,855903,905322,-
243,BUMA.0521.00002,2,101943,151390,-
243,BUMA.0521.00006,2,547039,596494,-
243,BUMA.0521.00004,2,368695,418128,-
243,BUMA.0521.00013,2,2135906,2185348,+
243,BUMA.0521.00020,2,120686,170158,-
243,BUMA.0521.00021,2,120742,170214,-
243,BUMA.0521.00027,2,171846,221318,-
243,BUMA.0521.00015,2,120690,170162,-
243,BUMA.0521.00016,2,120680,170152,-
243,BUMA.0521.00031,2,116453,165872,-
243,BUMA.0521.00023,2,120694,170166,-
243,BUMA.0521.00005,2,1662721,1712185,-
243,BUMA.0521.00017,2,117577,167034,-
243,BUMA.0521.00007,2,1567109,1616678,+
243,BUMA.0521.00032,2,436229,485685,+
243,BUMA.0521.00019,2,120699,170171,-
243,BUMA.0521.00024,2,755602,805074,-
243,BUMA.0521.00018,2,2157647,2207065,+
243,BUMA.0521.00012,2,1256398,1305865,+
243,BUMA.0521.00030,2,1280581,1330051,-
243,BUMA.0521.00029,2,1957760,2007178,+
243,BUMA.0521.00022,2,120749,170221,-
243,BUMA.0521.00025,2,2058862,2108280,+
243,BUMA.0521.00028,2,234240,283710,-
242,BUMA.0521.00012,1,3526037,3533282,+
242,BUMA.0521.00009,1,2409891,2417136,+
242,BUMA.0521.00010,1,3308334,3315579,+
