strain,character_state,character_state_annotation
STPY.0321.00097,1,1 copies
STPY.0321.00036,1,1 copies
STPY.0321.00080,1,1 copies
STPY.0321.00025,0,0 copies
STPY.0321.00208,0,0 copies
STPY.0321.00110,0,0 copies
STPY.0321.00026,0,0 copies
STPY.0321.00099,1,1 copies
STPY.0321.00105,0,0 copies
STPY.0321.00161,1,1 copies
STPY.0321.00035,1,1 copies
STPY.0321.00177,0,0 copies
STPY.0321.00185,0,0 copies
STPY.0321.00184,0,0 copies
STPY.0321.00102,1,1 copies
STPY.0321.00214,0,0 copies
STPY.0321.00088,0,0 copies
STPY.0321.00147,0,0 copies
STPY.0321.00090,0,0 copies
STPY.0321.00028,1,1 copies
STPY.0321.00180,1,1 copies
STPY.0321.00029,0,0 copies
STPY.0321.00034,0,0 copies
STPY.0321.00209,0,0 copies
STPY.0321.00098,0,0 copies
STPY.0321.00089,0,0 copies
STPY.0321.00101,0,0 copies
STPY.0321.00111,0,0 copies
STPY.0321.00104,1,1 copies
STPY.0321.00195,0,0 copies
STPY.0321.00004,0,0 copies
STPY.0321.00201,0,0 copies
STPY.0321.00135,1,1 copies
STPY.0321.00171,1,1 copies
STPY.0321.00186,0,0 copies
STPY.0321.00131,0,0 copies
STPY.0321.00194,1,1 copies
STPY.0321.00188,0,0 copies
STPY.0321.00100,1,1 copies
STPY.0321.00127,0,0 copies
STPY.0321.00168,0,0 copies
STPY.0321.00038,0,0 copies
STPY.0321.00218,0,0 copies
STPY.0321.00115,1,1 copies
STPY.0321.00149,1,1 copies
STPY.0321.00087,1,1 copies
STPY.0321.00213,0,0 copies
STPY.0321.00084,0,0 copies
STPY.0321.00116,1,1 copies
STPY.0321.00117,0,0 copies
STPY.0321.00163,0,0 copies
STPY.0321.00157,0,0 copies
