strain,character_state,character_state_annotation
STPY.0321.00171,0,edge exists
STPY.0321.00029,3,inversion between 16h-17t and 135h-136t
STPY.0321.00099,0,edge exists
STPY.0321.00209,0,edge exists
STPY.0321.00084,0,edge exists
STPY.0321.00186,3,inversion between 16h-17t and 135h-136t
STPY.0321.00201,0,edge exists
STPY.0321.00180,0,edge exists
STPY.0321.00104,0,edge exists
STPY.0321.00088,0,edge exists
STPY.0321.00110,0,edge exists
STPY.0321.00218,0,edge exists
STPY.0321.00147,0,edge exists
STPY.0321.00098,0,edge exists
STPY.0321.00028,0,edge exists
STPY.0321.00116,0,edge exists
STPY.0321.00038,3,inversion between 16h-17t and 135h-136t
STPY.0321.00026,0,edge exists
STPY.0321.00184,0,edge exists
STPY.0321.00025,0,edge exists
STPY.0321.00195,0,edge exists
STPY.0321.00034,0,edge exists
STPY.0321.00089,0,edge exists
STPY.0321.00097,0,edge exists
STPY.0321.00163,0,edge exists
STPY.0321.00035,0,edge exists
STPY.0321.00208,0,edge exists
STPY.0321.00157,0,edge exists
STPY.0321.00004,0,edge exists
STPY.0321.00177,0,edge exists
STPY.0321.00168,0,edge exists
STPY.0321.00214,0,edge exists
STPY.0321.00131,3,inversion between 16h-17t and 135h-136t
STPY.0321.00135,0,edge exists
STPY.0321.00080,0,edge exists
STPY.0321.00105,0,edge exists
STPY.0321.00090,0,edge exists
STPY.0321.00036,0,edge exists
STPY.0321.00161,0,edge exists
STPY.0321.00115,0,edge exists
STPY.0321.00087,0,edge exists
STPY.0321.00185,0,edge exists
STPY.0321.00149,0,edge exists
STPY.0321.00213,3,inversion between 16h-17t and 135h-136t
STPY.0321.00101,3,inversion between 16h-17t and 135h-136t
STPY.0321.00188,3,inversion between 16h-17t and 135h-136t
STPY.0321.00127,0,edge exists
STPY.0321.00100,0,edge exists
STPY.0321.00194,0,edge exists
STPY.0321.00117,3,inversion between 16h-17t and 135h-136t
STPY.0321.00102,0,edge exists
STPY.0321.00111,3,inversion between 16h-17t and 135h-136t
