strain,character_state,character_state_annotation
LEPN.0521.00020,0,edge exists
LEPN.0521.00003,0,edge exists
LEPN.0521.00001,0,edge exists
LEPN.0521.00013,0,edge exists
LEPN.0521.00022,2,some block is not presented
LEPN.0521.00007,0,edge exists
LEPN.0521.00014,0,edge exists
LEPN.0521.00016,2,some block is not presented
LEPN.0521.00006,0,edge exists
LEPN.0521.00017,0,edge exists
LEPN.0521.00011,0,edge exists
LEPN.0521.00015,0,edge exists
LEPN.0521.00012,0,edge exists
LEPN.0521.00018,2,some block is not presented
LEPN.0521.00008,0,edge exists
LEPN.0521.00010,0,edge exists
LEPN.0521.00021,0,edge exists
LEPN.0521.00009,0,edge exists
LEPN.0521.00005,0,edge exists
LEPN.0521.00019,2,some block is not presented
LEPN.0521.00002,0,edge exists
LEPN.0521.00004,0,edge exists
