block,species,chr,chr_beg,chr_end,orientation
1153,BUMA.0721.00010,1,3505201,3509051,+
1153,BUMA.0721.00012,1,1620009,1623852,-
1153,BUMA.0721.00014,1,1692226,1696066,-
1153,BUMA.0721.00003,1,2669431,2673270,+
1153,BUMA.0721.00011,1,1100912,1104752,-
1153,BUMA.0721.00002,1,2751818,2755653,-
1153,BUMA.0721.00008,1,1691534,1695374,-
1153,BUMA.0721.00005,1,2834257,2838097,-
1153,BUMA.0721.00013,1,1626104,1629944,-
1153,BUMA.0721.00024,1,3221495,3225335,-
1153,BUMA.0721.00018,1,1755952,1759792,-
1153,BUMA.0721.00009,1,257917,261756,+
1153,BUMA.0721.00021,1,1691002,1694842,-
1153,BUMA.0721.00020,1,1690967,1694807,-
1153,BUMA.0721.00032,1,2935583,2939422,+
1153,BUMA.0721.00019,1,1691092,1694932,-
1153,BUMA.0721.00016,1,1942100,1945939,+
1153,BUMA.0721.00007,1,2418594,2422433,+
1153,BUMA.0721.00022,1,1728422,1732262,-
1153,BUMA.0721.00027,1,2197125,2200965,-
1153,BUMA.0721.00006,1,2026625,2030465,-
1153,BUMA.0721.00030,1,1087552,1091392,-
1153,BUMA.0721.00001,1,1734772,1738611,+
1153,BUMA.0721.00015,1,1626051,1629891,-
1153,BUMA.0721.00029,1,1942313,1946152,+
1153,BUMA.0721.00026,1,1490641,1494481,-
1153,BUMA.0721.00031,1,377349,381189,-
1153,BUMA.0721.00004,1,2812092,2815932,-
1153,BUMA.0721.00025,1,956520,960360,-
1153,BUMA.0721.00017,1,1704067,1707907,-
1153,BUMA.0721.00023,1,1942194,1946033,+
1153,BUMA.0721.00028,1,698355,702194,+
1152,BUMA.0721.00010,1,3496559,3503893,+
1152,BUMA.0721.00012,1,1623853,1631173,-
1152,BUMA.0721.00014,1,1696067,1703387,-
1152,BUMA.0721.00003,1,2662113,2669429,+
1152,BUMA.0721.00011,1,1104753,1112073,-
1152,BUMA.0721.00002,1,2756959,2764293,-
1152,BUMA.0721.00008,1,1695375,1702695,-
1152,BUMA.0721.00005,1,2838098,2845418,-
1152,BUMA.0721.00013,1,1629945,1637265,-
1152,BUMA.0721.00024,1,3225336,3232656,-
1152,BUMA.0721.00018,1,1759793,1767113,-
1152,BUMA.0721.00009,1,250595,257915,+
1152,BUMA.0721.00021,1,1694843,1702163,-
1152,BUMA.0721.00020,1,1694808,1702128,-
1152,BUMA.0721.00032,1,2928261,2935581,+
1152,BUMA.0721.00019,1,1694933,1702253,-
1152,BUMA.0721.00016,1,1934778,1942098,+
1152,BUMA.0721.00007,1,2411272,2418592,+
1152,BUMA.0721.00022,1,1732263,1739583,-
1152,BUMA.0721.00027,1,2200966,2208286,-
1152,BUMA.0721.00006,1,2030466,2037786,-
1152,BUMA.0721.00030,1,1091393,1098713,-
1152,BUMA.0721.00001,1,1727450,1734770,+
1152,BUMA.0721.00015,1,1629892,1637212,-
1152,BUMA.0721.00029,1,1934991,1942311,+
1152,BUMA.0721.00026,1,1494482,1501802,-
1152,BUMA.0721.00031,1,381190,388510,-
1152,BUMA.0721.00004,1,2815933,2823253,-
1152,BUMA.0721.00025,1,960361,967681,-
1152,BUMA.0721.00017,1,1707908,1715228,-
1152,BUMA.0721.00023,1,1934872,1942192,+
1152,BUMA.0721.00028,1,691035,698353,+
1151,BUMA.0721.00010,1,3493490,3495337,+
1151,BUMA.0721.00012,1,1632395,1634243,-
1151,BUMA.0721.00014,1,1704609,1706457,-
1151,BUMA.0721.00003,1,2659044,2660891,+
1151,BUMA.0721.00011,1,1113295,1115143,-
1151,BUMA.0721.00002,1,2765515,2767363,-
1151,BUMA.0721.00008,1,1703917,1705765,-
