strain,character_state,character_state_annotation
BUMA.0521.00008,3,inversion between 113h-141h and 114t-144t
BUMA.0521.00023,0,adjacency exists
BUMA.0521.00016,0,adjacency exists
BUMA.0521.00026,0,adjacency exists
BUMA.0521.00003,4,inversion between 113h-141h and 118t-117h
BUMA.0521.00006,0,adjacency exists
BUMA.0521.00019,0,adjacency exists
BUMA.0521.00030,0,adjacency exists
BUMA.0521.00028,0,adjacency exists
BUMA.0521.00009,0,adjacency exists
BUMA.0521.00005,0,adjacency exists
BUMA.0521.00031,4,inversion between 113h-141h and 118t-117h
BUMA.0521.00007,1,complex break of adjacency
BUMA.0521.00001,4,inversion between 113h-141h and 118t-117h
BUMA.0521.00021,0,adjacency exists
BUMA.0521.00002,4,inversion between 113h-141h and 118t-117h
BUMA.0521.00004,1,complex break of adjacency
BUMA.0521.00024,5,inversion between 113h-141h and 194h-195t
BUMA.0521.00018,4,inversion between 113h-141h and 118t-117h
BUMA.0521.00012,3,inversion between 113h-141h and 114t-144t
BUMA.0521.00011,0,adjacency exists
BUMA.0521.00010,4,inversion between 113h-141h and 118t-117h
BUMA.0521.00014,0,adjacency exists
BUMA.0521.00017,6,inversion between 113h-141h and 150t-100t
BUMA.0521.00020,0,adjacency exists
BUMA.0521.00022,0,adjacency exists
BUMA.0521.00015,0,adjacency exists
BUMA.0521.00032,6,inversion between 113h-141h and 150t-100t
BUMA.0521.00025,4,inversion between 113h-141h and 118t-117h
BUMA.0521.00013,7,inversion between 113h-141h and 118t-124h
BUMA.0521.00027,0,adjacency exists
BUMA.0521.00029,4,inversion between 113h-141h and 118t-117h
