strain,character_state,character_state_annotation
LEPN.0521.00006,0,0 copies
LEPN.0521.00014,3,3 copies
LEPN.0521.00020,3,3 copies
LEPN.0521.00016,2,2 copies
LEPN.0521.00002,3,3 copies
LEPN.0521.00010,0,0 copies
LEPN.0521.00005,0,0 copies
LEPN.0521.00015,2,2 copies
LEPN.0521.00003,0,0 copies
LEPN.0521.00017,3,3 copies
LEPN.0521.00009,0,0 copies
LEPN.0521.00004,0,0 copies
LEPN.0521.00007,0,0 copies
LEPN.0521.00018,1,1 copies
LEPN.0521.00001,0,0 copies
LEPN.0521.00011,3,3 copies
LEPN.0521.00021,3,3 copies
LEPN.0521.00008,0,0 copies
LEPN.0521.00013,4,4 copies
LEPN.0521.00012,3,3 copies
LEPN.0521.00019,1,1 copies
LEPN.0521.00022,1,1 copies
