block,species,chr,chr_beg,chr_end,orientation
279,PSAE.0521.00273,1,6789928,6802660,+
279,PSAE.0521.00118,1,4109221,4121926,-
279,PSAE.0521.00121,1,6360627,6373329,+
279,PSAE.0521.00116,1,6220683,6233388,+
279,PSAE.0521.00092,1,6788888,6801593,+
279,PSAE.0521.00102,1,7008802,7021505,+
279,PSAE.0521.00094,1,7085469,7098174,+
279,PSAE.0521.00096,1,6918819,6931524,+
279,PSAE.0521.00097,1,6525274,6537979,+
279,PSAE.0521.00152,1,6508301,6521003,+
279,PSAE.0521.00154,1,2871649,2884354,-
279,PSAE.0521.00145,1,6278272,6290978,+
279,PSAE.0521.00144,1,6715755,6728460,+
279,PSAE.0521.00161,1,6525017,6537723,+
279,PSAE.0521.00160,1,6759100,6771805,+
279,PSAE.0521.00132,1,2387698,2400401,+
279,PSAE.0521.00124,1,6351957,6364662,+
279,PSAE.0521.00143,1,7322405,7335110,+
279,PSAE.0521.00141,1,7168534,7181239,+
279,PSAE.0521.00134,1,5433608,5446311,+
279,PSAE.0521.00026,1,6894335,6907040,+
279,PSAE.0521.00025,1,2467311,2480015,+
279,PSAE.0521.00023,1,6774548,6787253,+
279,PSAE.0521.00039,1,6313191,6325896,+
279,PSAE.0521.00033,1,6491350,6504055,+
279,PSAE.0521.00007,1,6913084,6925789,+
279,PSAE.0521.00005,1,6829764,6842467,+
279,PSAE.0521.00004,1,6811506,6824211,+
279,PSAE.0521.00020,1,6254760,6267465,+
279,PSAE.0521.00127,1,5732381,5745086,-
279,PSAE.0521.00014,1,6793746,6806449,+
279,PSAE.0521.00064,1,1861521,1874224,-
279,PSAE.0521.00063,1,3740366,3753069,+
279,PSAE.0521.00008,1,7476511,7489216,+
279,PSAE.0521.00078,1,6864406,6877111,+
279,PSAE.0521.00024,1,6687055,6699760,+
279,PSAE.0521.00082,1,6228789,6241494,+
279,PSAE.0521.00071,1,6731716,6744419,+
279,PSAE.0521.00069,1,6505634,6518339,+
279,PSAE.0521.00070,1,6617379,6630084,+
279,PSAE.0521.00158,1,6245063,6257768,+
279,PSAE.0521.00076,1,3063561,3076264,-
279,PSAE.0521.00075,1,1678879,1691582,-
279,PSAE.0521.00003,1,6853498,6866201,+
279,PSAE.0521.00074,1,4640633,4653336,+
279,PSAE.0521.00048,1,2597,15302,+
279,PSAE.0521.00043,1,3811762,3824467,-
279,PSAE.0521.00050,1,1392201,1404906,-
279,PSAE.0521.00267,1,6476879,6489584,+
279,PSAE.0521.00269,1,6399829,6412531,+
279,PSAE.0521.00262,1,6684790,6697495,+
279,PSAE.0521.00281,1,7034560,7047265,+
279,PSAE.0521.00282,1,6558860,6571563,+
279,PSAE.0521.00272,1,6244292,6256997,+
279,PSAE.0521.00242,1,1809267,1821972,+
279,PSAE.0521.00251,1,6243212,6255917,+
279,PSAE.0521.00252,1,6196707,6209412,+
279,PSAE.0521.00319,1,6887593,6900298,+
279,PSAE.0521.00138,1,6991126,7003829,+
279,PSAE.0521.00060,1,7029319,7042023,+
279,PSAE.0521.00246,1,6458689,6471394,+
279,PSAE.0521.00318,1,6253349,6266054,+
279,PSAE.0521.00021,1,1481082,1493787,+
279,PSAE.0521.00322,1,239745,252450,-
279,PSAE.0521.00061,1,7390672,7403377,+
279,PSAE.0521.00292,1,6413179,6425884,+
279,PSAE.0521.00288,1,6984269,6996974,+
279,PSAE.0521.00287,1,6620231,6632934,+
279,PSAE.0521.00306,1,6428082,6440785,+
279,PSAE.0521.00258,1,5560629,5573334,+
279,PSAE.0521.00305,1,6406698,6419401,+
279,PSAE.0521.00303,1,4719766,4732469,-
279,PSAE.0521.00309,1,6551963,6564668,+
279,PSAE.0521.00307,1,6904689,6917394,+
279,PSAE.0521.00308,1,6760432,6773135,+
279,PSAE.0521.00297,1,6857824,6870527,+
279,PSAE.0521.00271,1,6241013,6253718,+
279,PSAE.0521.00301,1,6519219,6531924,+
279,PSAE.0521.00119,1,20,12663,+
279,PSAE.0521.00037,1,4648241,4660946,+
279,PSAE.0521.00189,1,6243242,6255947,+
279,PSAE.0521.00149,1,6266520,6279225,+
279,PSAE.0521.00191,1,6243231,6255936,+
279,PSAE.0521.00188,1,6243227,6255932,+
279,PSAE.0521.00186,1,7136080,7148783,+
