orf_name,sim_pp1,family,orf_L,orf_R,orf_bp,aas,ori
Gen_a5228db3_70_00012,99.40% IS1X2_aa2,IS1,6625,6122,504,167,-
Gen_a5228db3_70_00044,99.40% IS1X2_aa2,IS1,36078,35575,504,167,-
Gen_a5228db3_70_00050,99.40% IS1X2_aa2,IS1,40786,41289,504,167,+
Gen_a5228db3_70_00058,99.40% IS1X2_aa2,IS1,47718,47215,504,167,-
Gen_a5228db3_70_00059,100% ISEc27_aa1,IS3 ssgr IS2,48036,48401,366,121,+
Gen_a5228db3_70_00060,100% IS2_aa2,IS3 ssgr IS2,48359,49264,906,301,+
Gen_a5228db3_70_00063,100% ISSfl10_aa1,IS3 ssgr IS3,50041,50343,303,100,+
Gen_a5228db3_70_00064,99.26% IS600_aa3,IS3 ssgr IS3,50379,51197,819,272,+
Gen_a5228db3_70_00065,98.51% ISEhe3_aa2,IS3 ssgr IS51,51471,52283,813,270,+
Gen_a5228db3_70_00078,98.43% IS629_aa2,IS3 ssgr IS51,62330,61944,387,128,-
Gen_a5228db3_70_00080,98.52% IS629_aa2,IS3 ssgr IS51,65097,64744,354,117,-
Gen_a5228db3_70_00081,98.14% IS629_aa1,IS3 ssgr IS51,65423,65097,327,108,-
Gen_a5228db3_70_00095,99.52% IS911_aa2,IS3 ssgr IS3,78877,78224,654,217,-
Gen_a5228db3_70_00096,98% IS911_aa1,IS3 ssgr IS3,79392,79090,303,100,-
Gen_a5228db3_70_00098,99.66% IS2_aa2,IS3 ssgr IS2,80719,79814,906,301,-
Gen_a5228db3_70_00099,100% ISEc27_aa1,IS3 ssgr IS2,81087,80677,411,136,-
Gen_a5228db3_70_00116,98.86% IS4_aa1,IS4 ssgr IS4,94325,95653,1329,442,+
Gen_a5228db3_70_00181,98.80% IS1X2_aa2,IS1,168175,167672,504,167,-
Gen_a5228db3_70_00185,71.15% ISPlu15_aa1,ISNCY ssgr ISPlu15,171496,170594,903,300,-
Gen_a5228db3_70_00238,98.20% IS1X2_aa2,IS1,229368,228865,504,167,-
Gen_a5228db3_70_00294,98.80% IS1X2_aa2,IS1,296858,297361,504,167,+
Gen_a5228db3_70_00355,98.80% IS1X2_aa2,IS1,353268,352765,504,167,-
Gen_a5228db3_70_00359,49.39% ISSme2_aa2,IS21,355969,356706,738,245,+
Gen_a5228db3_70_00384,98.80% IS1X2_aa2,IS1,382467,381964,504,167,-
Gen_a5228db3_70_00386,41.74% ISKpn25_aa1,ISL3,385457,386926,1470,489,+
Gen_a5228db3_70_00387,55.84% ISSm4_aa3,ISL3,386926,388587,1662,553,+
Gen_a5228db3_70_00390,100% ISSfl10_aa1,IS3 ssgr IS3,389581,389883,303,100,+
Gen_a5228db3_70_00391,99.26% ISSd1_aa2,IS3 ssgr IS3,389919,390737,819,272,+
Gen_a5228db3_70_00392,98.44% ISEhe3_aa2,IS3 ssgr IS51,391359,390778,582,193,-
Gen_a5228db3_70_00393,95.65% ISEhe3_aa1,IS3 ssgr IS51,391694,391416,279,92,-
Gen_a5228db3_70_00412,99.40% IS1X2_aa2,IS1,403648,404151,504,167,+
Gen_a5228db3_70_00417,98.80% IS1X2_aa2,IS1,408107,407604,504,167,-
Gen_a5228db3_70_00444,100% IS1X1_aa2,IS1,434427,434654,228,75,+
Gen_a5228db3_70_00445,98.55% IS1X2_aa3,IS1,434687,434896,210,69,+
Gen_a5228db3_70_00459,98.80% IS1X2_aa2,IS1,445070,444567,504,167,-
Gen_a5228db3_70_00472,98.80% IS1X2_aa2,IS1,457999,457496,504,167,-
Gen_a5228db3_70_00474,98.52% IS600_aa3,IS3 ssgr IS3,460279,459461,819,272,-
Gen_a5228db3_70_00475,99.40% IS1X2_aa2,IS1,460531,461034,504,167,+
Gen_a5228db3_70_00502,98.64% IS4_aa1,IS4 ssgr IS4,489482,490810,1329,442,+
Gen_a5228db3_70_00522,98.80% IS1X2_aa2,IS1,512865,512362,504,167,-
Gen_a5228db3_70_00536,99.52% IS911_aa2,IS3 ssgr IS3,529193,528540,654,217,-
Gen_a5228db3_70_00537,99% IS911_aa1,IS3 ssgr IS3,529708,529406,303,100,-
Gen_a5228db3_70_00539,98.80% IS1X2_aa2,IS1,530404,529901,504,167,-
Gen_a5228db3_70_00540,98.55% ISEhe3_aa2,IS3 ssgr IS51,532021,531122,900,299,-
Gen_a5228db3_70_00541,98.89% IS600_aa3,IS3 ssgr IS3,532851,532033,819,272,-
Gen_a5228db3_70_00542,100% ISSfl10_aa1,IS3 ssgr IS3,533189,532887,303,100,-
Gen_a5228db3_70_00543,95.65% ISEhe3_aa1,IS3 ssgr IS51,533536,533258,279,92,-
Gen_a5228db3_70_00545,98.80% IS1X1_aa2,IS1,534996,535499,504,167,+
Gen_a5228db3_70_00551,45.57% ISShvi3_aa1,IS91,541389,541985,597,198,+
Gen_a5228db3_70_00556,98.80% IS1X2_aa2,IS1,545292,545795,504,167,+
Gen_a5228db3_70_00566,98.80% IS1X2_aa2,IS1,557116,557619,504,167,+
Gen_a5228db3_70_00573,99.66% IS2_aa2,IS3 ssgr IS2,563530,562625,906,301,-
Gen_a5228db3_70_00574,100% ISEc27_aa1,IS3 ssgr IS2,563853,563488,366,121,-
Gen_a5228db3_70_00575,100% ISSfl3_aa1,IS66,564013,564687,675,224,+
Gen_a5228db3_70_00576,100% ISSfl3_aa2,IS66,564684,565034,351,116,+
Gen_a5228db3_70_00577,99.24% ISSfl3_aa3,IS66,565031,566632,1602,533,+
Gen_a5228db3_70_00616,98.20% IS1X2_aa2,IS1,610060,609557,504,167,-
Gen_a5228db3_70_00658,98.20% IS1X2_aa2,IS1,647774,648277,504,167,+
Gen_a5228db3_70_00683,100% ISEc27_aa1,IS3 ssgr IS2,676794,677159,366,121,+
Gen_a5228db3_70_00684,100% IS2_aa2,IS3 ssgr IS2,677117,678022,906,301,+
Gen_a5228db3_70_00754,98.20% IS1X2_aa2,IS1,757507,757004,504,167,-
Gen_a5228db3_70_00758,98.64% IS4_aa1,IS4 ssgr IS4,761139,759811,1329,442,-
Gen_a5228db3_70_00812,100% ISEc27_aa1,IS3 ssgr IS2,816741,817106,366,121,+
Gen_a5228db3_70_00813,99.66% IS2_aa2,IS3 ssgr IS2,817064,817969,906,301,+
Gen_a5228db3_70_00829,98.80% IS1X2_aa2,IS1,831485,831988,504,167,+
Gen_a5228db3_70_00840,99.40% IS1X2_aa2,IS1,841975,841472,504,167,-
Gen_a5228db3_70_00842,98.80% IS1X2_aa2,IS1,842967,843470,504,167,+
Gen_a5228db3_70_00843,98.80% IS1X2_aa2,IS1,843812,844315,504,167,+
Gen_a5228db3_70_00858,98.80% IS1X2_aa2,IS1,859325,858822,504,167,-
Gen_a5228db3_70_00917,98.86% IS4_aa1,IS4 ssgr IS4,922998,921670,1329,442,-
Gen_a5228db3_70_00921,45% ISMno23_aa1,IS91,927528,926632,897,298,-
Gen_a5228db3_70_00928,97.60% IS1X2_aa2,IS1,932372,931869,504,167,-
Gen_a5228db3_70_00935,100% ISEc27_aa1,IS3 ssgr IS2,941315,941725,411,136,+
Gen_a5228db3_70_00936,99.66% IS2_aa2,IS3 ssgr IS2,941683,942588,906,301,+
Gen_a5228db3_70_00987,98.80% IS1X2_aa2,IS1,992434,991931,504,167,-
Gen_a5228db3_70_00991,99.09% IS4_aa1,IS4 ssgr IS4,996983,995655,1329,442,-
Gen_a5228db3_70_01022,48.31% ISTha3_aa2,IS91,1028590,1029126,537,178,+
Gen_a5228db3_70_01023,64.91% ISMno24_aa2,IS91,1029241,1029567,327,108,+
Gen_a5228db3_70_01025,99.09% IS4_aa1,IS4 ssgr IS4,1030602,1031930,1329,442,+
Gen_a5228db3_70_01028,100% IS2_aa2,IS3 ssgr IS2,1034465,1033560,906,301,-
Gen_a5228db3_70_01029,100% ISEc27_aa1,IS3 ssgr IS2,1034788,1034423,366,121,-
Gen_a5228db3_70_01032,98.89% ISSd1_aa2,IS3 ssgr IS3,1037782,1036964,819,272,-
Gen_a5228db3_70_01033,100% ISSfl10_aa1,IS3 ssgr IS3,1038120,1037818,303,100,-
Gen_a5228db3_70_01079,49.39% IS643_aa2,IS21,1081855,1080452,1404,467,-
Gen_a5228db3_70_01084,99.40% IS1X2_aa2,IS1,1087035,1086532,504,167,-
Gen_a5228db3_70_01089,98.89% ISSd1_aa2,IS3 ssgr IS3,1093176,1092358,819,272,-
Gen_a5228db3_70_01090,100% ISSfl10_aa1,IS3 ssgr IS3,1093514,1093212,303,100,-
Gen_a5228db3_70_01096,99.40% IS1X2_aa2,IS1,1097599,1097096,504,167,-
Gen_a5228db3_70_01105,98.80% IS1X2_aa2,IS1,1108043,1108546,504,167,+
Gen_a5228db3_70_01108,100% ISEc27_aa1,IS3 ssgr IS2,1111372,1111737,366,121,+
Gen_a5228db3_70_01109,100% IS2_aa2,IS3 ssgr IS2,1111695,1112600,906,301,+
Gen_a5228db3_70_01117,57.73% ISLpn6_aa1,IS4 ssgr IS50,1124209,1123478,732,243,-
Gen_a5228db3_70_01118,98.80% IS1X2_aa2,IS1,1124524,1125027,504,167,+
Gen_a5228db3_70_01121,100% ISEc27_aa1,IS3 ssgr IS2,1127265,1127630,366,121,+
Gen_a5228db3_70_01122,100% IS2_aa2,IS3 ssgr IS2,1127588,1128493,906,301,+
Gen_a5228db3_70_01124,98.14% IS629_aa1,IS3 ssgr IS51,1129496,1129822,327,108,+
Gen_a5228db3_70_01125,99.02% IS629_aa2,IS3 ssgr IS51,1130085,1130705,621,206,+
Gen_a5228db3_70_01127,93.93% IS3H_aa1,IS3 ssgr IS3,1131489,1131788,300,99,+
Gen_a5228db3_70_01128,96.92% ISEc16_aa2,IS3 ssgr IS3,1131785,1132177,393,130,+
Gen_a5228db3_70_01129,100% ISEc16_aa2,IS3 ssgr IS3,1132149,1132640,492,163,+
Gen_a5228db3_70_01160,98.20% IS1X2_aa2,IS1,1164523,1165026,504,167,+
Gen_a5228db3_70_01175,98.80% IS1X2_aa2,IS1,1180641,1181144,504,167,+
Gen_a5228db3_70_01191,98.80% IS1X2_aa2,IS1,1199467,1199970,504,167,+
Gen_a5228db3_70_01206,98.80% IS1X2_aa2,IS1,1214938,1214435,504,167,-
Gen_a5228db3_70_01209,98.80% IS1X2_aa2,IS1,1217296,1216793,504,167,-
Gen_a5228db3_70_01231,98.20% IS1X2_aa2,IS1,1239579,1239076,504,167,-
Gen_a5228db3_70_01240,99.40% IS1X2_aa2,IS1,1249656,1249153,504,167,-
Gen_a5228db3_70_01241,99.38% IS150_aa1,IS3 ssgr IS150,1249770,1250399,630,209,+
Gen_a5228db3_70_01242,99.29% IS150_aa2,IS3 ssgr IS150,1250396,1251247,852,283,+
Gen_a5228db3_70_01287,99.09% IS4_aa1,IS4 ssgr IS4,1300285,1298957,1329,442,-
Gen_a5228db3_70_01289,98.80% IS1X2_aa2,IS1,1302544,1303047,504,167,+
Gen_a5228db3_70_01302,99.40% IS1X2_aa2,IS1,1312916,1312413,504,167,-
Gen_a5228db3_70_01305,98.80% IS1X2_aa2,IS1,1315641,1316144,504,167,+
Gen_a5228db3_70_01317,99.40% IS1X2_aa2,IS1,1329051,1329554,504,167,+
Gen_a5228db3_70_01318,100% ISSfl10_aa1,IS3 ssgr IS3,1329864,1329565,300,99,-
Gen_a5228db3_70_01323,100% IS2_aa2,IS3 ssgr IS2,1335383,1334478,906,301,-
Gen_a5228db3_70_01324,100% ISEc27_aa1,IS3 ssgr IS2,1335706,1335341,366,121,-
Gen_a5228db3_70_01387,99.09% IS4_aa1,IS4 ssgr IS4,1402528,1403856,1329,442,+
Gen_a5228db3_70_01406,100% IS2_aa2,IS3 ssgr IS2,1425483,1424578,906,301,-
Gen_a5228db3_70_01407,100% ISEc27_aa1,IS3 ssgr IS2,1425806,1425441,366,121,-
Gen_a5228db3_70_01408,66.77% ISVsa17_aa1,ISNCY ssgr ISPlu15,1426769,1425882,888,295,-
Gen_a5228db3_70_01513,100% ISSfl3_aa1,IS66,1515398,1515685,288,95,+
Gen_a5228db3_70_01514,99.43% ISSfl3_aa3,IS66,1517290,1515689,1602,533,-
Gen_a5228db3_70_01515,100% ISSfl3_aa2,IS66,1517637,1517287,351,116,-
Gen_a5228db3_70_01516,100% ISSfl3_aa1,IS66,1518308,1517634,675,224,-
Gen_a5228db3_70_01535,98.80% IS1X2_aa2,IS1,1535824,1536327,504,167,+
Gen_a5228db3_70_01538,98.20% IS1X2_aa2,IS1,1538411,1538914,504,167,+
Gen_a5228db3_70_01576,99.40% IS1X2_aa2,IS1,1577083,1576580,504,167,-
Gen_a5228db3_70_01583,97.56% ISSd1_aa2,IS3 ssgr IS3,1584442,1583267,1176,391,-
Gen_a5228db3_70_01586,51.14% ISSm4_aa2,ISL3,1585299,1584820,480,159,-
Gen_a5228db3_70_01659,100% ISEc27_aa1,IS3 ssgr IS2,1655616,1655981,366,121,+
Gen_a5228db3_70_01660,100% IS2_aa2,IS3 ssgr IS2,1655939,1656397,459,152,+
Gen_a5228db3_70_01661,99.37% IS2_aa2,IS3 ssgr IS2,1656351,1656842,492,163,+
Gen_a5228db3_70_01665,98.80% IS1X2_aa2,IS1,1660132,1660635,504,167,+
Gen_a5228db3_70_01671,97.60% IS1X2_aa2,IS1,1664242,1663739,504,167,-
Gen_a5228db3_70_01712,99.40% IS1X2_aa2,IS1,1700244,1699741,504,167,-
Gen_a5228db3_70_01746,99.09% IS4_aa1,IS4 ssgr IS4,1736645,1735317,1329,442,-
Gen_a5228db3_70_01764,97.93% IS1X2_aa3,IS1,1758687,1758394,294,97,-
Gen_a5228db3_70_01767,98.96% IS1X2_aa3,IS1,1760578,1760285,294,97,-
Gen_a5228db3_70_01768,100% IS2_aa2,IS3 ssgr IS2,1761884,1761033,852,283,-
Gen_a5228db3_70_01769,100% ISEc27_aa1,IS3 ssgr IS2,1762207,1761842,366,121,-
Gen_a5228db3_70_01844,98.96% IS1X2_aa3,IS1,1834842,1835135,294,97,+
Gen_a5228db3_70_01848,99.30% ISEc17_aa3,IS3 ssgr IS3,1837732,1836866,867,288,-
Gen_a5228db3_70_01849,100% ISEc17_aa1,IS3 ssgr IS3,1838028,1837729,300,99,-
Gen_a5228db3_70_01869,99.66% IS2_aa2,IS3 ssgr IS2,1858644,1857739,906,301,-
Gen_a5228db3_70_01870,100% ISEc27_aa1,IS3 ssgr IS2,1858967,1858602,366,121,-
Gen_a5228db3_70_01872,99.52% IS911_aa2,IS3 ssgr IS3,1861281,1860628,654,217,-
Gen_a5228db3_70_01873,99% IS911_aa1,IS3 ssgr IS3,1861796,1861494,303,100,-
Gen_a5228db3_70_01876,99.07% IS3411_aa1,IS3 ssgr IS51,1862996,1863322,327,108,+
Gen_a5228db3_70_01877,99.27% IS629_aa2,IS3 ssgr IS51,1863322,1863801,480,159,+
Gen_a5228db3_70_01879,94.53% IS629_aa2,IS3 ssgr IS51,1866093,1866479,387,128,+
Gen_a5228db3_70_01881,100% IS1414_aa1,IS256,1871131,1870913,219,72,-
Gen_a5228db3_70_01882,93.75% ISCro1_aa3,IS66,1872108,1871194,915,304,-
Gen_a5228db3_70_01883,98.80% ISEc38_aa1,ISL3,1872701,1872195,507,168,-
Gen_a5228db3_70_01884,99.14% ISEc8_aa3,IS66,1872767,1873174,408,135,+
Gen_a5228db3_70_01904,97.80% IS1X1_aa2,IS1,1899451,1899735,285,94,+
Gen_a5228db3_70_01905,98.55% IS1X2_aa3,IS1,1899732,1899941,210,69,+
Gen_a5228db3_70_01925,98.20% IS1X2_aa2,IS1,1916603,1917106,504,167,+
Gen_a5228db3_70_01931,98.80% IS1X2_aa2,IS1,1923434,1923937,504,167,+
Gen_a5228db3_70_01974,53.84% ISMno24_aa2,IS91,1964929,1965825,897,298,+
Gen_a5228db3_70_01983,100% ISEc27_aa1,IS3 ssgr IS2,1974100,1974465,366,121,+
Gen_a5228db3_70_01984,99.66% IS2_aa2,IS3 ssgr IS2,1974423,1975328,906,301,+
Gen_a5228db3_70_01985,99.01% IS1X1_aa2,IS1,1975644,1975162,483,160,-
Gen_a5228db3_70_01997,99% IS911_aa1,IS3 ssgr IS3,1985506,1985808,303,100,+
Gen_a5228db3_70_01998,100% IS911_aa2,IS3 ssgr IS3,1986021,1986449,429,142,+
Gen_a5228db3_70_01999,98.33% IS911_aa2,IS3 ssgr IS3,1986457,1986663,207,68,+
Gen_a5228db3_70_02002,99.30% ISEc17_aa3,IS3 ssgr IS3,1989666,1988800,867,288,-
Gen_a5228db3_70_02003,100% ISEc17_aa1,IS3 ssgr IS3,1989962,1989663,300,99,-
Gen_a5228db3_70_02055,98.86% IS4_aa1,IS4 ssgr IS4,2051250,2049922,1329,442,-
Gen_a5228db3_70_02072,99.40% IS1X2_aa2,IS1,2073118,2072615,504,167,-
Gen_a5228db3_70_02075,99.40% IS1X2_aa2,IS1,2074919,2074416,504,167,-
Gen_a5228db3_70_02109,98.52% IS600_aa3,IS3 ssgr IS3,2105928,2105110,819,272,-
Gen_a5228db3_70_02110,100% ISSfl10_aa1,IS3 ssgr IS3,2106266,2105964,303,100,-
Gen_a5228db3_70_02111,99.22% ISSd1_aa3,IS3 ssgr IS3,2107101,2106328,774,257,-
Gen_a5228db3_70_02112,100% ISSfl10_aa1,IS3 ssgr IS3,2107439,2107137,303,100,-
Gen_a5228db3_70_02121,98.80% IS1X2_aa2,IS1,2113460,2113963,504,167,+
Gen_a5228db3_70_02166,47.74% ISMpo10_aa1,Tn3,2154506,2153976,531,176,-
Gen_a5228db3_70_02183,100% ISEc27_aa1,IS3 ssgr IS2,2168257,2168622,366,121,+
Gen_a5228db3_70_02184,100% IS2_aa2,IS3 ssgr IS2,2168580,2169485,906,301,+
Gen_a5228db3_70_02196,99.30% ISEc17_aa3,IS3 ssgr IS3,2181920,2181054,867,288,-
Gen_a5228db3_70_02197,100% ISEc17_aa1,IS3 ssgr IS3,2182216,2181917,300,99,-
Gen_a5228db3_70_02198,99.23% IS1X2_aa3,IS1,2182730,2182335,396,131,-
Gen_a5228db3_70_02225,78.57% IS4_aa1,IS4 ssgr IS4,2203699,2204079,381,126,+
Gen_a5228db3_70_02226,98.55% IS4_aa1,IS4 ssgr IS4,2204193,2205026,834,277,+
Gen_a5228db3_70_02231,98.86% IS4_aa1,IS4 ssgr IS4,2211725,2210397,1329,442,-
Gen_a5228db3_70_02263,99.26% ISSd1_aa2,IS3 ssgr IS3,2245658,2244840,819,272,-
