GCA_001900315
NZ_CP010121.1
              nucl_id  block  chr_beg  chr_end
196338  NZ_CP010121.1    130   541266   544491
197164  NZ_CP010121.1    128   528891   531878
239349  NZ_CP010121.1     85   330549   335684
240928  NZ_CP010121.1     93   374710   379361
290857  NZ_CP010121.1    327  1434331  1435866
294564  NZ_CP010121.1    336  1472739  1474678
295806  NZ_CP010121.1    339  1487288  1491196
296220  NZ_CP010121.1    340  1491769  1493192
334510  NZ_CP010121.1    857  3776361  3777959
337702  NZ_CP010121.1    865  3805322  3807528
409768  NZ_CP010121.1   1092  4823288  4824585
414647  NZ_CP010121.1   1104  4871743  4873593
