Seq_id	Size	Description
1	1851396	STPY.0321.00072
2	1892466	STPY.0321.00071
3	1842823	STPY.0321.00070
4	1878827	STPY.0321.00079
5	1816007	STPY.0321.00080
6	1851869	STPY.0321.00062
7	1890204	STPY.0321.00061
8	1800116	STPY.0321.00082
9	1893171	STPY.0321.00057
10	1790938	STPY.0321.00067
11	1893034	STPY.0321.00065
12	1939844	STPY.0321.00066
13	1810248	STPY.0321.00064
14	1907743	STPY.0321.00077
15	1834762	STPY.0321.00101
16	1806314	STPY.0321.00102
17	1900555	STPY.0321.00108
18	1835714	STPY.0321.00103
19	1747924	STPY.0321.00109
20	1758778	STPY.0321.00105
21	1790668	STPY.0321.00087
22	1809631	STPY.0321.00097
23	1812090	STPY.0321.00089
24	1837587	STPY.0321.00075
25	1899479	STPY.0321.00083
26	1950616	STPY.0321.00086
27	1806521	STPY.0321.00085
28	1768816	STPY.0321.00094
29	1788166	STPY.0321.00096
30	1826832	STPY.0321.00093
31	1826467	STPY.0321.00091
32	1899746	STPY.0321.00217
33	1837758	STPY.0321.00219
34	1831123	STPY.0321.00213
35	1892119	STPY.0321.00216
36	1895012	STPY.0321.00197
37	1836432	STPY.0321.00203
38	1828132	STPY.0321.00218
39	1928217	STPY.0321.00204
40	1900516	STPY.0321.00199
41	1914829	STPY.0321.00110
42	1899872	STPY.0321.00200
43	1887700	STPY.0321.00099
44	1946258	STPY.0321.00051
45	1894270	STPY.0321.00198
46	1897111	STPY.0321.00128
47	1801696	STPY.0321.00033
48	1897129	STPY.0321.00130
49	1897124	STPY.0321.00129
50	1862424	STPY.0321.00127
51	1750827	STPY.0321.00208
52	1851612	STPY.0321.00068
53	1811936	STPY.0321.00050
54	1838557	STPY.0321.00201
55	1853613	STPY.0321.00056
56	1921448	STPY.0321.00133
57	1808384	STPY.0321.00134
58	1852256	STPY.0321.00078
59	1906873	STPY.0321.00132
60	2010300	STPY.0321.00115
61	1741977	STPY.0321.00001
62	1862449	STPY.0321.00053
63	1825427	STPY.0321.00090
64	1897571	STPY.0321.00202
65	1765118	STPY.0321.00048
66	1741938	STPY.0321.00113
67	1742160	STPY.0321.00114
68	1747400	STPY.0321.00121
69	1921169	STPY.0321.00137
70	1751353	STPY.0321.00161
71	1900003	STPY.0321.00007
72	1937076	STPY.0321.00205
73	1831274	STPY.0321.00131
74	1793034	STPY.0321.00147
75	1859391	STPY.0321.00126
76	1789855	STPY.0321.00098
77	1832676	STPY.0321.00116
78	1898595	STPY.0321.00156
79	1823047	STPY.0321.00187
80	1854597	STPY.0321.00120
81	1806344	STPY.0321.00100
82	1878693	STPY.0321.00032
83	1852428	STPY.0321.00195
84	1779766	STPY.0321.00084
85	1818346	STPY.0321.00215
86	1805495	STPY.0321.00148
87	1764969	STPY.0321.00104
88	1785401	STPY.0321.00171
89	1893816	STPY.0321.00003
90	1931144	STPY.0321.00162
91	1752074	STPY.0321.00160
92	1864452	STPY.0321.00142
93	1890349	STPY.0321.00063
94	1797172	STPY.0321.00107
95	1808407	STPY.0321.00140
96	1853805	STPY.0321.00073
97	1909430	STPY.0321.00125
98	1865571	STPY.0321.00123
99	1744145	STPY.0321.00136
100	1819777	STPY.0321.00194
101	1845052	STPY.0321.00145
102	1846342	STPY.0321.00059
103	1862643	STPY.0321.00135
104	1796043	STPY.0321.00151
105	1852980	STPY.0321.00005
106	1827305	STPY.0321.00206
107	1756406	STPY.0321.00139
108	1768863	STPY.0321.00143
109	1913208	STPY.0321.00176
110	1888806	STPY.0321.00088
111	1906305	STPY.0321.00163
112	1795272	STPY.0321.00174
113	1852894	STPY.0321.00037
114	1838787	STPY.0321.00153
115	1709389	STPY.0321.00044
116	1829590	STPY.0321.00164
117	1756622	STPY.0321.00060
118	1908146	STPY.0321.00166
119	1834173	STPY.0321.00192
120	1858169	STPY.0321.00193
121	1827653	STPY.0321.00154
122	1890460	STPY.0321.00055
123	1746380	STPY.0321.00155
124	1839841	STPY.0321.00074
125	1811249	STPY.0321.00167
126	1746807	STPY.0321.00112
127	1863040	STPY.0321.00169
128	1875632	STPY.0321.00144
129	1915789	STPY.0321.00157
130	1847336	STPY.0321.00168
131	1937062	STPY.0321.00041
132	1851237	STPY.0321.00146
133	1853362	STPY.0321.00119
134	1890399	STPY.0321.00118
135	1940677	STPY.0321.00049
136	1741343	STPY.0321.00046
137	1885119	STPY.0321.00043
138	1857727	STPY.0321.00152
139	1848740	STPY.0321.00141
140	1839644	STPY.0321.00038
141	1835774	STPY.0321.00117
142	1918723	STPY.0321.00122
143	1786869	STPY.0321.00042
144	1882322	STPY.0321.00028
145	1791304	STPY.0321.00019
146	1701466	STPY.0321.00092
147	1932413	STPY.0321.00124
148	1815780	STPY.0321.00207
149	1781024	STPY.0321.00209
150	1837247	STPY.0321.00214
151	1900813	STPY.0321.00191
152	1811963	STPY.0321.00211
153	1797476	STPY.0321.00138
154	1844755	STPY.0321.00002
155	1811119	STPY.0321.00212
156	1908065	STPY.0321.00210
157	1822334	STPY.0321.00173
158	1808803	STPY.0321.00175
159	1846983	STPY.0321.00172
160	1934623	STPY.0321.00170
161	1893439	STPY.0321.00069
162	1785880	STPY.0321.00179
163	1834863	STPY.0321.00182
164	1909563	STPY.0321.00189
165	1709785	STPY.0321.00010
166	1851464	STPY.0321.00024
167	1893256	STPY.0321.00058
168	1702052	STPY.0321.00021
169	1891095	STPY.0321.00159
170	1790372	STPY.0321.00178
171	1943295	STPY.0321.00188
172	1860549	STPY.0321.00040
173	1839531	STPY.0321.00106
174	1915552	STPY.0321.00017
175	1829838	STPY.0321.00186
176	1777970	STPY.0321.00111
177	1791400	STPY.0321.00030
178	1877415	STPY.0321.00185
179	1854706	STPY.0321.00190
180	1819726	STPY.0321.00180
181	1756874	STPY.0321.00181
182	1896939	STPY.0321.00023
183	1796907	STPY.0321.00184
184	1891258	STPY.0321.00183
185	1764453	STPY.0321.00165
186	1894033	STPY.0321.00047
187	1742565	STPY.0321.00095
188	1833815	STPY.0321.00039
189	1950468	STPY.0321.00036
190	1880773	STPY.0321.00076
191	1812036	STPY.0321.00035
192	1950417	STPY.0321.00027
193	1976011	STPY.0321.00031
194	1744792	STPY.0321.00034
195	1766320	STPY.0321.00158
196	1905052	STPY.0321.00052
197	1943380	STPY.0321.00029
198	1894080	STPY.0321.00054
199	1921449	STPY.0321.00150
200	1789295	STPY.0321.00177
201	1903992	STPY.0321.00011
202	1869673	STPY.0321.00009
203	1903967	STPY.0321.00020
204	1811963	STPY.0321.00008
205	1866508	STPY.0321.00013
206	1726213	STPY.0321.00014
207	1903847	STPY.0321.00018
208	1944502	STPY.0321.00012
209	1861037	STPY.0321.00081
210	1962422	STPY.0321.00045
211	1908289	STPY.0321.00004
212	1846472	STPY.0321.00006
213	1841266	STPY.0321.00196
214	1796147	STPY.0321.00015
215	1829511	STPY.0321.00025
216	1853905	STPY.0321.00022
