strain,character_state,character_state_annotation
CP003778,2,inversion 174h-176t-91h-93t
CP009025,0,edge exists
CP009037,2,inversion 174h-176t-91h-93t
CP009040,2,inversion 174h-176t-91h-93t
CP018850,0,edge exists
CP020885,0,edge exists
CP023285,0,edge exists
CP009022,0,edge exists
CP020882,0,edge exists
CP018854,0,edge exists
CP018858,0,edge exists
CP009034,2,inversion 174h-176t-91h-93t
CP009019,0,edge exists
CM007619,0,edge exists
LN606820,1,parallel edge doesn't exist
CP009001,0,edge exists
CP011827,0,edge exists
CP008992,0,edge exists
CP009010,0,edge exists
AE008923,0,edge exists
CP009013,0,edge exists
CP009028,0,edge exists
CP020889,0,edge exists
CP008995,0,edge exists
CP009007,0,edge exists
CP009031,2,inversion 174h-176t-91h-93t
CP008989,0,edge exists
CM007622,0,edge exists
CP009016,0,edge exists
LN590509,0,edge exists
CP009004,0,edge exists
CP006857,0,edge exists
CP008998,0,edge exists
CP018847,0,edge exists
