block,species,chr,chr_beg,chr_end,orientation
725,STPN.0321.00004,1,866244,873756,+
725,STPN.0321.00063,1,1419742,1427254,-
724,STPN.0321.00004,1,645073,648635,+
724,STPN.0321.00004,1,648922,652484,+
724,STPN.0321.00004,1,652771,656333,+
724,STPN.0321.00004,1,656620,660182,+
723,STPN.0321.00004,1,617755,620541,+
723,STPN.0321.00004,1,993904,996687,+
723,STPN.0321.00004,1,1365731,1368517,-
722,STPN.0321.00004,1,595476,596530,+
722,STPN.0321.00004,1,637542,638595,+
721,STPN.0321.00004,1,87041,89003,+
721,STPN.0321.00004,1,137185,139147,+
721,STPN.0321.00004,1,187756,189718,+
721,STPN.0321.00004,1,373361,375322,+
721,STPN.0321.00004,1,401964,403925,+
721,STPN.0321.00004,1,520984,522950,+
721,STPN.0321.00004,1,596847,598808,+
721,STPN.0321.00004,1,897344,899305,+
721,STPN.0321.00004,1,1050635,1052597,-
721,STPN.0321.00004,1,1054364,1056325,+
721,STPN.0321.00004,1,1086376,1088340,+
721,STPN.0321.00004,1,1255034,1256997,-
721,STPN.0321.00004,1,1298467,1300429,+
721,STPN.0321.00004,1,1332271,1334233,-
721,STPN.0321.00004,1,1349689,1351650,-
721,STPN.0321.00004,1,1455711,1457633,+
721,STPN.0321.00004,1,1531083,1533043,-
721,STPN.0321.00004,1,1538229,1540193,+
721,STPN.0321.00004,1,1882958,1884919,-
721,STPN.0321.00004,1,1959074,1961068,-
721,STPN.0321.00004,1,1994674,1996637,+
721,STPN.0321.00004,1,2111430,2113392,-
721,STPN.0321.00004,1,2151798,2153759,-
721,STPN.0321.00004,1,2260071,2262032,-
720,STPN.0321.00006,1,1546715,1550525,+
720,STPN.0321.00011,1,1138609,1142419,+
719,STPN.0321.00081,1,1313255,1314287,+
719,STPN.0321.00004,1,963239,964271,+
718,STPN.0321.00081,1,1311410,1312419,+
718,STPN.0321.00004,1,961394,962403,+
717,STPN.0321.00040,1,1212486,1226038,+
717,STPN.0321.00081,1,1264413,1277965,+
716,STPN.0321.00040,1,1207729,1209249,+
716,STPN.0321.00081,1,1259641,1261176,+
716,STPN.0321.00004,1,1020194,1021726,-
715,STPN.0321.00076,1,1198069,1201953,+
715,STPN.0321.00004,1,1157788,1161778,-
714,STPN.0321.00091,1,1891813,1892971,+
714,STPN.0321.00093,1,14865,16024,-
714,STPN.0321.00075,1,16574,17733,-
714,STPN.0321.00082,1,260591,261750,-
714,STPN.0321.00063,1,2184124,2185283,-
713,STPN.0321.00091,1,927978,929055,+
713,STPN.0321.00009,1,1096057,1097134,-
712,STPN.0321.00091,1,921938,927436,+
712,STPN.0321.00009,1,1097676,1103148,-
711,STPN.0321.00012,1,875831,882093,+
711,STPN.0321.00004,1,1400111,1406362,-
710,STPN.0321.00017,1,1973200,1976660,+
710,STPN.0321.00010,1,1225449,1228761,-
710,STPN.0321.00010,1,1711662,1714997,+
709,STPN.0321.00062,1,291050,293721,+
709,STPN.0321.00039,1,330444,332964,+
336,STPN.0321.00034,1,1624494,1631215,+
336,STPN.0321.00033,1,2043340,2050048,+
336,STPN.0321.00027,1,1662038,1668761,+
336,STPN.0321.00028,1,1744159,1750866,+
336,STPN.0321.00045,1,1678119,1684843,+
336,STPN.0321.00048,1,1715875,1722597,+
336,STPN.0321.00046,1,1782489,1789212,+
336,STPN.0321.00047,1,1666808,1673531,+
336,STPN.0321.00087,1,1716379,1723048,+
336,STPN.0321.00085,1,1624183,1630904,+
336,STPN.0321.00086,1,1675117,1681839,+
336,STPN.0321.00013,1,1620282,1627004,+
336,STPN.0321.00043,1,1942253,1948972,-
336,STPN.0321.00089,1,1624240,1630961,+
336,STPN.0321.00019,1,1702316,1709023,+
336,STPN.0321.00038,1,1722706,1729428,+
336,STPN.0321.00088,1,687093,693814,+
336,STPN.0321.00059,1,1689301,1696008,+
336,STPN.0321.00037,1,1188735,1195458,+
336,STPN.0321.00049,1,1612295,1619017,+
336,STPN.0321.00084,1,1649959,1656681,+
336,STPN.0321.00030,1,1688991,1695713,+
336,STPN.0321.00055,1,1685195,1691918,+
336,STPN.0321.00067,1,1669159,1675882,+
336,STPN.0321.00044,1,1611477,1618183,+
336,STPN.0321.00054,1,1568023,1574742,+
336,STPN.0321.00056,1,1734278,1740997,+
336,STPN.0321.00060,1,1637689,1644410,+
336,STPN.0321.00051,1,415928,422634,-
336,STPN.0321.00065,1,1655908,1662627,+
336,STPN.0321.00031,1,96202,102925,+
336,STPN.0321.00061,1,1644026,1650732,+
336,STPN.0321.00064,1,1599577,1606283,+
336,STPN.0321.00042,1,1195406,1202132,+
336,STPN.0321.00032,1,1624642,1631363,+
336,STPN.0321.00095,1,1712352,1719074,+
336,STPN.0321.00026,1,1742497,1749204,+
336,STPN.0321.00057,1,1704700,1711420,+
336,STPN.0321.00052,1,1915438,1922144,-
336,STPN.0321.00074,1,1619825,1626547,+
336,STPN.0321.00036,1,845621,852343,+
336,STPN.0321.00072,1,1612293,1619015,+
336,STPN.0321.00001,1,415802,422508,-
