strain,character_state,character_state_annotation
YEPE.0221.00039,0,0 copies
YEPE.0221.00024,1,1 copies
YEPE.0221.00023,0,0 copies
YEPE.0221.00057,5,5 copies
YEPE.0221.00010,6,6 copies
YEPE.0221.00009,4,4 copies
YEPE.0221.00012,4,4 copies
YEPE.0221.00055,3,3 copies
YEPE.0221.00034,3,3 copies
YEPE.0221.00020,0,0 copies
YEPE.0221.00015,2,2 copies
YEPE.0221.00002,3,3 copies
YEPE.0221.00005,0,0 copies
YEPE.0221.00017,2,2 copies
YEPE.0221.00029,0,0 copies
YEPE.0221.00045,3,3 copies
YEPE.0221.00028,0,0 copies
YEPE.0221.00041,3,3 copies
YEPE.0221.00013,4,4 copies
YEPE.0221.00040,2,2 copies
YEPE.0221.00058,2,2 copies
YEPE.0221.00049,0,0 copies
YEPE.0221.00033,0,0 copies
YEPE.0221.00047,3,3 copies
YEPE.0221.00019,1,1 copies
YEPE.0221.00021,6,6 copies
YEPE.0221.00004,3,3 copies
YEPE.0221.00051,2,2 copies
YEPE.0221.00014,10,10 copies
YEPE.0221.00038,2,2 copies
YEPE.0221.00016,3,3 copies
YEPE.0221.00056,4,4 copies
YEPE.0221.00031,0,0 copies
YEPE.0221.00025,3,3 copies
YEPE.0221.00037,2,2 copies
YEPE.0221.00050,3,3 copies
YEPE.0221.00001,3,3 copies
YEPE.0221.00018,1,1 copies
YEPE.0221.00003,4,4 copies
YEPE.0221.00053,2,2 copies
YEPE.0221.00007,3,3 copies
YEPE.0221.00043,4,4 copies
YEPE.0221.00035,3,3 copies
YEPE.0221.00046,4,4 copies
YEPE.0221.00026,2,2 copies
YEPE.0221.00022,4,4 copies
YEPE.0221.00044,2,2 copies
YEPE.0221.00036,3,3 copies
YEPE.0221.00048,4,4 copies
YEPE.0221.00042,3,3 copies
YEPE.0221.00032,0,0 copies
YEPE.0221.00030,3,3 copies
YEPE.0221.00011,4,4 copies
YEPE.0221.00052,4,4 copies
YEPE.0221.00054,3,3 copies
YEPE.0221.00008,1,1 copies
YEPE.0221.00027,0,0 copies
YEPE.0221.00006,6,6 copies
