Block,Seq,Start,End,Strand
211,NZ_CP009697.1,5196996,5211923,+
211,NZ_CP009328.1,783463,798392,+
211,NZ_CP009315.1,3795576,3810506,+
211,NZ_AP019731.1,888128,903055,+
211,NZ_AP014833.1,3479095,3464165,-
211,NZ_CP047098.1,401162,386232,-
211,NZ_CP009325.1,3221710,3206780,-
211,NZ_CP019588.1,1990787,2005717,+
211,NZ_CP009544.1,2884478,2869548,-
211,NZ_CP012730.1,1990785,2005715,+
211,NZ_CP012724.1,1990784,2005714,+
211,NZ_CP009331.1,4686107,4671177,-
211,NZ_CP009598.1,2873614,2858684,-
211,NC_012659.1,1990740,2005670,+
211,NZ_CP047107.1,4996397,4981467,-
211,NZ_CP018903.1,1990879,2005807,+
211,NZ_CP012727.1,1990783,2005713,+
211,NZ_CP047131.1,1977596,1992524,+
211,NZ_CP014179.1,1990840,2005770,+
211,NZ_CP009981.1,2500729,2485799,-
211,NZ_CP023001.1,4983868,4998798,+
211,NZ_CP012721.1,1990784,2005714,+
211,NZ_CP010852.1,2245033,2259963,+
211,NZ_CP031642.1,2019946,2034208,+
211,NC_012581.1,2248406,2233477,-
211,NZ_CP029805.1,1990843,2005773,+
211,NZ_CP010322.1,4936398,4951328,+
211,NZ_CP031643.1,2046052,2060967,+
211,NZ_CP047111.1,882197,867267,-
211,NZ_CP007618.1,2031260,2016332,-
211,NZ_CP001970.2,1990906,2005836,+
211,NZ_CP006742.1,1977509,1992436,+
211,NZ_CP009902.1,5102012,5087084,-
211,NZ_CP001974.2,1990880,2005810,+
211,NZ_CP022044.1,4791074,4806004,+
211,NZ_CP008854.1,1989959,2004887,+
211,NZ_CP009464.1,4335103,4320174,-
211,NZ_CP047097.1,1140925,1155855,+
211,NZ_CP007666.1,863427,878356,+
211,NZ_CP008846.1,1977583,1992510,+
211,NZ_CP009341.1,4518240,4533170,+
211,NZ_CP012728.1,1990783,2005713,+
211,NZ_CP015779.1,1990772,2005702,+
211,NZ_AP018443.1,1981364,1996294,+
211,NZ_CP012725.1,1990784,2005714,+
211,NZ_CP012729.1,1990783,2005713,+
211,NC_007530.2,1990840,2005770,+
211,NZ_CP047099.1,2368343,2383273,+
211,NZ_CP009700.1,385754,370827,-
211,NZ_CP001974.1,1990323,2005252,+
211,NC_017729.1,1981124,1996052,+
211,NZ_CP012720.1,1990784,2005714,+
211,NZ_CP012726.1,1990782,2005712,+
211,NC_003997.3,1990716,2005646,+
211,NZ_CP009541.1,635236,620306,-
211,NZ_CP012723.1,1990784,2005714,+
211,NZ_CP029323.1,1977923,1992851,+
211,NZ_CP008853.1,1990230,2005157,+
211,NZ_CP009476.1,769641,754711,-
211,NZ_CP012722.1,1990784,2005714,+
211,NC_005945.1,1990786,2005716,+
211,NZ_CP047104.1,4976937,4991867,+
211,NZ_CP001970.1,1990717,2005647,+
210,NZ_CP009697.1,5187858,5194328,+
210,NZ_CP009328.1,774340,780795,+
210,NZ_CP009315.1,3786438,3792908,+
210,NZ_AP019731.1,878990,885460,+
210,NZ_AP014833.1,3488234,3481764,-
210,NZ_CP047098.1,410301,403831,-
210,NZ_CP009325.1,3230848,3224378,-
210,NZ_CP019588.1,1981648,1988118,+
210,NZ_CP009544.1,2893616,2887146,-
210,NZ_CP012730.1,1981646,1988116,+
210,NZ_CP012724.1,1981645,1988115,+
210,NZ_CP009331.1,4695245,4688775,-
