block,species,chr,chr_beg,chr_end,orientation
157,LN590509,1,5238219,5242455,+
157,CP020889,1,881653,885817,-
157,CP020882,1,4599276,4603440,-
156,LN590509,1,5183607,5189664,+
156,LN606820,1,5142549,5148607,-
155,LN590509,1,5178174,5181586,+
155,LN606820,1,5152710,5156106,-
154,LN590509,1,5037803,5041497,+
154,CP020889,1,906186,909878,+
154,LN606820,1,5129621,5133314,-
154,CP020882,1,4623809,4627501,+
153,CM007622,1,2459298,2471306,+
153,CM007619,1,2597910,2609918,-
153,CP009022,1,4639348,4651355,+
153,CP009028,1,4639414,4651421,+
153,CP009007,1,4639413,4651420,+
153,CP009025,1,4639412,4651419,+
153,AE008923,1,4639416,4651423,+
153,CP008995,1,4639420,4651427,+
153,CP006857,1,4639407,4651414,+
152,CM007622,1,2451843,2459296,+
152,CM007619,1,2609919,2617373,-
152,CP009022,1,4630693,4638152,+
152,CP009028,1,4630759,4638218,+
152,CP009007,1,4630758,4638217,+
152,CP009025,1,4630757,4638216,+
152,AE008923,1,4630761,4638220,+
152,CP008995,1,4630765,4638224,+
152,CP006857,1,4630752,4638211,+
151,CM007622,1,2445148,2451091,+
151,CM007619,1,2618124,2624067,-
151,CP009022,1,4623998,4629941,+
151,CP009028,1,4624064,4630007,+
151,CP009007,1,4624063,4630006,+
151,CP009025,1,4624062,4630005,+
151,AE008923,1,4624066,4630009,+
151,CP008995,1,4624070,4630013,+
151,CP006857,1,4624057,4630000,+
150,CM007622,1,304627,308075,+
150,CM007619,1,4764861,4768309,+
150,CM007619,1,4770200,4773647,-
149,CP003778,1,5041969,5045470,+
149,CP009031,1,5041791,5045292,+
149,CP009034,1,5041791,5045292,+
149,LN590509,1,4259299,4262799,+
149,CP009037,1,5041785,5045286,+
149,CP020885,1,3785897,3789416,+
149,CP009040,1,5041740,5045241,+
148,CP003778,1,4852111,4859805,+
148,CP009031,1,4851935,4859629,+
148,CP009034,1,4851935,4859629,+
148,LN590509,1,4071242,4078936,+
148,CP020889,1,1753605,1761298,+
148,CP009037,1,4851929,4859623,+
148,CP020885,1,3597901,3605595,+
148,CP009040,1,4851884,4859578,+
148,CP020882,1,964031,971723,-
147,CP003778,1,4848920,4852109,+
147,CP009031,1,4848744,4851933,+
147,CP009034,1,4848744,4851933,+
147,LN590509,1,4068051,4071240,+
147,CP020889,1,1748394,1751590,+
147,CP009037,1,4848738,4851927,+
147,CP020885,1,3594710,3597899,+
147,CP009040,1,4848693,4851882,+
147,CP020882,1,973738,976934,-
146,CP003778,1,2988947,2992108,+
146,CM007622,1,4880139,4883301,-
146,CP009031,1,2988769,2991930,+
146,CM007619,1,163564,166726,+
146,CP009022,1,1908704,1911866,-
146,CP009028,1,1908707,1911869,-
146,CP009007,1,1908699,1911861,-
146,CP009034,1,2988768,2991929,+
146,CP009025,1,1908698,1911860,-
146,LN590509,1,1877576,1880738,-
146,CP023285,1,2009881,2013043,-
146,CP020889,1,3759226,3762386,-
146,CP009037,1,2988764,2991925,+
146,LN606820,1,1904083,1907245,-
146,CP018847,1,3598930,3602092,+
146,CP018854,1,2224163,2227325,-
146,AE008923,1,1908708,1911870,-
146,CP008995,1,1908708,1911870,-
146,CP018850,1,4892329,4895491,-
146,CP009040,1,2988718,2991879,+
146,CP018858,1,1738140,1741302,+
146,CP020882,1,2146026,2149186,-
146,CP006857,1,1908702,1911864,-
145,CP003778,1,2800147,2810024,+
145,CM007622,1,2566,12444,-
145,CP009031,1,2799968,2809845,+
145,CM007619,1,5065847,5075724,+
145,CP009034,1,2799967,2809844,+
145,LN590509,1,2160785,2170663,-
145,CP023285,1,2299129,2309008,-
145,CP020889,1,4710326,4720203,+
145,CP009037,1,2799963,2809840,+
