strain,character_state,character_state_annotation
YEPE.0221.00021,0,edge exists
YEPE.0221.00030,0,edge exists
YEPE.0221.00039,0,edge exists
YEPE.0221.00012,0,edge exists
YEPE.0221.00042,0,edge exists
YEPE.0221.00023,3,inversion between 187h-304h and 188t-305t
YEPE.0221.00043,4,inversion between 187h-304h and 285h-286t
YEPE.0221.00049,5,inversion between 187h-304h and 338t-185t
YEPE.0221.00008,0,edge exists
YEPE.0221.00002,0,edge exists
YEPE.0221.00032,3,inversion between 187h-304h and 188t-305t
YEPE.0221.00051,0,edge exists
YEPE.0221.00044,0,edge exists
YEPE.0221.00050,0,edge exists
YEPE.0221.00041,0,edge exists
YEPE.0221.00035,0,edge exists
YEPE.0221.00047,0,edge exists
YEPE.0221.00017,3,inversion between 187h-304h and 188t-305t
YEPE.0221.00022,1,parallel edge doesn't exist
YEPE.0221.00026,4,inversion between 187h-304h and 285h-286t
YEPE.0221.00010,1,parallel edge doesn't exist
YEPE.0221.00028,3,inversion between 187h-304h and 188t-305t
YEPE.0221.00024,4,inversion between 187h-304h and 285h-286t
YEPE.0221.00005,1,parallel edge doesn't exist
YEPE.0221.00018,4,inversion between 187h-304h and 285h-286t
YEPE.0221.00013,0,edge exists
YEPE.0221.00046,4,inversion between 187h-304h and 285h-286t
YEPE.0221.00003,0,edge exists
YEPE.0221.00031,1,parallel edge doesn't exist
YEPE.0221.00029,3,inversion between 187h-304h and 188t-305t
YEPE.0221.00014,0,edge exists
YEPE.0221.00056,0,edge exists
YEPE.0221.00016,0,edge exists
YEPE.0221.00037,4,inversion between 187h-304h and 285h-286t
YEPE.0221.00036,0,edge exists
YEPE.0221.00009,0,edge exists
YEPE.0221.00015,0,edge exists
YEPE.0221.00057,0,edge exists
YEPE.0221.00004,0,edge exists
YEPE.0221.00054,0,edge exists
YEPE.0221.00001,0,edge exists
YEPE.0221.00038,4,inversion between 187h-304h and 285h-286t
YEPE.0221.00007,0,edge exists
YEPE.0221.00034,0,edge exists
YEPE.0221.00052,0,edge exists
YEPE.0221.00040,5,inversion between 187h-304h and 338t-185t
YEPE.0221.00006,0,edge exists
YEPE.0221.00025,0,edge exists
YEPE.0221.00019,3,inversion between 187h-304h and 188t-305t
YEPE.0221.00033,0,edge exists
YEPE.0221.00048,5,inversion between 187h-304h and 338t-185t
YEPE.0221.00053,0,edge exists
YEPE.0221.00011,0,edge exists
YEPE.0221.00020,3,inversion between 187h-304h and 188t-305t
YEPE.0221.00058,4,inversion between 187h-304h and 285h-286t
YEPE.0221.00045,4,inversion between 187h-304h and 285h-286t
YEPE.0221.00027,3,inversion between 187h-304h and 188t-305t
YEPE.0221.00055,0,edge exists
